code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000001,平安银行,0.84,-4.55,10.54,8.41,12.76,1158500.0,15.02,,08-14
000002,万科A,0.44,0.46,7.9,5.41,-0.62,484627.91,0.77,,08-17
000004,国农科技,0.01,-125.71,,1.5,,121.22,-125.76,,08-27
000005,世纪星源,-0.03,-9.42,,-3.52,,-2318.85,-8.05,,07-25
000006,深振业A,0.19,425.27,,6.05,,25808.29,425.18,,08-29
000007,全新好,-0.03,89.41,,-2.12,,-744.21,89.72,,08-31
000008,神州高铁,0.09,200.0,,2.93,,6996.81,710.43,10转10,08-29
000009,中国宝安,0.07,-51.63,,3.38,,11843.72,-48.53,,08-28
000010,美丽生态,0.0,-125.69,,0.29,,162.57,-125.35,,08-18
000011,深物业A,0.05,-72.2,,1.52,,3116.28,-72.19,,08-15
000012,南玻A,0.1,-64.29,,2.47,,20576.73,-65.08,,08-18
000014,沙河股份,0.07,-41.61,,2.18,,1459.64,-41.64,,08-22
000016,深康佳A,-0.25,-754.11,,-7.52,,-29695.35,-754.66,10转10,08-29
000017,深中华A,0.0,-76.47,,3.44,,41.62,-77.8,,08-20
000018,神州长城,-0.0,-200.0,,-0.46,,-60.86,-182.43,,08-31
000019,深深宝A,0.02,-122.78,,0.55,,531.75,-122.74,,08-25
000020,深华发A,0.05,882.35,,4.92,,1417.73,873.76,,08-25
000021,深科技,0.09,-1696.61,,2.76,,13861.42,-1699.63,,08-28
000022,深赤湾A,0.38,2.74,,5.76,,24197.74,2.82,,08-27
000023,深天地A,0.08,258.53,,2.93,,1078.84,258.46,,08-05
000025,特力A,0.03,21.31,,1.49,,765.04,42.19,,08-26
000026,飞亚达A,0.19,-17.33,,4.36,,7310.94,-17.19,,08-14
000027,深圳能源,0.26,-33.79,,5.64,,102628.9,-0.68,,08-21
000028,国药一致,1.07,-0.47,,7.85,,38731.93,10.91,,08-20
000029,深深房A,0.18,437.32,,8.27,,18640.78,436.7,10派1.3,08-29
000030,富奥股份,0.22,-12.0,,6.48,,28867.04,-12.16,,08-26
000031,中粮地产,0.11,37.5,,3.25,,19651.48,43.28,,08-29
000032,深桑达A,-0.02,-50.0,,-0.4,,-352.85,-64.53,,07-30
000033,*ST新都,-0.03,-31.91,,,,-1052.65,-31.99,,08-01
000034,神州数码,0.06,-55.56,,11.4,,2277.26,-55.87,,08-18
000035,中国天楹,0.11,-26.67,,4.03,,6668.32,10.36,,08-05
000036,华联控股,-0.01,-1372.73,,-0.84,,-1562.98,-1346.03,,08-31
000037,*ST南电A,-0.17,41.67,,-8.41,,-10254.61,36.28,,08-25
000038,深大通,-0.01,-92.04,,-1.0,,-89.58,-91.79,,08-27
000039,中集集团,0.57,46.23,9.34,6.59,-0.23,151819.5,46.68,,08-28
000040,东旭蓝天,0.04,100.0,,1.61,,2060.6,150.51,,08-26
000042,中洲控股,0.87,49.01,,12.02,,41878.13,49.01,,08-29
000043,中航地产,-0.17,325.19,,-3.26,,-11143.57,325.29,,08-21
000045,深纺织A,0.02,-137.5,,0.35,,766.8,-135.43,,08-28
000046,泛海控股,0.15,291.89,,6.56,,66100.36,292.53,,08-28
000048,康达尔,0.37,2481.12,,24.46,,14422.92,2489.12,,08-28
000049,德赛电池,0.56,32.55,,14.64,,11498.83,32.56,,08-25
