code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603727,博迈科,0.45,,,18.0,,6794.52,73.24,,10-31
603959,百利科技,0.59,-28.92,,46.72,0.4,9993.23,7.18,,04-26
603701,德宏股份,0.62,-25.3,,19.77,0.85,3665.76,-25.18,,03-28
002791,坚朗五金,1.09,60.29,,29.73,0.74,18592.86,60.25,,03-10
002792,通宇通讯,0.44,-45.68,4.4,11.02,0.63,5312.16,-27.02,,03-09
300484,蓝海华腾,1.02,,2.32,51.92,0.63,3983.57,39.36,,03-09
300506,名家汇,,,1.46,46.38,-0.54,4244.45,42.34,,03-07
002789,建艺集团,1.17,,5.42,31.12,0.87,6615.11,133.36,,02-23
603520,司太立,0.4,-46.67,3.67,11.46,1.15,3578.46,-47.04,,02-18
002790,瑞尔特,0.81,,2.45,39.89,0.72,9765.03,27.14,,02-17
300501,海顺新材,0.85,66.67,4.12,23.04,0.66,3405.81,72.09,,01-22
603608,天创时尚,0.57,,,21.87,0.3,11976.14,16.4,,01-22
002788,鹭燕医药,0.94,40.3,4.64,22.66,-0.34,9051.39,42.26,,01-21
300500,启迪设计,1.17,,4.71,28.68,1.47,5256.65,-46.33,,01-21
601900,南方传媒,0.39,11.43,,19.3,0.44,25664.65,11.54,,01-20
300499,高澜股份,,,,21.42,1.02,3540.43,10.51,,01-20
603377,东方时尚,0.52,-57.38,,71.94,3.4,19143.99,30.24,,01-20
002827,高争民爆,,,,37.14,1.74,4666.71,,,01-08
300628,亿联网络,1.53,,2.6,69.41,1.23,8590.71,,,11-13
300633,开立医疗,,,,48.24,,12994.14,,,11-13
300603,立昂技术,0.31,,,27.43,0.39,2418.75,,,11-13
300621,维业股份,0.66,,2.05,32.86,-0.36,3952.7,,,11-13
300627,华测导航,0.41,,0.48,15.57,0.12,620.24,,,11-13
300609,汇纳科技,0.27,,1.49,31.25,0.1,1865.28,,,11-13
300620,光库科技,,,0.42,378.67,0.44,1749.82,,,11-13
300626,华瑞股份,0.24,,2.14,13.24,0.35,1802.01,,,11-13
300625,三雄极光,1.86,,5.27,43.46,1.59,9277.87,,,11-13
300630,普利制药,0.18,,2.01,8.98,0.41,1532.58,,,11-13
300636,同和药业,,,,19.61,,802.83,,,11-13
300611,美力科技,0.33,,2.4,14.82,0.36,1670.87,,,11-13
300635,达安股份,0.59,,2.45,26.87,-0.68,3235.81,,,11-13
300622,博士眼镜,0.51,,3.06,18.97,0.38,3095.01,,,11-13
601155,新城控股,,,,,,96746.13,,,10-30
300610,晨化股份,0.64,,6.3,23.38,1.45,4103.09,,,07-03
300591,万里马,,,4.33,15.27,0.49,2027.31,,,07-03
