code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002269,美邦服饰,0.12,,,,-0.12,3152.4,,,08-27
002258,利尔化学,0.73,,,,0.74,7409.68,,,08-27
601169,北京银行,0.26,,,13.0,1.33,131029.7,,,08-26
002237,恒邦股份,0.74,,,,2.17,4951.63,,,08-26
601186,中国铁建,0.16,,,,,124872.0,,,08-26
002228,合兴包装,0.21,,,,-0.19,1462.02,,,08-25
002245,澳洋顺昌,0.32,,,14.25,-0.04,1455.75,,,08-23
002250,联化科技,0.3,,,,0.18,2949.34,,,08-22
002259,升达林业,0.11,,,,0.15,1817.16,,,08-22
002239,奥特佳,0.25,,,,0.12,2536.96,,,08-21
002256,兆新股份,0.28,,,,-0.15,1803.73,,,08-20
002247,帝龙文化,0.21,,,,0.04,991.08,,,08-20
002227,奥特迅,0.25,,,,-0.18,1848.07,,,08-20
002241,歌尔股份,0.45,,,,0.44,2722.35,,,08-19
002226,江南化工,0.23,,,,0.26,1019.43,,,08-18
002254,泰和新材,1.76,,,,2.29,16413.88,,,08-18
002246,北化股份,0.14,,,,0.17,2054.96,,,08-18
002243,通产丽星,0.2,,,,0.16,2374.39,,,08-18
002234,民和股份,0.54,,,,0.35,4350.86,,,08-16
002240,威华股份,0.33,,,,0.18,7382.05,,,08-15
002233,塔牌集团,0.22,,,,0.64,6474.61,,,08-13
002253,川大智胜,0.18,,,,-1.03,616.09,,,08-13
002267,陕天然气,0.33,,,,0.58,13579.49,,,08-12
002229,鸿博股份,0.32,,,,-0.47,1921.74,,,08-12
002224,三力士,0.17,,,,0.28,947.49,,,08-11
002268,卫士通,0.0,,,,-0.66,33.05,,,08-08
002266,浙富控股,,,,,,2459.07,,,08-05
002265,西仪股份,0.06,,,,-0.14,1234.04,,,08-05
002264,新华都,0.66,,,,-0.27,5253.5,,,07-30
601899,紫金矿业,0.09,,,,0.11,120145.21,,,07-29
002249,大洋电机,1.03,,,,1.27,9690.44,,,07-29
002248,华东数控,0.11,,,,0.05,915.14,,,07-25
002263,大东南,0.11,,,,0.09,1882.36,,,07-25
002244,滨江集团,-0.0,,,,-0.07,-182.3,,,07-24
002261,拓维信息,0.44,,2.75,,0.56,2634.11,,,07-22
002260,德奥通航,0.09,,,,-0.04,821.68,,,07-15
002235,安妮股份,0.27,,,18.29,0.34,1972.6,,,07-15
000333,美的集团,,,,,,71559.39,,,02-19
601107,四川成渝,0.09,,,,,22620.67,,,02-05
002220,天宝股份,0.46,,2.81,21.41,0.13,2411.93,,,01-31
002219,恒康医疗,0.26,,1.81,15.36,0.34,1811.75,,,01-31
002218,拓日新能,0.31,,1.35,25.53,0.22,3671.78,,,01-28
002216,三全食品,0.57,,3.76,16.26,0.8,3960.1,,,01-24
002217,合力泰,0.27,,1.92,15.42,0.09,2463.9,,,01-24
601898,中煤能源,0.19,,2.47,8.2,0.11,227808.3,,,01-21
002215,诺普信,0.51,,1.83,31.63,0.24,4596.93,,,01-18
002213,特尔佳,0.12,,1.17,10.53,0.12,901.07,,,01-14
002211,宏达新材,0.16,,1.34,14.21,0.12,2632.9,,,01-14
002209,达意隆,0.16,,1.88,9.04,0.16,1381.47,,,01-11
002210,飞马国际,0.21,,1.31,17.8,-0.76,2112.45,,,01-11
002207,准油股份,0.05,,2.08,2.27,0.07,353.91,,,01-09
002206,海利得,0.36,,2.97,11.41,0.44,3190.47,,,01-02
002205,国统股份,0.16,,2.28,8.4,-0.34,986.41,,,12-28
601099,太平洋,0.21,,,20.74,,25523.15,,,12-27
002203,海亮股份,0.27,,1.76,16.01,0.61,9252.85,,,12-19
601601,中国太保,0.68,,3.77,20.16,2.25,382300.0,,,12-07
002202,金风科技,0.29,,1.4,20.08,0.02,12833.37,,,12-06
601999,出版传媒,0.1,,1.42,7.66,0.11,4097.11,,,12-06
002201,九鼎新材,0.32,,2.51,13.45,0.19,1898.2,,,12-03
601866,中远海发,0.2,,2.82,7.33,0.27,122308.3,,,11-28
601866,中远海发,0.2,,2.82,7.33,0.27,122308.3,,,11-28
002200,云投生态,0.53,,4.66,12.16,-0.43,3343.2,,,11-28
601918,新集能源,0.16,,,12.42,0.16,24647.44,,,11-27
002198,嘉应制药,0.16,,1.51,11.45,0.17,1003.74,,,11-27
002197,证通电子,0.16,,1.36,12.28,-0.08,1026.72,,,11-26
002196,方正电机,0.35,,,16.31,-0.05,1988.6,,,11-22
002195,二三四五,0.28,,,14.94,0.24,1203.65,,,11-22
002193,山东如意,0.22,,4.66,4.73,0.26,1305.28,,,11-16
002194,武汉凡谷,0.57,,2.95,21.71,0.63,9145.58,,,11-16
