code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000001,平安银行,0.93,72.22,7.09,15.23,3.89,214383.4,90.74,10派0.23送2,08-21
000002,万科A,0.19,-25.2,2.73,6.77,-0.14,206105.57,23.56,,08-05
000004,国农科技,-0.02,-54.89,0.84,-2.41,0.05,-170.44,-55.12,,08-20
000005,世纪星源,0.01,-92.5,0.83,0.73,-0.02,548.88,-92.48,,08-28
000006,深振业A,0.46,49.2,3.45,13.54,-2.39,23563.97,198.8,,08-02
000007,全新好,-0.1,-6.42,-0.23,,0.0,-1880.95,-6.53,,08-21
000008,神州高铁,0.0,-77.85,1.0,,-0.07,24.29,-77.81,,08-08
000009,中国宝安,0.15,31.82,1.66,8.76,0.25,15047.14,38.44,,08-07
000010,美丽生态,-0.01,-66.67,0.42,-0.85,-0.06,-73.71,-85.44,,08-13
000011,深物业A,-0.01,-79.72,1.02,-0.56,-0.16,-312.08,-79.83,,08-14
000012,南玻A,0.35,133.33,3.55,9.96,0.4,40985.36,174.5,,08-05
000014,沙河股份,-0.13,445.87,1.56,-8.11,-0.8,-2665.34,719.05,,08-30
000016,深康佳A,0.07,-5.24,2.99,2.25,-0.04,8055.52,89.66,,08-23
000017,深中华A,-0.01,-124.62,-3.73,,-0.01,-461.56,-124.7,,07-30
000018,神州长城,-0.03,-85.0,0.94,-2.62,0.07,-429.66,-87.27,,07-31
000019,深深宝A,0.04,-53.28,1.8,2.04,-0.05,659.72,-53.35,,08-11
000020,深华发A,-0.01,12.5,0.85,-1.04,-0.09,-250.34,10.03,,08-29
000021,深科技,0.15,-71.37,3.72,3.94,0.11,13312.05,-71.36,,08-27
000022,深赤湾A,0.51,8.23,3.83,12.37,0.85,33096.42,8.38,,08-30
000023,深天地A,0.02,-79.09,2.03,1.06,-0.52,313.28,-79.43,,08-15
000025,特力A,-0.01,250.0,0.7,-2.07,0.07,-318.98,258.12,,08-13
000026,飞亚达A,0.15,42.59,2.59,6.12,-0.32,3841.92,42.29,,07-22
000027,深圳能源,0.22,-37.14,4.87,4.35,0.4,49475.83,18.46,,08-22
000028,国药一致,0.27,27.88,1.95,14.69,0.32,7673.32,28.11,,08-08
000029,深深房A,0.01,42.27,1.19,1.17,-0.02,1392.54,42.34,,08-22
000030,富奥股份,-0.04,-28.0,-5.72,,0.0,-1245.03,-23.59,,08-11
000031,中粮地产,0.11,-71.79,3.73,2.97,-0.47,10138.12,-62.37,,08-26
000032,深桑达A,0.29,140.83,3.35,8.26,-0.23,6739.25,185.73,,08-23
000033,*ST新都,-0.01,-12.98,0.91,-1.25,0.05,-374.83,-13.29,,08-30
000034,神州数码,-0.03,-0.0,-2.79,,-0.03,-847.06,-13.39,,08-30
000035,中国天楹,0.58,-464.78,-7.56,,-0.0,8648.1,-463.13,,08-28
000036,华联控股,-0.05,-266.67,1.39,-3.31,-0.04,-5392.37,-270.56,,08-30
000037,*ST南电A,0.06,17.52,3.17,1.74,-0.57,3026.3,18.07,,08-21
000038,深大通,-0.04,-123.53,-0.97,,-0.0,-327.36,-121.22,,08-21
000039,中集集团,0.39,-23.0,5.42,6.76,-0.57,102582.6,-22.47,,08-22
000040,东旭蓝天,-0.06,-128.57,1.96,-2.98,-0.37,-2850.44,-128.92,,08-23
000042,中洲控股,-0.13,-122.76,7.25,-1.71,-2.18,-3170.04,-122.76,,08-14
000043,中航地产,0.08,-26.73,6.48,1.19,-1.46,1791.77,19.33,,08-19
000045,深纺织A,0.14,600.0,1.68,8.58,0.07,3326.05,519.37,,08-13
000046,泛海控股,0.08,-79.74,3.59,2.14,0.03,17487.45,-39.02,,08-15
000048,康达尔,0.06,1766.67,-0.54,,0.33,2183.87,1552.23,,08-30
000049,德赛电池,0.01,10.17,1.11,1.18,-0.07,177.9,10.42,,08-29
000050,深天马A,0.11,-15.38,3.8,2.68,0.38,4227.96,-4.85,10转5,08-26
000055,方大集团,0.05,-28.57,1.32,3.54,-0.09,2079.88,112.79,,08-09
000056,皇庭国际,0.0,-110.87,1.11,0.29,-0.2,71.52,-111.72,,08-27
000058,深赛格,0.04,-128.03,1.63,2.25,0.04,2870.14,-127.61,,08-20
000059,华锦股份,0.2,-22.19,4.92,4.05,0.37,23441.87,41.02,,08-20
000060,中金岭南,0.59,-32.18,3.68,15.61,1.17,60656.39,-4.89,,08-22
000061,农产品,0.19,90.0,6.29,4.28,0.45,7298.77,81.87,,08-11
000062,深圳华强,-0.11,-191.67,4.44,-2.1,-0.14,-3317.37,-188.73,,07-26
000063,中兴通讯,0.41,-14.58,13.6,4.37,-3.28,55738.6,21.21,,08-21
000065,北方国际,-0.11,175.0,2.2,-4.88,0.2,-1782.91,166.59,,07-25
000068,华控赛格,0.02,-107.38,2.11,0.73,0.25,1390.92,-108.42,,08-15
000069,华侨城A,0.17,48.21,1.95,8.6,0.19,43552.69,248.61,,08-08
000070,特发信息,0.04,531.34,2.54,1.68,0.17,1058.29,530.35,,08-20
000078,海王生物,0.05,-1.0,1.14,4.23,0.2,3231.96,5.47,,08-26
000088,盐田港,0.21,-13.57,2.89,6.87,0.12,25854.81,-13.59,,08-30
000089,深圳机场,0.04,-75.62,2.59,1.72,0.2,6785.41,-72.05,,08-20
000090,天健集团,0.09,28.86,8.52,0.89,-2.18,2744.72,29.92,,08-13
000096,广聚能源,0.17,-47.61,2.87,5.93,-0.3,9098.32,-46.9,,08-26
000099,中信海直,0.04,45.28,2.6,1.7,0.02,2290.65,45.22,,08-28
000100,TCL集团,0.16,833.91,1.51,11.39,0.08,42015.84,831.74,,08-21
000150,宜华健康,0.04,-259.48,1.66,2.28,0.03,1213.28,-261.07,,08-18
000151,中成股份,0.06,-74.55,2.92,1.94,0.38,1733.66,-74.56,,08-02
000153,丰原药业,0.02,-63.19,2.46,,0.19,541.73,-63.43,,08-25
000155,*ST川化,0.23,1050.0,3.67,6.58,0.43,11038.96,1144.79,,08-14
000156,华数传媒,0.05,-121.76,-4.96,,-0.04,556.36,-121.75,,08-22
000157,中联重科,0.59,-12.53,2.93,22.11,-0.17,90224.84,74.93,,08-08
000158,常山股份,0.04,-33.33,2.99,1.3,0.18,2747.05,2.59,,08-15
000159,国际实业,0.35,363.19,4.51,8.68,0.24,7908.36,417.76,,08-12
000166,申万宏源,0.17,,,,,112487.8,-62.19,,07-18
000301,东方市场,0.09,33.1,1.96,4.94,-0.29,11512.23,33.03,,08-15
000333,美的集团,,,,,,78658.37,9.92,,08-29
000338,潍柴动力,3.19,70.59,14.87,23.03,3.54,166084.46,70.31,10转6,08-21
000400,许继电气,0.11,-40.32,5.75,1.97,-0.61,4245.99,-40.29,,08-27
000401,冀东水泥,0.16,1.7,4.65,4.83,0.16,15434.14,4.61,,08-21
000402,金融街,0.06,-85.0,5.55,1.09,-0.8,13840.24,-68.05,,08-16
000403,ST生化,1.68,,0.81,,0.27,35643.85,-955.98,,08-28
000404,华意压缩,0.13,-750.0,1.43,9.88,0.08,4364.15,-645.49,,08-08
000407,胜利股份,0.08,40.0,1.89,4.56,0.13,3003.82,47.98,,07-25
000408,*ST金源,-0.12,-379.07,1.32,-8.8,0.47,-3046.65,-611.33,,08-21
000409,山东地矿,-0.01,-38.1,0.31,-4.2,0.0,-224.77,-37.68,,08-16
000410,沈阳机床,0.09,-33.85,2.44,3.57,0.09,4669.63,-34.07,,08-27
000411,英特集团,0.05,21.39,0.61,8.31,0.17,1012.44,118.77,,08-20
000413,东旭光电,0.01,124.32,0.65,1.29,-0.02,317.39,125.63,,08-15
000415,渤海金控,-0.03,-12.47,1.37,-2.38,0.22,-990.53,-12.61,,08-23
000416,民生控股,-0.02,606.67,1.2,-1.74,-0.02,-1126.89,600.64,,08-13
000417,合肥百货,0.12,26.08,2.31,5.45,0.7,4514.0,26.15,,08-06
000418,小天鹅A,0.12,-20.0,2.99,4.13,-0.06,6673.76,38.87,,08-19
000419,通程控股,0.11,17.88,4.24,2.74,0.06,2012.71,17.9,,08-20
000420,吉林化纤,-0.19,-193.26,3.1,-5.94,-0.18,-7276.04,-193.26,,08-11
000421,南京公用,0.18,-34.59,1.7,11.25,0.52,6351.92,-34.59,,08-12
000422,湖北宜化,0.67,109.4,3.72,18.35,1.59,36251.97,109.43,,08-09
000423,东阿阿胶,0.23,43.75,2.36,9.28,0.02,11897.58,44.83,,08-26
000425,徐工机械,0.0,-94.59,2.1,0.09,0.42,108.79,-94.62,,08-23
000426,兴业矿业,0.01,0.0,3.47,0.2,0.05,265.75,-37.61,,08-19
000428,华天酒店,0.31,-3.13,3.2,11.95,0.21,11315.29,1.0,,08-15
