code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002733,雄韬股份,,,,,,1999.5,27.65,,11-13
300567,精测电子,,,,,,261.2,,,11-05
601579,会稽山,0.2,,2.53,7.45,,5887.43,,,08-28
600959,江苏有线,0.07,,,2.12,,16111.78,,,07-31
002831,裕同科技,,,,,,3010.89,,,07-20
300339,润和软件,0.21,,4.55,4.76,0.02,1234.22,,,07-17
002691,冀凯股份,0.11,,,4.61,0.17,1623.94,,,07-13
603111,康尼机电,0.14,,,10.06,-0.01,2941.89,,,07-13
002687,乔治白,0.13,,4.45,2.75,-0.34,967.14,,,07-12
300336,新文化,0.25,,3.21,8.03,-0.49,1784.92,,,07-09
300335,迪森股份,0.14,,2.56,5.49,-0.1,1432.87,,,07-09
300334,津膜科技,0.09,,2.46,3.7,-0.53,764.52,,,07-04
002686,亿利达,0.2,,3.88,5.06,-0.01,1357.94,,,07-02
300593,新雷能,,,,,,-108.0,,,07-02
300333,兆日科技,0.28,,2.92,9.99,0.26,2334.25,,,06-27
300332,天壕环境,0.04,,1.97,1.97,-0.02,923.3,,,06-27
300331,苏大维格,0.12,,3.82,3.18,-0.25,555.82,,,06-27
300329,海伦钢琴,0.15,,3.39,4.43,-0.28,737.15,,,06-18
300328,宜安科技,0.1,,2.82,3.61,0.06,839.11,,,06-18
300330,华虹计通,0.11,,2.39,4.63,-0.65,648.29,,,06-18
300327,中颖电子,0.07,,2.47,2.74,-0.31,640.48,,,06-12
300326,凯利泰,0.31,,2.77,11.98,0.08,1197.52,,,06-12
002685,华东重机,0.0,,1.88,0.1,-0.02,29.49,,,06-11
002684,猛狮科技,0.26,,6.31,4.29,0.27,1053.31,,,06-11
002683,宏大爆破,0.13,,2.51,5.1,0.07,2121.0,,,06-11
002682,龙洲股份,0.14,,4.74,3.05,0.37,1712.82,,,06-11
300324,旋极信息,0.18,,3.98,4.61,-0.95,752.63,,,06-07
