code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000001,平安银行,0.69,35.29,10.32,6.92,6.13,240219.9,52.22,,04-27
000002,万科A,0.11,10.0,4.14,2.68,-0.18,120513.86,6.97,,04-20
000004,国农科技,0.0,-300.0,0.87,1.88,0.12,16.97,-304.38,,04-23
000005,世纪星源,-0.01,-12.5,0.75,-0.92,0.02,-629.1,-8.74,,04-30
000006,深振业A,0.07,-8.0,3.29,2.12,0.4,5267.68,38.16,,04-22
000007,全新好,-0.0,-99.42,-0.23,,-0.01,-4.97,-99.48,,04-28
000008,神州高铁,-0.0,362.5,1.0,-0.29,-0.07,-27.39,353.57,,04-23
000009,中国宝安,0.09,26.44,2.4,4.05,-0.22,10331.36,26.47,,04-27
000010,美丽生态,-0.02,100.0,0.3,-6.77,-0.01,-294.59,111.86,,04-30
000011,深物业A,0.48,9847.92,1.95,27.99,-0.65,28460.52,9922.04,,04-30
000012,南玻A,0.2,-16.67,3.28,6.3,0.2,41530.79,38.78,,04-22
000014,沙河股份,-0.05,-114.73,2.49,-2.09,-0.27,-1060.26,-115.49,,04-25
000016,深康佳A,-0.06,-315.54,3.25,-1.94,0.12,-7686.3,-315.75,,04-28
000017,深中华A,-0.02,-57.93,-3.21,,0.01,-1215.08,-57.88,,04-27
000019,深深宝A,-0.05,-23.33,1.74,-2.59,-0.05,-831.56,-26.79,,04-29
000020,深华发A,0.01,-72.37,0.95,1.23,-0.13,333.83,-72.29,,04-19
000021,深科技,0.03,-61.77,3.18,1.03,0.01,4324.31,-42.7,,04-30
000022,深赤湾A,0.2,-2.96,5.22,3.78,0.28,12728.87,-2.96,,04-28
000023,深天地A,0.02,-125.0,2.3,0.68,0.13,214.15,-119.06,,04-27
000025,特力A,0.0,-129.09,0.8,0.21,-0.03,36.21,-130.08,,04-25
000026,飞亚达A,0.13,62.5,4.64,2.86,-0.16,3673.67,81.51,,04-28
000027,深圳能源,0.13,-31.58,6.39,2.02,0.48,28069.43,-34.51,,04-27
000028,国药一致,0.3,35.14,3.95,7.96,-1.1,8725.93,36.44,,04-29
000029,深深房A,0.02,320.37,1.43,1.6,0.05,2301.3,321.59,,04-29
000030,富奥股份,-0.0,,-0.0,,0.0,-70.64,-88.3,,04-27
000031,中粮地产,0.03,50.0,2.52,1.16,-0.93,5438.17,47.51,,04-27
000032,深桑达A,0.04,0.0,3.14,1.24,-0.37,928.63,12.4,,04-28
000033,*ST新都,-0.01,-7.21,0.87,-1.15,0.02,-337.81,-7.65,,04-29
000034,神州数码,0.02,-1600.0,0.2,8.04,-0.02,553.35,-2430.44,,04-19
000035,中国天楹,0.03,50.0,-7.97,,0.0,477.05,106.22,,04-27
000036,华联控股,0.02,-17.78,1.52,1.48,-0.05,2498.71,-17.55,,04-27
000037,*ST南电A,-0.13,-23.53,2.75,-3.16,-0.02,-7983.94,-23.88,,04-23
000038,深大通,-0.04,-166.67,1.54,-2.55,0.04,-382.35,-166.31,,04-28
000039,中集集团,0.51,283.32,6.64,8.02,-2.25,135825.0,283.28,,04-26
000040,东旭蓝天,0.22,1000.0,1.97,11.37,-0.64,10120.75,807.17,,04-27
000042,中洲控股,0.63,308.95,10.66,6.12,0.67,15100.72,308.88,,04-20
000043,中航地产,-0.03,-224.48,8.85,-0.34,-0.3,-665.87,-224.26,,04-29
000045,深纺织A,0.04,-20.0,4.05,1.05,-0.03,1419.19,24.61,,04-23
000046,泛海控股,-0.02,-136.36,3.43,-0.46,-0.24,-3619.29,-136.01,,04-29
000048,康达尔,0.0,-42.17,-0.32,,0.01,188.32,-41.68,,04-29
000049,德赛电池,0.17,135.74,1.69,10.33,0.1,2273.77,135.58,,04-28
000050,深天马A,0.01,55.56,2.13,0.64,0.01,785.35,44.54,,04-26
000056,皇庭国际,-0.04,-20.0,0.21,-16.87,-0.26,-838.19,-23.0,,04-26
000058,深赛格,0.02,-25.37,1.4,1.08,0.01,1178.44,-25.22,,04-20
000059,华锦股份,0.34,325.0,5.82,6.43,1.8,40785.07,337.18,,04-16
000060,中金岭南,0.07,-50.0,2.96,2.38,0.1,11027.79,-20.32,,04-29
000062,深圳华强,0.03,-40.0,2.69,0.98,-0.03,1752.12,-41.84,,04-28
000065,北方国际,0.03,-130.0,2.99,1.0,-1.85,481.01,-130.69,,04-27
000066,中国长城,0.03,-78.21,2.53,1.35,1.37,4514.8,-47.34,,04-30
000068,华控赛格,-0.01,-17.68,0.28,-5.12,-0.0,-1336.32,-17.69,,04-16
000069,华侨城A,0.08,-21.5,4.28,1.96,-1.39,26110.63,-21.25,,04-30
000070,特发信息,0.03,2.29,3.09,1.02,-0.21,782.02,2.35,,04-22
000078,海王生物,0.04,29.68,1.17,3.18,0.06,2395.28,29.73,,04-20
000088,盐田港,0.11,40.21,3.59,3.12,0.04,13460.98,40.31,,04-27
000089,深圳机场,0.1,-6.48,3.55,2.93,0.13,17328.97,-6.44,,04-19
000090,天健集团,0.27,-1535.11,8.73,2.73,0.16,12320.36,-1535.52,,04-19
000096,广聚能源,-0.01,-71.69,3.25,-0.28,-0.12,-488.32,-71.55,,04-29
000099,中信海直,0.07,-4.12,3.16,2.16,-0.05,3465.25,-4.13,,04-26
000100,TCL集团,0.05,139.09,2.48,2.14,0.15,22303.6,245.34,,04-30
000150,宜华健康,0.0,15.15,2.28,0.17,0.0,124.19,16.17,,04-29
000151,中成股份,0.06,136.0,3.01,1.96,-0.19,1733.15,129.78,,04-14
000153,丰原药业,0.02,1.6,2.76,0.69,0.06,495.79,1.24,,04-28
000155,*ST川化,0.01,-114.29,3.36,,-0.05,691.34,-121.55,,04-20
000156,华数传媒,0.0,-99.61,-2.53,,-0.01,4.21,-99.6,,04-27
000157,中联重科,0.34,-17.03,5.24,6.86,-0.22,202363.73,175.46,,04-30
000158,常山股份,0.02,8900.0,3.32,0.54,-0.35,1292.56,8189.57,,04-27
000159,国际实业,0.04,-9.0,3.61,1.01,-0.07,1751.1,72.4,,04-26
