code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,2.693,0.0419,11.7179,0.043,
000002,万科A,-0.2685,-0.0468,-1.6542,-0.0656,-10.0973
000004,国农科技,1.0318,0.0935,,0.2261,22.8681
000005,世纪星源,0.5423,0.0624,1.1753,0.1439,14.4545
000006,深振业A,-1.6811,-0.1056,-4.3723,-0.1827,-45.1183
000007,全新好,0.1734,0.0158,,0.0152,1.6136
000008,神州高铁,0.0439,0.0024,0.1797,0.0334,3.3352
000009,中国宝安,-0.2835,-0.0374,-1.2256,-0.0595,-7.3244
000010,美丽生态,-0.0226,-0.0036,,-0.0061,-0.6625
000011,深物业A,-0.375,-0.0327,,-0.0493,-7.0646
000012,南玻A,0.2678,0.0692,2.5504,0.1096,12.9051
000014,沙河股份,-1.4126,-0.0693,,-0.1098,-18.0516
000016,深康佳A,0.0281,0.0195,3.928,0.0351,3.5356
000017,深中华A,0.0129,0.0046,0.0653,0.0006,0.0641
000018,神州长城,0.2453,0.021,,0.0885,11.1695
000019,深深宝A,0.0212,0.0044,0.1591,0.0145,1.5445
000020,深华发A,-0.1596,-0.0316,,-0.0892,-8.9204
000021,深科技,0.002,0.0028,0.0258,0.0119,1.2337
000022,深赤湾A,0.5769,0.1085,1.1977,0.3056,34.0896
000023,深天地A,0.0036,0.0013,0.1012,0.002,0.201
000025,特力A,-0.001,-0.0006,,-0.0008,-0.0915
000026,飞亚达A,-0.0902,-0.0365,-1.1639,-0.1191,-12.2834
000027,深圳能源,0.3433,0.1091,1.571,0.3395,76.1786
000028,国药一致,0.0182,0.0206,0.9373,0.0248,2.6104
000029,深深房A,-0.4669,-0.0365,-8.9886,-0.0644,-7.4479
000030,富奥股份,0.0177,0.0006,,0.0,0.0016
000031,中粮地产,-2.4337,-0.099,-1.4172,-0.2017,-24.0812
000032,深桑达A,0.3487,0.1629,8.9078,0.3023,30.2315
000033,*ST新都,0.3244,0.0212,,0.0532,11.9236
000034,神州数码,0.0101,0.0027,,0.0017,0.2122
000035,中国天楹,-0.1218,-0.0032,,-0.0007,-0.0794
000036,华联控股,0.1739,0.0387,9.9615,0.0495,7.0405
000037,*ST南电A,0.0066,0.0021,1.0457,0.0036,0.4021
000038,深大通,0.2125,0.0407,0.0244,0.0044,0.4417
000039,中集集团,-0.0721,-0.0517,-1.2416,-0.0925,-11.9433
000040,东旭蓝天,-2.0991,-0.1226,-3.4562,-0.2129,-30.561
000042,中洲控股,-0.4774,-0.0328,-1.1745,-0.051,-8.375
000043,中航地产,-0.2018,-0.0442,-5.467,-0.0561,-7.3995
000045,深纺织A,-0.0403,-0.013,-1.3468,-0.0415,-4.1936
000046,泛海控股,0.7598,0.1841,4.9581,0.3687,53.646
000048,康达尔,0.0664,0.026,7.4407,0.0209,2.2076
000049,德赛电池,0.0334,0.0164,95.3833,0.0262,2.6182
000050,深天马A,0.1144,0.0242,1.9574,0.0399,11.1494
000055,方大集团,0.0119,0.0026,0.3167,0.0045,0.4638
000056,皇庭国际,-3.3023,-0.0864,,-0.1018,-16.2676
000058,深赛格,-0.1396,-0.0268,,-0.0538,-5.7492
000059,华锦股份,0.2277,0.0611,1.9278,0.0953,17.7208
000060,中金岭南,0.2091,0.1265,1.3296,0.2631,31.5715
000061,农产品,0.271,0.042,2.9195,0.0806,11.7426
000062,深圳华强,-0.1608,-0.0705,-15.5771,-0.1679,-17.0744
000063,中兴通讯,-0.0139,-0.0059,-0.3817,-0.0089,-1.1371
000065,北方国际,-0.3644,-0.1347,,-0.2027,-26.4036
000066,中国长城,0.0143,0.0083,0.304,0.0175,1.8052
000068,华控赛格,0.1465,0.0304,,0.0684,14.3435
000069,华侨城A,-0.1566,-0.0077,-1.0012,-0.0138,-1.5022
000070,特发信息,-0.1512,-0.0352,-18.7013,-0.0977,-11.9686
000078,海王生物,0.01,0.0039,0.2687,0.0055,0.5857
000088,盐田港,0.4236,0.0357,0.4554,0.2498,26.0457
000089,深圳机场,0.4272,0.069,1.0355,0.7464,74.6361
000090,天健集团,0.2023,0.0345,9.5591,0.0681,7.6783
000096,广聚能源,-0.0976,-0.0568,-0.5748,-0.3712,-37.1213
000099,中信海直,0.2919,0.0311,4.1807,0.0764,7.6401
000100,TCL集团,0.0097,0.0096,,0.0128,1.3371
000150,宜华健康,-0.0658,-0.0046,,-0.0343,-3.4592
000151,中成股份,0.3112,0.0756,1.3019,0.357,36.5444
000153,丰原药业,0.0435,0.0126,0.9586,0.0283,2.8498
000155,*ST川化,0.0542,0.0169,4.2723,0.0495,8.3839
000156,华数传媒,0.0428,0.0181,,0.0063,0.9508
000157,中联重科,0.0253,0.013,0.177,0.022,2.3697
000158,常山股份,0.0771,0.0264,3.527,0.0472,6.2192
000159,国际实业,0.4049,0.0637,5.5632,0.107,13.442
000166,申万宏源,,,,,
000301,东方市场,-0.0771,-0.038,-1.4461,-0.1154,-13.9951
000333,美的集团,0.0564,0.0738,1.073,0.1093,10.9525
000338,潍柴动力,0.0341,0.0249,0.3895,0.0379,3.9274
000400,许继电气,-0.2158,-0.0392,-2.2661,-0.0738,-7.6458
000401,冀东水泥,0.1048,0.0212,0.8906,0.0343,5.014
000402,金融街,0.0419,0.0069,0.2023,0.0103,1.6162
000403,ST生化,0.0685,0.0123,,0.0117,1.3088
000404,华意压缩,0.002,0.0011,0.4952,0.0015,0.1635
000407,胜利股份,-0.0831,-0.0236,-1.9734,-0.0376,-4.9993
000408,*ST金源,0.1154,0.0401,7.6159,0.0642,6.7131
000409,山东地矿,,0.042,,0.1132,11.3412
000410,沈阳机床,0.0479,0.0204,1.7245,0.026,2.7058
000411,英特集团,-0.0269,-0.0361,-4.4907,-0.0449,-4.5068
000413,东旭光电,0.0219,0.0055,2.1534,0.0116,1.1556
000415,渤海金控,0.2093,0.0178,,0.0293,3.2677
000416,民生控股,-0.3832,-0.2331,,-1.4063,-140.626
000417,合肥百货,0.0936,0.0802,3.6587,0.1308,13.5157
000418,小天鹅A,0.0336,0.0271,1.7348,0.0438,4.383
000419,通程控股,0.1463,0.0609,5.4499,0.1074,16.4717
000420,吉林化纤,0.0617,0.0284,0.8718,0.0608,9.6077
000421,南京公用,0.0674,0.0246,0.6509,0.0377,5.1072
000422,湖北宜化,0.114,0.0373,1.0081,0.0571,11.2997
000423,东阿阿胶,0.2089,0.0881,1.4612,0.7124,71.2444
000425,徐工机械,0.0673,0.036,5.9735,0.0558,5.9605
000426,兴业矿业,0.0839,0.0086,9.2338,0.0176,3.9956
000428,华天酒店,0.3612,0.0575,0.8298,0.0975,14.5301
000429,粤高速A,0.6069,0.0574,1.0115,0.1426,60.6785
000430,张家界,0.216,0.0362,,0.0313,7.6533
000488,晨鸣纸业,0.0594,0.0185,0.8308,0.0337,4.9237
000498,山东路桥,-1.0861,-0.0082,,-0.0081,-0.8388
000501,鄂武商A,0.0922,0.0682,2.2314,0.1032,11.4128
000502,绿景控股,0.77,0.2076,21.727,0.3576,59.2225
000503,海虹控股,-0.2457,-0.0159,-2.7279,-0.0905,-9.2804
000504,*ST生物,-0.0715,-0.0124,-4.0512,-0.0383,-3.8593
000505,*ST珠江,0.3035,0.0295,,0.0416,4.3204
000506,中润资源,,0.0332,,0.0001,0.008
000507,珠海港,1.1597,0.1082,2.5129,0.1848,21.609
000509,华塑控股,0.1927,0.0504,,0.0592,6.0326
000510,金路集团,0.034,0.013,0.718,0.0235,2.9621
000511,*ST烯碳,0.5806,0.1165,3.5481,0.2128,25.8298
000513,丽珠集团,0.1338,0.0399,0.4568,0.1043,12.066
000514,渝开发,1.1157,0.058,2.9382,0.1988,44.3651
000516,国际医学,0.0101,0.0075,0.2742,0.013,1.4632
000517,荣安地产,5.6834,0.0856,,0.0758,8.0287
000518,四环生物,0.4833,0.0439,,0.2955,29.8638
000519,中兵红箭,-0.3072,-0.0719,-8.6899,-0.3431,-39.986
000520,长航凤凰,0.0146,0.0046,0.3418,0.0072,1.2262
000521,美菱电器,0.0363,0.0239,6.5845,0.0347,3.5702
000523,广州浪奇,-0.1146,-0.0732,-9.2772,-0.227,-24.2265
000524,岭南控股,0.3191,0.0647,3.3209,0.2181,25.9592
000525,红太阳,-0.1377,-0.0564,-7.6933,-0.0728,-7.6874
000526,*ST紫学,-2.5424,-0.0252,,-0.1211,-12.1089
000528,柳工,0.0799,0.0787,0.9504,0.1691,17.0746
000529,广弘控股,-0.213,-0.0254,,-0.0131,-1.3148
000530,大冷股份,0.0035,0.0012,0.0481,0.0035,0.3858
000531,穗恒运A,-0.0408,-0.0087,-18.0843,-0.0136,-2.2172
000532,力合股份,-0.1034,-0.0125,-0.3228,-0.0367,-5.1149
000533,万家乐,0.0266,0.0126,0.7393,0.0152,1.5758
000534,万泽股份,-0.0088,-0.0039,,-0.0206,-2.0701
000536,华映科技,0.0594,0.0171,0.1328,0.0243,2.6745
000537,广宇发展,3.5912,0.0627,,0.0799,9.2488
000538,云南白药,0.0798,0.0526,0.8878,0.1013,10.3985
000539,粤电力A,-0.0083,-0.0018,-0.0773,-0.0037,-0.4507
000540,中天金融,0.0259,0.0041,0.1607,0.0057,0.6749
000541,佛山照明,0.0199,0.0048,0.0466,0.0414,4.1935
000543,皖能电力,0.2679,0.0559,2.2113,0.1433,17.7405
000544,中原环保,0.0304,0.0073,0.122,0.0248,2.4786
000545,金浦钛业,-0.2538,-0.0376,-0.8912,-0.0433,-4.4285
000546,金圆股份,-21.5285,-0.0692,,-0.085,-9.5933
000547,航天发展,0.5424,0.0857,2.9727,0.164,18.6944
000548,湖南投资,-0.3841,-0.0698,-0.7328,-0.2036,-23.5167
000550,江铃汽车,0.1291,0.0894,1.2727,0.2064,22.1753
000551,创元科技,0.0288,0.0127,0.48,0.025,2.7023
000552,靖远煤电,0.2197,0.0697,1.4717,0.1606,23.4745
000553,沙隆达A,0.0919,0.0439,5.0507,0.0879,9.8961
000554,泰山石油,0.0721,0.0944,1.5072,1.291,157.7502
000555,神州信息,,-0.0481,,-0.0071,-0.7317
000557,西部创业,0.4511,0.0161,,0.0071,0.8889
000558,莱茵体育,-0.9651,-0.0867,,-0.1165,-14.332
000559,万向钱潮,0.0906,0.0397,1.1044,0.0717,7.4488
000560,昆百大A,-0.1649,-0.0584,-5.5239,-0.0646,-7.4382
000561,烽火电子,0.5348,0.2406,,0.1236,12.6507
000563,陕国投A,,0.0059,0.2456,0.0092,1.4128
000564,供销大集,0.1411,0.0619,4.2724,0.1435,14.3513
000565,渝三峡A,0.3926,0.0809,5.1093,0.1535,28.5758
000566,海南海药,0.0913,0.0196,0.6856,0.0504,7.8944
000567,海德股份,0.7007,0.1534,5.6614,0.2362,34.402
000568,泸州老窖,0.1483,0.0548,0.7562,0.1459,14.6631
000570,苏常柴A,0.1581,0.0731,0.9805,0.1944,26.7418
000571,新大洲A,0.1215,0.0273,2.4358,0.0877,9.6923
000572,海马汽车,-0.0712,-0.045,-0.6616,-0.085,-10.0202
000573,粤宏远A,0.1765,0.0157,3.5407,0.0407,4.7844
000576,广东甘化,-0.117,-0.029,,-0.0521,-5.7769
000581,威孚高科,0.0919,0.0291,1.343,0.0569,5.7016
000582,北部湾港,0.0563,0.0047,,0.0066,0.8466
000584,友利控股,0.2898,0.0813,0.9914,0.1278,13.4003
000585,东北电气,-0.3899,-0.0743,,-0.2676,-31.5758
000586,汇源通信,0.0691,0.0251,,0.0413,4.1871
000587,金洲慈航,-0.0193,-0.0026,,-0.0022,-0.2229
000589,黔轮胎A,0.0702,0.0408,2.6852,0.0628,8.5315
000590,启迪古汉,0.2436,0.0313,2.3,0.066,6.7924
000591,太阳能,0.1458,0.1015,22.4162,0.1244,12.4949
000592,平潭发展,1580.8218,0.7885,0.3809,0.4706,62.0916
000593,大通燃气,0.0087,0.002,0.2031,0.003,0.3603
000595,*ST宝实,0.0565,0.0152,0.7721,0.0266,2.6974
000596,古井贡酒,-0.0336,-0.0139,-1.9399,-0.0348,-3.822
000597,东北制药,0.0461,0.038,5.4483,0.0628,6.842
000598,兴蓉环境,0.0384,0.0157,0.6876,0.0305,4.2847
000599,青岛双星,0.0693,0.0429,6.4687,0.063,7.2755
000600,建投能源,0.3941,0.0872,2.3709,0.1422,26.2047
000601,韶能股份,0.1009,0.0132,1.2409,0.0232,8.3398
000603,盛达矿业,0.0947,0.0055,0.3957,0.0101,1.3867
000605,渤海股份,0.4006,0.0144,,0.0165,2.0001
000606,神州易桥,0.0159,0.0022,0.2544,0.0051,1.1742
000607,华媒控股,-0.0428,-0.0174,,-0.0247,-2.9985
000608,阳光股份,0.0098,0.0008,0.0601,0.0012,0.1731
000609,绵石投资,0.4752,0.1138,1.7753,0.4291,83.5653
000610,西安旅游,0.2059,0.0445,3.0623,0.1534,15.3392
000611,*ST天首,-0.0699,-0.0137,-0.5995,-0.0359,-3.5918
000612,焦作万方,0.0788,0.0571,0.4965,0.0965,12.1357
000613,*ST东海A,0.0019,0.0002,,0.0001,0.015
