code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
601002,晋亿实业,-0.01,-126.42,,-0.49,,-1149.21,-127.12,,04-28
601003,柳钢股份,-0.14,-393.71,,-6.28,,-34698.7,-393.83,,04-29
601005,*ST重钢,-0.19,110.11,,-8.68,,-82911.6,108.92,,04-30
601006,大秦铁路,0.25,4.17,,4.34,,371588.16,5.36,,04-29
601007,金陵饭店,0.01,-52.17,,0.23,,316.98,-54.69,,04-30
601008,连云港,0.02,-34.78,,0.47,,1514.71,-36.43,,04-24
601009,南京银行,0.6,25.0,11.43,5.34,12.17,177344.7,24.91,,04-28
601010,文峰股份,0.16,-11.11,,2.96,,11853.88,-13.25,,04-30
601011,宝泰隆,-0.04,-166.67,,-0.46,,-1946.49,-180.08,,04-30
601012,隆基股份,0.14,55.56,,2.27,,7400.04,52.52,,04-30
601015,陕西黑猫,0.06,200.0,,1.33,,3796.41,225.25,,04-30
601016,节能风电,0.04,89.47,,1.98,,6373.34,104.96,,04-29
601018,宁波港,0.06,20.0,2.46,2.46,-0.07,76499.4,16.13,,04-29
601020,华钰矿业,0.01,,,0.3,,287.22,,,04-25
601021,春秋航空,0.69,18.97,,5.24,,25432.35,46.43,,04-30
601028,玉龙股份,0.12,50.0,,1.71,,4437.2,66.09,,04-18
601038,一拖股份,0.09,-8.44,,1.96,,9071.06,-8.43,,04-30
601058,赛轮金宇,0.06,-72.73,,0.76,,3195.14,-66.88,,04-30
601069,西部黄金,0.02,-59.21,,0.82,,1170.25,-52.48,,04-25
601088,中国神华,0.29,-45.21,14.98,1.93,0.5,569000.0,-45.15,,04-25
601098,中南传媒,0.16,23.08,,2.82,,29539.08,23.15,,04-29
601099,太平洋,0.08,110.81,,4.21,,27533.82,346.0,,04-24
601100,恒立液压,0.01,-83.33,,0.16,,545.17,-85.09,,04-28
601101,昊华能源,0.02,-66.67,5.68,0.28,-0.16,1910.46,-71.35,,04-29
601106,中国一重,-0.04,-12.99,,-1.74,,-28903.74,-12.92,,04-29
601107,四川成渝,0.09,8.94,,2.41,,28678.22,8.96,,04-30
601111,中国国航,0.14,1300.0,,3.03,,167524.4,1707.01,,04-30
601113,华鼎股份,-0.03,200.0,,-1.25,,-2052.26,504.46,,04-27
601116,三江购物,0.07,-27.92,,1.74,,2810.44,-27.88,,04-25
601117,中国化学,0.11,-21.43,,2.23,,53238.39,-21.75,,04-17
601118,海南橡胶,-0.03,-1573.68,,-1.23,,-11006.58,-1602.17,,04-28
601126,四方股份,0.02,6.25,,0.28,,967.79,6.91,,04-29
601127,小康股份,,,,,,8735.1,-13.15,,04-28
601137,博威合金,0.11,10.0,,1.15,,2312.83,3.32,,04-28
601139,深圳燃气,0.06,-14.29,,2.23,-0.04,12233.09,-15.78,,04-23
601155,新城控股,0.03,,,0.47,,3264.62,,,04-28
601158,重庆水务,0.07,16.67,,2.38,,31933.2,9.62,,04-29
601166,兴业银行,0.78,11.43,14.33,5.86,-2.82,1479000.0,10.68,,04-28
601168,西部矿业,-0.02,-166.67,,-0.43,,-4963.8,-183.21,,04-30
601169,北京银行,0.47,-7.84,,5.08,,498600.0,10.26,,04-28
601177,杭齿前进,0.01,-30.77,,0.29,,506.03,-30.66,,04-29
601179,中国西电,0.03,60.1,,0.9,,16254.1,60.34,,04-30
601186,中国铁建,0.18,12.5,,2.17,,217700.9,8.72,,04-30
601188,龙江交通,0.05,-18.33,,1.86,,6431.73,-18.25,,04-28
601198,东兴证券,0.31,158.33,,7.35,,68126.51,190.49,,04-30
601199,江南水务,0.13,18.18,8.59,1.49,0.04,2964.85,19.39,,04-29
601200,上海环境,,,,,,6582.49,151.23,,04-30
601208,东材科技,0.04,-20.0,,1.06,,2368.12,-28.14,,04-25
601211,国泰君安,0.46,187.5,,6.4,3.56,283535.65,197.85,,06-25
601216,君正集团,0.07,-29.92,,2.31,,15160.61,12.18,,04-29
601218,吉鑫科技,0.02,562.5,,0.67,,1575.72,573.0,,04-24
601222,林洋能源,0.22,22.22,,2.66,,7951.16,25.08,,04-28
601225,陕西煤业,-0.03,-150.0,,-0.84,,-29104.73,-148.56,,04-25
601226,华电重工,0.04,-13.36,4.64,0.9,-0.79,3195.83,7.72,,04-28
601228,广州港,0.03,-37.5,,,,13806.03,-35.26,,05-04
601231,环旭电子,0.13,-18.75,,2.23,,14127.19,-10.5,,04-23
601233,桐昆股份,0.11,-164.71,,1.48,,10192.18,-161.05,,04-28
601238,广汽集团,0.08,-38.46,,1.49,,52987.1,-37.6,,04-28
601258,庞大集团,0.01,-66.67,,0.3,,3622.44,-54.7,,04-30
601288,农业银行,0.17,6.25,3.21,5.32,1.19,5411600.0,1.28,,04-29
601311,骆驼股份,0.12,-33.33,,2.42,,9854.13,-36.08,,04-24
601313,江南嘉捷,0.09,13.43,,2.37,,3653.13,13.28,,04-29
601318,中国平安,2.19,59.85,34.43,6.6,6.7,1996400.0,84.7,,04-30
601328,交通银行,0.26,4.0,6.6,3.95,,1897000.0,1.5,,04-29
601333,广深铁路,0.04,164.29,,0.98,,26227.67,169.89,,04-29
601336,新华保险,1.16,132.0,17.29,7.09,1.85,362400.0,132.31,,04-30
601339,百隆东方,0.16,14.29,,1.82,,12036.75,15.06,,04-28
601368,绿城水务,0.09,,2.66,3.54,0.17,5462.33,,,06-11
601369,陕鼓动力,0.06,20.0,,1.66,,10210.25,16.04,,04-30
601377,兴业证券,0.21,200.0,,7.05,,107318.99,471.66,,04-28
601388,怡球资源,0.04,0.0,,0.91,,2007.02,23.75,,04-29
601390,中国中铁,0.1,11.11,,2.13,,207194.1,13.97,,04-30
601398,工商银行,0.21,0.0,4.52,4.84,,7432400.0,1.39,,04-30
601515,东风股份,0.21,-43.24,,7.19,,23195.26,12.11,,04-30
601518,吉林高速,0.07,0.0,,3.2,,7954.64,-5.87,,04-29
601519,大智慧,0.02,325.0,,1.12,,3422.01,417.97,,04-25
601555,东吴证券,0.23,187.5,,4.24,,61368.1,281.26,,04-28
601558,华锐风电,-0.04,-0.0,,-2.86,,-24801.02,44.85,,04-30
601566,九牧王,0.22,-12.0,,2.84,,12794.03,-11.5,,04-24
601567,三星医疗,0.1,25.0,,1.7,,4153.14,29.75,,04-28
601579,会稽山,0.13,-18.75,,3.43,,5009.34,6.67,,04-24
601588,北辰实业,0.03,50.0,,0.93,,10142.04,51.45,,04-28
601599,鹿港文化,0.01,,,,,560.19,-15.37,,04-30
601600,中国铝业,0.01,-103.13,,0.22,,6307.1,-102.92,,04-29
601601,中国太保,0.54,54.29,13.66,4.1,0.7,490300.0,52.69,,04-30
601607,上海医药,0.27,25.09,,2.6,,73327.45,25.08,,04-29
601608,中信重工,0.04,-30.91,,1.22,,9630.12,-30.87,,04-28
601611,中国核建,,,,,,12797.73,1.04,,04-30
601616,广电电气,0.0,-43.28,,0.14,,350.69,-44.04,,04-30
601618,中国中冶,0.07,16.67,,2.66,,127348.0,14.44,,04-29
601628,中国人寿,0.43,65.38,10.69,4.19,0.01,1227100.0,69.77,,04-29
601633,长城汽车,0.83,26.29,,7.3,,253590.64,26.45,,04-18
601636,旗滨集团,0.04,-46.75,,0.85,,3430.68,-35.73,,04-25
601666,平煤股份,-0.01,-152.2,,-0.22,,-2524.81,-152.08,,04-30
601668,中国建筑,0.19,26.67,5.31,3.97,-1.65,562483.7,21.59,,04-30
601669,中国电建,0.1,11.53,,2.67,,100313.83,11.53,,04-30
601677,明泰铝业,0.1,400.0,,1.49,,4155.76,416.63,,04-28
601678,滨化股份,0.13,-40.91,,2.82,,12555.48,-11.58,,04-16
601688,华泰证券,0.36,158.18,,4.76,,201535.42,158.17,,04-23
601689,拓普集团,0.17,-5.56,,5.91,,8982.93,-2.46,,04-30
601699,潞安环能,0.03,-69.61,,0.38,,7141.23,-69.48,,04-30
601700,风范股份,0.14,40.0,,2.22,,6341.38,40.7,,04-22
601717,郑煤机,0.02,-77.78,,0.42,,4014.6,-71.42,,04-25
601718,际华集团,0.05,-20.51,3.14,1.64,0.02,19671.47,-18.89,,04-28
601727,上海电气,0.05,-2.68,,1.84,,65120.6,-2.77,,04-25
601766,中国中车,0.07,16.67,,2.37,,97172.07,25.84,,04-30
601777,力帆股份,0.1,-15.74,,1.64,,11790.59,1.46,,04-29
601788,光大证券,0.44,557.65,,5.87,,151275.0,557.93,,04-29
601789,宁波建工,0.12,-0.43,,2.58,,5677.79,-0.43,,04-28
601798,蓝科高新,0.01,0.0,,0.25,,483.77,-5.97,,04-21
601799,星宇股份,0.25,13.82,,2.98,,5996.39,13.78,,04-21
601800,中国交建,0.12,9.09,,1.66,,196034.19,7.63,,04-29
601801,皖新传媒,0.24,9.09,,4.2,,22200.35,9.01,,04-28
601808,中海油服,0.2,-33.33,,2.03,,97004.76,-31.2,,04-30
601818,光大银行,0.18,0.0,4.02,4.56,,835800.0,2.34,,04-30
601857,中国石油,0.03,-84.21,,0.5,,614900.0,-82.05,,04-28
601866,中远海发,0.02,301.89,,1.0,,24899.86,305.58,,04-28
601872,招商轮船,0.05,25.0,,2.21,,22504.31,22.63,,04-29
601877,正泰电器,0.3,3.45,,4.88,,30214.38,1.68,,04-29
601880,大连港,0.03,-10.87,,0.78,,11835.32,-1.25,,04-29
601886,江河集团,0.04,0.0,,0.97,,5097.89,16.75,,04-16
601888,中国国旅,0.66,21.3,11.0,6.2,,64599.54,21.3,,04-30
601890,亚星锚链,0.07,0.0,,1.1,,3083.47,-3.65,,04-28
601898,中煤能源,0.0,-97.5,,0.02,,1513.9,-97.19,,04-25
601899,紫金矿业,0.02,-20.83,,1.47,,41497.76,-20.29,,04-21
601900,南方传媒,0.16,,,5.33,,10572.16,,,04-28
601901,方正证券,0.12,71.43,3.81,3.14,0.64,97033.08,122.97,,04-30
601908,京运通,0.04,100.0,,0.93,,3527.69,77.22,,04-28
601918,新集能源,-0.19,133.33,2.41,-7.58,-0.17,-49058.99,132.74,,04-30
601919,中远海控,-0.1,-44.44,,-4.31,,-102909.14,-45.27,,04-30
601928,凤凰传媒,0.08,-16.2,,2.1,,21318.01,-12.1,,04-29
601929,吉视传媒,0.09,-7.89,,2.65,,13531.13,-7.9,,04-28
601933,永辉超市,0.11,-42.11,,5.5,,36383.6,19.03,,04-30
601939,建设银行,0.27,3.85,5.26,5.26,,6700500.0,1.86,,04-30
601958,金钼股份,0.0,-50.0,,0.02,,261.09,-58.71,,04-29
601965,中国汽研,0.11,10.0,,1.93,,6864.98,6.75,,04-18
601968,宝钢包装,,,,,,2250.87,36.29,,04-29
601969,海南矿业,0.03,-73.08,,1.14,,5263.05,-69.95,,04-28
601985,中国核电,0.09,,,,,107637.84,83.86,,04-28
601988,中国银行,0.16,0.0,3.83,4.23,1.36,4583800.0,1.05,,04-30
601989,中国重工,0.02,-52.27,,0.64,,38539.36,-47.39,,04-30
601991,大唐发电,0.06,-17.8,,1.75,,77528.6,-17.74,,04-28
601992,金隅股份,0.03,-40.0,,0.47,,14627.22,-31.49,,04-23
601996,丰林集团,0.01,-66.67,,0.23,,392.67,-70.83,,04-30
601997,贵阳银行,0.38,,,,,67477.7,,,07-27
601998,中信银行,0.23,0.0,5.79,4.18,-0.67,1092800.0,2.07,,04-25
601999,出版传媒,0.0,50.0,,0.09,,156.38,26.1,,04-25
603000,人民网,0.03,-81.25,,0.7,,1774.93,-60.6,,04-29
603001,奥康国际,0.27,8.32,,2.75,,10894.4,8.59,,04-25
603002,宏昌电子,0.04,7.14,,1.75,,1678.67,7.06,,04-27
603003,龙宇燃油,-0.12,-950.0,,-3.06,,-2369.12,-951.77,,04-30
603005,晶方科技,0.22,4.76,,3.14,,4940.08,17.89,,04-28
603006,联明股份,0.19,,,2.6,,1502.75,-10.67,,04-28
603008,喜临门,0.08,14.29,,2.01,,2444.49,10.65,,04-21
603009,北特科技,0.11,,,2.6,,1137.81,2.98,,04-29
603010,万盛股份,0.19,137.5,,3.61,,1881.76,223.98,,04-30
603011,合锻智能,0.03,-25.0,,0.89,,511.6,6.62,,04-30
603012,创力集团,0.14,-6.67,,2.07,,3639.61,1.04,,04-28
603015,弘讯科技,0.12,-14.29,,3.65,,2048.17,0.36,,04-21
603016,新宏泰,0.13,,,3.51,,1401.75,,,06-08
603017,中衡设计,0.2,-4.76,,1.5,,1223.32,28.88,,04-30
603018,中设集团,0.34,-32.0,,2.18,,3577.75,-8.45,,04-29
603019,中科曙光,-0.11,-42.11,,-2.81,,-3276.86,-24.79,,04-22
603020,爱普股份,0.39,4.55,,5.18,,4659.26,4.53,,04-29
603021,山东华鹏,0.09,200.0,,1.49,,724.07,249.78,,04-29
603022,新通联,0.15,,,3.22,,892.2,,,04-30
603023,威帝股份,0.24,,,8.48,,1419.74,,,04-29
603025,大豪科技,0.11,-35.29,,4.59,,4254.99,-36.07,,04-30
603026,石大胜华,0.16,,,2.35,,2359.15,-23.62,,05-11
603027,千禾味业,0.16,,,4.63,,1901.05,,,04-28
603028,赛福天,0.05,,,2.15,,886.99,,,04-23
603029,天鹅股份,0.04,,,0.58,0.46,269.1,,,04-26
603030,全筑股份,0.02,0.0,,0.48,,287.51,2.35,,04-27
603066,音飞储存,0.08,,,1.48,,592.96,,,04-28
603077,和邦生物,0.04,-42.86,,0.8,,3824.78,23.18,,04-30
603085,天成自控,0.08,,,2.66,,589.68,,,04-26
603088,宁波精达,0.1,66.67,,1.7,,775.09,101.83,,04-28
603099,长白山,-0.03,,,-0.96,,-751.67,-29.04,,04-29
603100,川仪股份,0.06,-25.0,,1.45,,2505.28,3.54,,04-29
603101,汇嘉时代,0.12,,,3.79,0.37,2148.13,,,05-05
603108,润达医疗,0.18,80.0,6.87,2.7,-0.88,1298.35,82.26,,05-26
603111,康尼机电,0.12,,,3.59,,3578.28,38.14,,04-28
603116,红蜻蜓,0.21,31.25,,,,7189.25,30.05,,06-26
603117,万林股份,0.05,-16.67,,1.93,,1902.02,-13.05,,06-10
603118,共进股份,0.25,13.64,,3.95,,6347.28,26.94,,04-28
603123,翠微股份,0.09,-21.67,,1.76,,4934.83,34.89,,04-30
603126,中材节能,0.05,,,1.09,,1964.37,-1.86,,04-29
603128,华贸物流,0.06,20.0,,1.72,,2392.7,29.93,,04-18
603158,腾龙股份,0.32,18.52,,7.13,,2561.49,20.6,,04-28
603166,福达股份,0.02,-56.76,,0.68,,692.85,-51.46,,04-27
603167,渤海轮渡,0.12,9.09,,2.1,,5772.51,4.88,,04-28
603168,莎普爱思,0.64,,,5.37,,4206.33,27.31,,04-28
603169,兰石重装,-0.02,-67.65,,-0.96,,-1279.69,-60.82,,04-29
603188,亚邦股份,0.73,4.52,10.15,7.47,-0.09,21047.29,39.37,,04-28
603198,迎驾贡酒,0.29,,,7.77,,20653.25,,,04-29
603199,九华旅游,0.18,4.84,,2.69,,1455.15,4.85,,04-28
603222,济民制药,0.08,-11.11,,2.08,,1104.11,-0.03,,04-24
603223,恒通股份,0.08,,,2.26,,750.12,,,04-30
603227,雪峰科技,-0.03,-72.45,,,,-659.57,-72.79,,05-14
603268,松发股份,0.18,-14.29,,4.1,,1210.82,-12.74,,04-30
603288,海天味业,0.49,13.95,,9.26,,73359.57,15.66,,04-30
603299,井神股份,,,,,,1610.9,-56.83,,04-28
