code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,,0.005,2.0421,0.0053,
000002,万科A,-1.7252,-0.0292,-16.8987,-0.0374,-4.1549
000004,国农科技,-0.5654,-0.0345,,-0.0633,-7.5789
000005,世纪星源,1.29,0.0128,,0.0249,2.6874
000006,深振业A,-0.5322,-0.0608,-3.5124,-0.0955,-14.8565
000007,全新好,-0.5943,-0.0246,,-0.0518,-5.3684
000008,神州高铁,-0.0872,-0.0059,-0.3577,-0.0379,-3.9433
000009,中国宝安,-0.1212,-0.0073,-1.0358,-0.0116,-1.8327
000010,美丽生态,-0.6458,-0.1133,,-0.306,-49.1419
000011,深物业A,-0.9583,-0.034,-363.7686,-0.0745,-9.2141
000012,南玻A,0.0245,0.0025,0.4202,0.0058,0.663
000014,沙河股份,-2.346,-0.0395,-145.6317,-0.0594,-11.8765
000016,深康佳A,0.0607,0.0172,63.1398,0.0237,2.6359
000017,深中华A,-0.126,-0.0454,-7.1167,-0.0585,-5.8515
000018,神州长城,0.4345,0.0071,,0.0235,2.9073
000019,深深宝A,0.4064,0.0219,,0.2058,23.7232
000020,深华发A,-0.0184,-0.0019,-4.2303,-0.0025,-0.774
000021,深科技,-0.0686,-0.0197,-5.2471,-0.0315,-3.1703
000022,深赤湾A,0.395,0.0231,1.213,0.0822,11.7635
000023,深天地A,-0.201,-0.0236,,-0.0337,-3.4196
000025,特力A,0.3644,0.0208,68.7859,0.0505,8.7225
000026,飞亚达A,0.1223,0.0278,2.4239,0.0486,6.5157
000027,深圳能源,0.4221,0.0265,2.4638,0.0571,7.054
000028,国药一致,0.0291,0.0136,0.9013,0.0218,2.2633
000029,深深房A,-0.0657,-0.0048,-0.845,-0.009,-1.1132
000030,富奥股份,0.0732,0.0115,0.4994,0.0343,4.4559
000031,中粮地产,-2.4219,-0.0338,-27.741,-0.0441,-6.8293
000032,深桑达A,-0.0604,-0.0129,,-0.054,-5.4898
000033,*ST新都,0.1014,0.0038,,0.0026,3.4272
000034,神州数码,-0.167,-0.0365,-0.7076,-0.0632,-6.3585
000035,中国天楹,0.2885,0.0085,0.9679,0.0144,2.9699
000036,华联控股,-4.1956,-0.0343,,-0.0633,-22.1453
000037,*ST南电A,-0.3102,-0.0148,,-0.0193,-2.098
000038,深大通,0.0838,0.0072,,0.0092,0.9424
000039,中集集团,0.0103,0.0016,0.2819,0.0023,0.3207
000040,东旭蓝天,-1.1366,-0.0522,-34.9416,-0.0739,-8.2011
000042,中洲控股,-0.3038,-0.0384,-1.352,-0.05,-8.0557
000043,中航地产,-0.7275,-0.0242,,-0.0301,-5.0088
000045,深纺织A,0.1397,0.0146,9.7449,0.0601,8.3687
000046,泛海控股,-1.5507,-0.0159,-3.7657,-0.0189,-3.5995
000048,康达尔,0.3946,0.0678,18.9079,0.0956,9.7973
000049,德赛电池,0.0792,0.0423,1.7942,0.0597,6.1328
000050,深天马A,0.2801,0.04,5.4567,0.0813,14.5613
000055,方大集团,-0.4928,-0.0645,-16.9301,-0.1009,-10.5388
000056,皇庭国际,-0.0263,-0.0003,-0.2671,-0.0005,-0.1903
000058,深赛格,-0.198,-0.0148,-1.3021,-0.0369,-3.7911
000059,华锦股份,0.4201,0.0894,,0.1252,15.9441
000060,中金岭南,0.0271,0.0048,1.2629,0.0096,1.4862
000061,农产品,0.155,0.004,19.5064,0.0071,0.9429
000062,深圳华强,-0.2949,-0.0202,-1.5993,-0.0531,-9.2205
000063,中兴通讯,-0.1816,-0.0339,-4.4278,-0.049,-6.0046
000065,北方国际,-0.7373,-0.0706,-15.1418,-0.0928,-9.335
000066,中国长城,-0.142,-0.0586,,-0.0751,-8.539
000068,华控赛格,-2.39,-0.0315,,-0.7719,-79.1597
000069,华侨城A,-0.3705,-0.0163,-2.7875,-0.025,-3.9101
000070,特发信息,-0.0534,-0.0093,-1.5338,-0.0176,-2.0038
000078,海王生物,-0.1497,-0.0366,-8.9341,-0.044,-4.4298
000088,盐田港,0.2549,0.0022,0.1984,0.0107,11.0326
000089,深圳机场,0.3081,0.0181,2.3704,0.0514,9.4126
000090,天健集团,-0.1916,-0.0196,-4.6553,-0.0302,-3.5168
000096,广聚能源,0.2819,0.0309,0.5127,0.2486,27.381
000099,中信海直,0.1416,0.0088,1.0829,0.0232,7.5856
000100,TCL集团,0.0337,0.0073,0.8001,0.0104,1.4178
000150,宜华健康,0.4289,0.0203,20.583,0.0365,5.3408
000151,中成股份,-0.2209,-0.0209,-2.5673,-0.0321,-3.2132
000153,丰原药业,0.0374,0.0065,2.4693,0.0134,1.4763
000155,*ST川化,-0.191,-0.0101,,-0.0059,-0.6423
000156,华数传媒,0.1001,0.0112,0.4772,0.0193,2.9804
000157,中联重科,-0.9848,-0.0375,,-0.0642,-12.2634
000158,常山股份,-0.0075,-0.002,,-0.0035,-0.3719
000159,国际实业,-0.4559,-0.0279,,-0.0888,-10.506
000166,申万宏源,,0.123,12.8706,0.1457,
000301,东方市场,0.152,0.0054,0.6005,0.0238,6.5081
000333,美的集团,0.0589,0.0184,0.6844,0.0289,2.9383
000338,潍柴动力,-0.1327,-0.0204,-3.0598,-0.0311,-5.2622
000400,许继电气,-0.2482,-0.0194,-15.9392,-0.0482,-5.7828
000401,冀东水泥,0.0653,0.0022,,0.0031,0.465
000402,金融街,-3.3289,-0.0476,-5.311,-0.0706,-15.2108
000403,ST生化,0.3283,0.0294,3.0892,0.0481,5.7387
000404,华意压缩,0.0176,0.0048,0.4996,0.008,0.8205
000407,胜利股份,-0.1198,-0.0196,-14.6727,-0.0376,-4.4955
000408,*ST金源,0.0043,0.0009,1.42,0.0013,0.1477
000409,山东地矿,-0.5206,-0.0095,,-0.0154,-2.1196
000410,沈阳机床,-0.3638,-0.0241,,-0.0273,-3.6991
000411,英特集团,-0.2255,-0.138,-23.5976,-0.1786,-18.0343
000413,东旭光电,-0.2755,-0.0117,-0.7474,-0.0221,-4.6266
000415,渤海金控,0.6824,0.017,4.2807,0.0201,6.2121
000416,民生控股,-279.8583,-0.0425,-3.9987,-0.1777,-17.9743
000417,合肥百货,0.0435,0.0164,1.0984,0.0316,3.3645
000418,小天鹅A,0.1197,0.0339,1.4226,0.0636,6.3777
000419,通程控股,-0.1338,-0.0422,-4.0404,-0.0918,-9.5384
000420,吉林化纤,-0.8171,-0.0542,,-0.0788,-10.2398
000421,南京公用,0.217,0.0384,1.945,0.0856,9.2566
000422,湖北宜化,0.2218,0.0257,84.644,0.0321,4.8148
000423,东阿阿胶,-0.1803,-0.0322,-0.4886,-0.1779,-18.7385
000425,徐工机械,-0.274,-0.0259,,-0.0451,-6.1289
000426,兴业矿业,-0.0201,-0.0011,-0.5814,-0.0036,-0.4825
000428,华天酒店,0.0266,0.0008,,0.0009,0.1622
000429,粤高速A,0.6732,0.0194,2.2229,0.0373,25.9524
000430,张家界,-0.0422,-0.004,,-0.0133,-2.4116
000488,晨鸣纸业,-0.1178,-0.0088,-6.3556,-0.0116,-1.6833
000498,山东路桥,-0.6248,-0.0549,-14.5711,-0.0791,-8.9011
000501,鄂武商A,0.0598,0.019,1.1135,0.0258,2.5905
000502,绿景控股,-0.7225,-0.0112,,-0.0689,-6.887
000503,海虹控股,-2.6627,-0.0858,,-1.3701,-140.3299
000504,*ST生物,-5.0851,-0.0514,,-0.0531,-5.3903
000505,*ST珠江,-0.6196,-0.0316,-0.7103,-0.0308,-4.5368
000506,中润资源,0.3977,0.0101,,0.019,2.0173
000507,珠海港,0.0362,0.003,,0.0059,0.994
000509,华塑控股,-0.4566,-0.0286,,-0.0286,-2.9164
000510,金路集团,-0.5286,-0.1194,,-0.229,-25.1858
000511,*ST烯碳,0.3954,0.0298,,0.0472,5.1522
000513,丽珠集团,0.0488,0.0099,0.3734,0.0239,2.8202
000514,渝开发,-0.9491,-0.017,,-0.0298,-4.8953
000516,国际医学,-0.0129,-0.0041,-0.1453,-0.0079,-0.8501
000517,荣安地产,-1.9406,-0.049,-129.1068,-0.1224,-24.6851
000518,四环生物,0.0158,0.0009,0.0767,0.0063,0.6566
000519,中兵红箭,-0.2512,-0.0188,-1.7488,-0.1044,-11.3316
000520,长航凤凰,-0.0765,-0.0309,-7.5679,-0.0427,-5.4383
000521,美菱电器,-0.0471,-0.0127,-2.5029,-0.0196,-2.1509
000523,广州浪奇,0.0389,0.0159,28.3599,0.0249,2.5512
000524,岭南控股,0.0888,0.008,0.9016,0.0286,8.1977
000525,红太阳,0.2136,0.0262,3.8034,0.0402,4.1427
000526,*ST紫学,0.3557,0.0111,1.3038,0.0531,5.3574
000528,柳工,-0.2265,-0.0209,-5.7865,-0.0381,-6.2865
000529,广弘控股,-0.0616,-0.0208,-1.5918,-0.0867,-8.7394
000530,大冷股份,-0.3265,-0.0412,-5.5927,-0.1309,-13.8226
000531,穗恒运A,0.4282,0.0307,1.9736,0.0578,9.5509
000532,力合股份,0.2013,0.0067,0.543,0.029,3.9092
000533,万家乐,0.0497,0.0132,0.8393,0.0289,4.1596
000534,万泽股份,0.3294,0.0128,3.4296,0.0234,2.9451
000536,华映科技,0.6525,0.0943,17.9036,0.1556,16.5734
000537,广宇发展,-0.6274,-0.037,-2.379,-0.0794,-8.134
000538,云南白药,0.1765,0.0489,1.4796,0.1618,20.6114
000539,粤电力A,0.4371,0.0377,2.5247,0.0635,17.2031
000540,中天金融,-0.2405,-0.0225,-1.3597,-0.028,-3.7386
000541,佛山照明,0.0875,0.0175,0.6853,0.1018,11.6737
000543,皖能电力,0.2433,0.0319,1.2419,0.0738,19.9701
000544,中原环保,-0.224,-0.0223,-2.3359,-0.0386,-4.6435
000545,金浦钛业,0.1152,0.0104,2.0287,0.0394,5.019
000546,金圆股份,-0.0609,-0.0014,,-0.0024,-0.2961
000547,航天发展,0.7007,0.0257,1.2547,0.0786,14.9859
000548,湖南投资,-0.5542,-0.013,,-0.0653,-6.5426
000550,江铃汽车,-0.0133,-0.0043,-0.1467,-0.0101,-1.0518
000551,创元科技,-0.1093,-0.0192,-2.7321,-0.0423,-4.7056
000552,靖远煤电,-0.4684,-0.0302,-3.82,-0.1062,-10.6755
000553,沙隆达A,-0.0423,-0.0075,-0.3048,-0.0227,-4.093
000554,泰山石油,0.0774,0.052,56.4148,0.2923,31.1257
000555,神州信息,-0.3273,-0.0616,-24.5357,-0.121,-13.276
000557,西部创业,-1.2724,-0.0084,-18.5913,-0.0173,-1.7495
000558,莱茵体育,-0.0123,-0.0016,-0.4772,-0.0026,-0.3514
000559,万向钱潮,0.1074,0.022,1.1953,0.0353,4.5058
000560,昆百大A,-0.0046,-0.0005,-0.4149,-0.0007,-0.1018
000561,烽火电子,-0.7299,-0.0398,,-0.0886,-9.6281
000563,陕国投A,,0.0007,0.0411,0.0064,0.7707
000564,供销大集,0.016,0.0023,0.7112,0.003,0.3515
000565,渝三峡A,-0.0999,-0.0115,-1.2684,-0.0382,-4.5245
000566,海南海药,-0.0787,-0.0068,-0.4976,-0.0143,-2.4907
000567,海德股份,-22.9649,-0.0215,-13.2923,-0.0847,-8.4726
000568,泸州老窖,-0.1661,-0.0232,-0.5604,-0.0967,-9.8081
000570,苏常柴A,0.0028,0.0005,0.1019,0.0014,0.1565
000571,新大洲A,-0.3265,-0.0105,-2.0312,-0.0261,-3.3763
000572,海马汽车,0.1979,0.0434,4.9775,0.1086,11.1297
000573,粤宏远A,-0.3738,-0.0159,,-0.0317,-4.1979
000576,广东甘化,-0.2333,-0.0134,,-0.0357,-5.8352
000581,威孚高科,0.1169,0.0137,0.4673,0.0607,6.9565
000582,北部湾港,0.232,0.0188,1.6054,0.033,5.7377
000584,友利控股,0.0391,0.0049,0.4019,0.014,1.5789
000585,东北电气,-0.7681,-0.0465,,-0.1154,-16.8835
000586,汇源通信,-0.4281,-0.0769,,-0.1547,-17.7474
000587,金洲慈航,0.0181,0.0132,1.4678,0.0224,2.2444
