code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,14.7,17.53,46.7461,890.2956,0.4575,5076.9979,2.6091
000002,万科A,13.66,16.06,39.4164,1359.0146,0.3423,8460.0297,2.131
000004,国农科技,-5.92,-23.58,50.2413,-4.7477,-0.0565,20.1311,0.2397
000005,世纪星源,8.76,21.25,41.7846,73.0901,0.0799,343.834,0.376
000006,深振业A,14.7,17.69,35.837,181.9167,0.7173,1028.1871,4.0544
000007,全新好,-38.42,-22.24,80.6334,-24.5786,-0.1328,110.4723,0.5972
000008,神州高铁,-0.86,-8.11,18.3232,-0.6279,-0.0085,7.7341,0.105
000009,中国宝安,1.22,1.0,30.5751,14.4852,0.0151,1444.7426,1.5068
000010,美丽生态,-46.83,-26.55,34.6223,-18.1882,-0.1237,68.4802,0.4657
000011,深物业A,-6.23,-16.48,30.8472,-37.6349,-0.0694,228.2884,0.4213
000012,南玻A,10.02,12.45,32.1059,256.6447,0.2527,2060.9755,2.0295
000014,沙河股份,12.84,14.65,35.0459,45.8448,0.3409,312.7521,2.3258
000016,深康佳A,1.48,0.56,17.2942,48.3725,0.0803,8559.9345,14.2194
000017,深中华A,,-5.42,0.8696,-8.4152,-0.0175,155.0326,0.3233
000018,神州长城,-8.73,-12.38,1.7415,-21.1289,-0.1249,170.653,1.0089
000019,深深宝A,2.62,7.81,14.8094,6.4762,0.0355,82.8642,0.4554
000020,深华发A,0.56,1.69,5.1921,1.3615,0.0048,80.5359,0.2844
000021,深科技,8.45,3.5,4.1922,254.8284,0.2897,7265.8115,8.2611
000022,深赤湾A,23.37,34.74,65.3531,496.0528,0.7693,1427.6969,2.2142
000023,深天地A,2.89,2.04,11.6788,6.5781,0.0474,321.7469,2.3187
000025,特力A,1.54,0.42,8.2417,3.5747,0.0162,832.4708,3.7791
000026,飞亚达A,3.7,5.94,35.4812,20.5319,0.0823,345.292,1.3849
000027,深圳能源,12.91,11.09,23.7057,566.8649,0.4714,5107.3427,4.2472
000028,国药一致,14.91,1.64,10.9682,65.7719,0.2282,4008.3906,13.9108
000029,深深房A,1.0,1.93,20.0581,10.7754,0.0106,557.0195,0.5505
000030,富奥股份,,,,18.695,0.0648,,
000031,中粮地产,7.94,38.59,54.927,100.3475,0.1434,260.0338,0.3717
000032,深桑达A,4.83,2.49,11.9495,29.3567,0.1512,1176.9714,6.0651
000033,*ST新都,0.31,2.45,95.8477,1.4033,0.0042,57.1065,0.1733
000034,神州数码,,-1.85,11.9807,-4.9325,-0.0158,265.9606,0.8547
000035,中国天楹,,-77.1,-31.4831,-1.5729,-0.0135,2.04,0.0176
000036,华联控股,7.41,3.84,14.8017,135.9592,0.1209,3537.9804,3.1479
000037,*ST南电A,-3.05,-1.64,-8.3648,-45.2115,-0.0825,2754.6799,5.0271
000038,深大通,-24.09,-29811.37,0.0,-14.2162,-0.1571,0.0477,0.0005
000039,中集集团,20.46,8.62,13.8522,2185.4931,0.985,25333.3639,11.4182
000040,东旭蓝天,1.03,2.01,36.8085,9.0286,0.0192,447.736,0.9534
000042,中洲控股,6.94,20.35,54.0216,112.9604,0.4717,554.8904,2.3172
000043,中航地产,8.94,3.29,22.5833,34.8207,0.2499,1055.6184,7.5766
000045,深纺织A,2.21,1.85,17.0772,7.5249,0.0306,405.2532,1.6532
000046,泛海控股,3.48,42.0,29.3035,41.8824,0.1191,99.7088,0.2836
000048,康达尔,6.55,0.87,14.8445,4.3456,0.0111,497.0171,1.2718
000049,德赛电池,8.83,2.37,15.3159,15.0765,0.1101,633.8568,4.6324
000050,深天马A,8.72,7.2,19.5212,73.55,0.2215,1021.3558,3.077
000055,方大集团,2.12,1.83,12.968,9.0582,0.0256,492.9058,1.3974
000056,皇庭国际,-6.83,-35.28,16.0324,-12.048,-0.0545,34.1478,0.1545
000058,深赛格,0.04,0.04,6.0002,0.5511,0.0007,1351.735,1.7223
000059,华锦股份,4.17,4.14,20.7614,72.5532,0.1093,1751.5374,2.6409
000060,中金岭南,37.31,20.0,36.2402,830.485,1.3731,4152.1321,6.8652
000061,农产品,-0.6,-0.66,31.287,-8.5459,-0.022,1282.3226,3.3078
000062,深圳华强,2.34,1.77,16.7943,28.4948,0.0922,1607.8953,5.2046
000063,中兴通讯,4.36,2.82,35.7831,450.359,0.4693,15921.467,16.5931
000065,北方国际,2.96,1.22,6.093,13.38,0.0823,1094.7371,6.7394
000066,中国长城,4.15,2.8,5.7764,69.5976,0.1517,2479.2284,5.4073
000068,华控赛格,0.38,0.54,16.9865,7.9517,0.0101,1469.2386,1.8693
000069,华侨城A,10.99,48.73,49.3984,297.845,0.268,611.1591,0.5499
000070,特发信息,0.24,0.43,11.5515,1.5132,0.006,345.9095,1.3836
000078,海王生物,3.83,1.3,13.6311,27.1182,0.057,2085.7549,4.3909
000088,盐田港,17.93,103.47,53.8538,558.9237,0.4489,540.1698,0.4338
000089,深圳机场,10.43,38.99,50.618,332.3511,0.2308,852.3563,0.592
000090,天健集团,6.57,6.14,14.1374,84.5275,0.3605,1374.8281,5.8646
000096,广聚能源,8.0,6.01,6.0304,105.7586,0.2003,1757.7132,3.329
000099,中信海直,3.42,12.09,30.9307,42.8779,0.0834,354.4485,0.6901
000100,TCL集团,-17.08,-2.02,14.9343,-706.5415,-0.2731,34827.9669,13.4661
000150,宜华健康,2.02,5.78,-1.0015,9.7233,0.03,168.0698,0.5187
