code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000001,平安银行,--,--,--,--,3.2713,96.7287
000002,万科A,1.7974,0.5259,40.6284,766.0646,31.8282,68.1718
000004,国农科技,1.3303,0.8006,52.1064,17.2168,50.9985,49.0015
000005,世纪星源,0.4645,0.3545,7.3354,195.2866,54.1545,45.8455
000006,深振业A,1.9363,0.247,21.8749,775.2364,27.1858,72.8142
000007,全新好,0.4554,0.4231,30.2661,-3.0464,-14.2891,114.2891
000008,神州高铁,8.7034,8.7034,527.6984,858.5674,93.6459,6.3541
000009,中国宝安,1.7269,0.8443,44.4127,541.7785,44.4621,55.5379
000010,美丽生态,1.2375,0.7947,9.2305,2229.7903,34.802,65.198
000011,深物业A,1.6846,0.6301,50.1518,826.8241,24.145,75.855
000012,南玻A,0.413,0.3411,22.6337,312.4685,45.5932,54.4068
000014,沙河股份,1.6762,0.2721,20.2575,66.9402,26.6831,73.3169
000016,深康佳A,1.4232,1.0323,45.4074,413.8322,40.8747,59.1253
000017,深中华A,0.0512,0.0298,1.2669,-22.5569,-977.1984,1077.1984
000018,神州长城,1.4468,1.3682,124.7502,-567.5612,67.7638,32.2362
000019,深深宝A,1.005,0.7209,27.5449,-545.2971,69.8401,30.1599
000020,深华发A,2.1634,1.5655,36.8113,239.8256,48.5276,51.4724
000021,深科技,3.4976,3.1063,189.2743,-694.5021,81.3809,18.6191
000022,深赤湾A,0.7025,0.6783,52.2639,2421.4152,67.8417,32.1583
000023,深天地A,1.1752,0.4899,6.7589,-181.4191,31.1408,68.8592
000025,特力A,0.4038,0.3125,12.4518,-217.8149,29.4199,70.5801
000026,飞亚达A,1.3873,0.4432,23.8223,232.1538,47.8805,52.1195
000027,深圳能源,0.7036,0.5717,32.7217,316.4386,50.4274,49.5726
000028,国药一致,1.0118,0.7847,14.7567,844.3647,16.9974,83.0026
000029,深深房A,2.0481,0.5238,38.1272,195.0216,55.9712,44.0288
000030,富奥股份,0.0036,0.0016,0.003,-8.7634,-9796.2675,9896.2675
000031,中粮地产,1.6538,0.4912,27.8316,29.7978,36.382,63.618
000032,深桑达A,2.0146,0.9799,40.2274,5467.0418,66.518,33.482
000033,*ST新都,0.5042,0.4843,5.4958,-91.039,66.6093,33.3907
000034,神州数码,0.1662,0.1068,3.996,87.0466,-579.2774,679.2774
000035,中国天楹,0.0215,0.0215,0.0393,-32.8304,-245.2771,345.2771
000036,华联控股,2.6705,1.3261,100.9201,10161.454,55.0053,44.9947
000037,*ST南电A,0.7553,0.2727,11.7121,79.7924,38.2043,61.7957
000038,深大通,1.8793,0.4313,39.5544,-106.6455,27.2291,72.7709
000039,中集集团,1.6186,0.946,38.7994,654.8446,44.1334,55.8666
000040,东旭蓝天,1.4166,0.5277,26.1403,11.2179,36.6307,63.3693
000042,中洲控股,1.5363,0.2184,17.0115,102.2372,31.2796,68.7204
000043,中航地产,1.5638,0.3685,19.939,127.9002,38.0005,61.9995
000045,深纺织A,1.1655,1.0662,77.7626,1672.5631,78.5667,21.4333
000046,泛海控股,2.7604,0.6228,24.925,-4057.155,42.9353,57.0647
000048,康达尔,0.619,0.2623,17.4126,165.4402,-6.6984,106.6984
000049,德赛电池,1.0982,0.8217,17.6878,-150.4884,33.4509,66.5491
000050,深天马A,1.2088,0.8722,55.5531,-251.0412,39.8764,60.1236
000055,方大集团,1.2488,1.0095,43.7365,266.0027,43.6397,56.3603
000056,皇庭国际,1.9419,0.1142,9.4529,208.3602,13.7018,86.2982
000058,深赛格,1.828,1.7832,152.4828,-101.4108,83.3312,16.6688
000059,华锦股份,3.2464,3.1216,146.1249,345.2137,35.1239,64.8761
000060,中金岭南,1.5848,0.86,41.7037,139.3096,47.672,52.328
000061,农产品,0.9931,0.9654,70.1383,626.5337,52.4493,47.5507
000062,深圳华强,1.7974,1.5294,88.782,3117.1594,70.3156,29.6844
000063,中兴通讯,1.4077,1.0775,26.6338,141.997,28.1551,71.8449
000065,北方国际,1.085,0.7343,27.9291,-6.6088,19.2648,80.7352
000066,中国长城,0.7641,0.6158,15.8533,313.3311,47.5125,52.4875
000068,华控赛格,1.2738,0.9537,69.5843,-738.4626,60.0425,39.9575
000069,华侨城A,0.4442,0.1559,14.1607,576.9374,48.1317,51.8683
000070,特发信息,2.4234,1.8383,69.2003,-640.3644,63.7852,36.2148
000078,海王生物,0.9689,0.8368,22.3005,116.1457,26.0771,73.9229
000088,盐田港,11.7109,11.7086,1122.5606,-728.5491,92.1872,7.8128
000089,深圳机场,3.3063,3.3013,258.4602,-2802.7237,86.6574,13.3426
000090,天健集团,1.5495,0.4541,24.5551,337.9537,41.4115,58.5885
000096,广聚能源,7.2859,6.9897,650.7276,-133.1994,94.184,5.816
000099,中信海直,3.0559,2.0512,101.325,1215.227,63.5042,36.4958
000100,TCL集团,1.1117,0.8632,47.9497,203.0822,28.8181,71.1819
000150,宜华健康,2.6016,0.5822,55.3752,-95.3111,52.0654,47.9346
000151,中成股份,2.7367,1.8874,86.4586,8934.8538,80.4102,19.5898
000153,丰原药业,1.093,0.8477,22.8225,210.4364,54.2652,45.7348
000155,*ST川化,0.9105,0.5613,18.2731,786.2739,62.886,37.114
000156,华数传媒,0.2172,0.1866,3.2643,199.1515,-155.8956,255.8956
000157,中联重科,1.0742,0.6801,28.3741,382.67,23.1178,76.8822
000158,常山股份,1.2035,0.8097,48.5833,34.0726,49.8518,50.1482
000159,国际实业,1.5883,0.8412,69.6695,1055.2107,52.9133,47.0867
000301,东方市场,1.8625,0.6956,42.9399,363.8081,62.618,37.382
000333,美的集团,0.9116,0.6124,17.7664,554.2774,30.0607,69.9393
000338,潍柴动力,1.2107,0.8923,35.1804,1471.1868,37.9046,62.0954
000400,许继电气,1.6623,1.1116,35.0305,147.2004,50.6935,49.3065
000401,冀东水泥,1.2032,0.901,44.1024,72.8964,46.9219,53.0781
000402,金融街,2.8904,1.4564,108.6652,560.2198,50.9382,49.0618
000403,ST生化,0.3138,0.0942,0.9464,22.2633,14.3575,85.6425
000404,华意压缩,1.031,0.8249,21.608,231.7219,31.0129,68.9871
000407,胜利股份,1.0583,0.6745,41.1531,245.3867,44.2893,55.7107
000408,*ST金源,1.0717,0.9791,11.0626,-379.0115,37.5782,62.4218
000409,山东地矿,3.6595,3.6595,0.0751,604.4429,80.6539,19.3461
000410,沈阳机床,0.9935,0.5899,12.4334,33.8341,14.2582,85.7418
000411,英特集团,1.0349,0.8226,10.2381,247.7136,18.2442,81.7558
000413,东旭光电,1.9003,1.6019,4.0363,170.1086,66.4064,33.5936
000415,渤海金控,0.9215,0.6307,7.1194,-182.0971,32.6429,67.3571
000416,民生控股,3.6161,3.4703,273.6839,-3238.7184,78.4577,21.5423
000417,合肥百货,0.976,0.767,57.6255,1574.9459,37.9827,62.0173
000418,小天鹅A,1.4906,1.2353,39.3931,5963.7574,51.404,48.596
000419,通程控股,0.6106,0.4615,31.8243,437.8204,39.6882,60.3118
000420,吉林化纤,0.5437,0.3119,14.8344,-206.5833,37.3884,62.6116
000421,南京公用,0.9517,0.5045,30.3133,281.1603,34.6788,65.3212
000422,湖北宜化,0.6535,0.3585,19.7388,235.0035,27.0034,72.9966
000423,东阿阿胶,4.619,3.8711,287.8245,-4227.5602,85.2075,14.7925
000425,徐工机械,1.0472,0.6261,22.3312,-467.5193,31.4256,68.5744
000426,兴业矿业,1.1572,1.0798,6.9951,45.6154,50.7674,49.2326
