code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000001,平安银行,--,--,--,--,4.1623,95.8377
000002,万科A,1.7238,0.4381,29.3439,1474.5085,30.3392,69.6608
000004,国农科技,1.5626,1.0003,49.9765,-97.891,58.0197,41.9803
000005,世纪星源,0.3631,0.2678,14.5566,154.8891,51.0324,48.9676
000006,深振业A,2.1285,0.177,14.4317,460.4141,29.0523,70.9477
000007,全新好,0.4215,0.3914,24.8669,-1.7511,-5.742,105.742
000008,神州高铁,8.2574,8.2574,726.6221,-674.0063,93.4375,6.5625
000009,中国宝安,1.4196,0.6253,20.0529,494.0796,39.8951,60.1049
000010,美丽生态,1.1296,0.6855,6.5596,3138.527,35.4461,64.5539
000011,深物业A,1.5888,0.4002,23.9993,14.8846,26.1177,73.8823
000012,南玻A,0.5395,0.4344,29.6012,1996.0871,48.7116,51.2884
000014,沙河股份,1.9247,0.2551,17.9019,-453.0893,24.1528,75.8472
000016,深康佳A,1.4565,0.9784,19.8544,4500.1776,42.4073,57.5927
000017,深中华A,0.0513,0.0273,1.53,47.5452,-835.8167,935.8167
000018,神州长城,1.8177,1.6891,148.7034,1002.4441,74.2459,25.7541
000019,深深宝A,1.2573,0.9105,37.0114,778.7292,71.007,28.993
000020,深华发A,0.9774,0.5826,19.0696,71.4144,49.1681,50.8319
000021,深科技,2.1435,1.9602,87.4808,1909.7338,68.1277,31.8723
000022,深赤湾A,0.5264,0.5054,29.4243,3015.7549,67.0403,32.9597
000023,深天地A,1.2066,0.6214,20.4874,174.7636,30.8638,69.1362
000025,特力A,0.4847,0.348,9.9519,71.2887,27.6306,72.3694
000026,飞亚达A,1.4071,0.315,14.1732,318.5248,48.4476,51.5524
000027,深圳能源,0.8818,0.7702,45.1957,426.394,48.0552,51.9448
000028,国药一致,1.075,0.8431,13.1065,503.7723,17.5683,82.4317
000029,深深房A,1.9221,0.6331,50.8359,292.6981,53.3421,46.6579
000030,富奥股份,0.004,0.002,0.0011,20.2804,-6807.828,6907.828
000031,中粮地产,1.831,0.7453,52.2572,614.9319,36.4844,63.5156
000032,深桑达A,1.6027,0.897,37.1895,544.5277,55.0344,44.9656
000033,*ST新都,0.4566,0.4389,3.3695,158.8903,66.0291,33.9709
000034,神州数码,0.2576,0.1419,2.2196,-96.2392,-275.7082,375.7082
000035,中国天楹,0.0222,0.0216,0.0404,371.3311,-177.0043,277.0043
000036,华联控股,2.6041,1.2603,83.0004,-2675.922,50.9697,49.0303
000037,*ST南电A,0.5617,0.458,12.6187,169.6318,31.7406,68.2594
000038,深大通,0.0015,0.0015,0.0282,-79.7141,-1213.4034,1313.4034
000039,中集集团,1.5063,0.9418,18.7424,702.9632,39.0622,60.9378
000040,东旭蓝天,1.4732,0.7319,26.8006,-120.9516,43.3057,56.6943
000042,中洲控股,1.49,0.1786,6.5973,2.5021,30.3778,69.6222
000043,中航地产,1.4715,0.2939,12.9415,202.2115,35.1394,64.8606
000045,深纺织A,1.2328,0.9751,53.0683,896.0229,72.2402,27.7598
000046,泛海控股,2.4472,0.2033,9.55,-29622.5613,46.0132,53.9868
000048,康达尔,0.4983,0.1407,6.7921,256.8283,-12.7455,112.7455
000049,德赛电池,1.1022,0.8393,11.3826,191.8817,29.2741,70.7259
000050,深天马A,1.4443,0.9552,42.6908,911.643,40.0465,59.9535
000055,方大集团,1.3025,0.9804,31.6758,173.5287,46.1393,53.8607
000056,皇庭国际,1.9277,0.2436,20.1329,1150.3523,17.1813,82.8187
000058,深赛格,2.3171,2.2734,199.0901,1624.0442,82.5484,17.4516
000059,华锦股份,3.4913,3.3623,238.2956,421.4807,37.277,62.723
000060,中金岭南,1.2536,0.592,36.4006,611.9133,52.3294,47.6706
000061,农产品,1.0999,1.0684,88.9609,423.5987,54.2012,45.7988
000062,深圳华强,1.4848,1.2005,50.6457,56.1486,63.9372,36.0628
000063,中兴通讯,1.5001,1.2202,20.0316,242.2032,30.0361,69.9639
000065,北方国际,1.7208,1.3176,28.0733,91.9233,22.9738,77.0262
000066,中国长城,0.783,0.5752,23.085,160.1751,53.7186,46.2814
000068,华控赛格,1.1138,0.927,11.0344,124.3206,56.7103,43.2897
000069,华侨城A,0.4439,0.222,17.4367,727.8958,46.3136,53.6864
000070,特发信息,2.3792,1.8371,70.3764,-457.3934,59.9491,40.0509
000078,海王生物,1.0198,0.8879,22.2542,168.8364,30.2909,69.7091
000088,盐田港,7.1383,7.1355,576.5006,-1686.8121,91.3731,8.6269
000089,深圳机场,3.7742,3.7689,288.5919,-1112.1686,87.6129,12.3871
000090,天健集团,1.4647,0.4572,25.2085,112.1878,37.8145,62.1855
000096,广聚能源,3.7232,3.3311,265.2024,3148.9663,87.5748,12.4252
000099,中信海直,2.0425,1.5111,91.5095,-236.9004,56.894,43.106
000100,TCL集团,1.1488,0.86,43.156,395.6223,25.845,74.155
000150,宜华健康,2.2577,0.4558,43.6171,-1099.9807,46.3114,53.6886
000151,中成股份,2.9438,2.5805,150.5753,253.7491,77.5801,22.4199
000153,丰原药业,1.0757,0.8558,16.6097,195.4705,55.6393,44.3607
000155,*ST川化,1.0166,0.439,20.3613,786.8801,64.2392,35.7608
000156,华数传媒,0.3012,0.2717,1.5919,--,-102.3582,202.3582
000157,中联重科,1.3252,0.8389,31.7696,936.4589,30.0401,69.9599
000158,常山股份,1.2021,0.7505,51.1462,191.7498,50.0647,49.9353
000159,国际实业,3.176,1.8605,142.9318,1118.3534,66.2484,33.7516
000166,申万宏源,--,--,--,--,20.1389,79.8611
000301,东方市场,1.7557,0.6775,21.1919,1312.4661,69.2595,30.7405
000333,美的集团,0.956,0.6006,18.9981,535.2313,30.4739,69.5261
000338,潍柴动力,1.209,0.8804,22.6847,1392.8644,38.2133,61.7867
000400,许继电气,1.572,1.0954,33.5791,180.2573,47.5187,52.4813
000401,冀东水泥,1.3179,1.1393,67.699,332.3199,50.4738,49.5262
000402,金融街,2.6478,1.3692,116.2768,11962.5926,53.0118,46.9882
000403,ST生化,0.5089,0.253,1.0252,1472.9283,21.9564,78.0436
000404,华意压缩,0.9804,0.707,19.9617,264.8402,28.2704,71.7296
000407,胜利股份,1.4707,0.6787,37.9103,539.8922,33.0493,66.9507
000408,*ST金源,1.2167,1.1235,1.7453,-338.5538,33.3507,66.6493
000409,山东地矿,3.3348,3.3348,0.6154,364.3964,81.0165,18.9835
000410,沈阳机床,1.0214,0.4903,12.3973,167.3311,17.6596,82.3404
000411,英特集团,1.0249,0.8094,10.5291,254.832,17.2468,82.7532
000413,东旭光电,1.6624,1.3914,2.6322,655.5351,61.0676,38.9324
000415,渤海金控,0.6736,0.5001,3.9208,205.0876,40.4537,59.5463
000416,民生控股,3.3059,3.1147,215.425,281.4312,79.7447,20.2553
000417,合肥百货,0.9259,0.7173,51.1074,917.1921,37.0976,62.9024
000418,小天鹅A,1.3907,0.9385,28.2161,560.3924,49.0447,50.9553
000419,通程控股,0.9665,0.7075,40.0632,388.3584,43.2105,56.7895
000420,吉林化纤,0.7394,0.3129,6.615,-306.5036,45.7667,54.2333
000421,南京公用,0.8189,0.4066,24.4858,520.6844,32.6183,67.3817
000422,湖北宜化,0.6818,0.3435,13.2383,418.6707,29.8133,70.1867
000423,东阿阿胶,4.4006,3.5777,178.7784,-2219.1237,85.271,14.729
000425,徐工机械,1.156,0.717,27.091,1159.1692,33.4758,66.5242
000426,兴业矿业,0.9541,0.8395,15.7137,119.8873,54.3303,45.6697
000428,华天酒店,1.2014,0.598,11.5812,368.7148,40.6552,59.3448
000429,粤高速A,0.7099,0.7097,46.6487,610.42,57.7263,42.2737
000430,张家界,0.0588,0.0553,1.3142,158.344,-14.5599,114.5599
000488,晨鸣纸业,1.199,0.7993,37.8182,1179.8459,54.2832,45.7168
000498,山东路桥,0.0446,0.0312,0.0774,-78.0175,-102.419,202.419
000501,鄂武商A,0.8215,0.7248,53.3904,692.1323,32.0981,67.9019
000502,绿景控股,1.7306,0.4987,19.1393,-29511.5082,46.2231,53.7769
000503,海虹控股,4.0741,4.0721,41.2317,598.3715,85.1012,14.8988
000504,*ST生物,0.9841,0.7845,26.9978,-178.277,60.3985,39.6015
000505,*ST珠江,0.8317,0.2569,3.3906,-182.6172,15.0419,84.9581
000506,中润资源,0.0007,0.0007,0.0236,-12.7263,-130233.8678,130333.8678
000507,珠海港,0.9498,0.7413,46.1939,368.9619,56.1901,43.8099
000509,华塑控股,0.3672,0.2503,3.6502,-499.8514,8.6582,91.3418
000510,金路集团,0.7276,0.3654,20.5993,80.0355,41.1057,58.8943
000511,*ST烯碳,2.9484,0.657,4.6663,-30997.5751,67.817,32.183
000513,丽珠集团,1.5213,1.1787,42.4958,819.3798,61.8688,38.1312
000514,渝开发,3.4671,1.8734,108.0964,495.6843,66.7668,33.2332
000516,国际医学,0.7766,0.7463,47.4896,525.3681,43.127,56.873
000517,荣安地产,0.29,0.2674,1.3572,-458.5756,-91.0723,191.0723
000518,四环生物,5.6752,4.1678,56.1735,-5931.9961,89.3677,10.6323
000519,中兵红箭,2.0254,1.1615,15.7573,-837.7627,71.5908,28.4092
000520,长航凤凰,0.6678,0.6324,31.7934,271.1703,27.7899,72.2101
000521,美菱电器,0.8058,0.4771,16.4177,138.5715,29.6419,70.3581
000523,广州浪奇,1.6651,1.0745,31.052,262.7241,61.8234,38.1766
000524,岭南控股,0.5111,0.4815,33.0674,-286.856,74.6469,25.3531
000525,红太阳,0.9425,0.5925,21.5029,158.3218,22.6704,77.3296
000526,*ST紫学,1.7562,1.7556,130.391,-4566.4248,89.943,10.057
000528,柳工,1.486,0.696,23.2183,729.7577,38.8238,61.1762
000529,广弘控股,0.1627,0.0517,2.3262,-34.7894,-106.2307,206.2307
000530,大冷股份,1.3745,0.9763,21.6262,1825.2223,63.6624,36.3376
000531,穗恒运A,0.6699,0.601,13.7805,42.6889,28.7142,71.2858
000532,力合股份,1.8069,1.2368,54.3151,-302.5092,74.1732,25.8268
000533,万家乐,1.084,0.704,18.4521,183.5539,23.4919,76.5081
000534,万泽股份,2.651,1.8548,72.0062,-1232.9113,43.3825,56.6175
000536,华映科技,0.8467,0.267,8.1382,2149.2859,25.9278,74.0722
000537,广宇发展,1.1764,0.2513,12.4289,-6191.9625,19.6311,80.3689
000538,云南白药,1.7139,1.05,38.7569,-38870.4958,47.7074,52.2926
000539,粤电力A,0.9234,0.7855,19.938,22.6038,44.9147,55.0853
000540,中天金融,2.9242,1.27,74.2361,-14191.1333,38.8471,61.1529
000541,佛山照明,6.3274,4.983,340.9532,-8451.9431,90.0797,9.9203
000543,皖能电力,0.8286,0.7683,15.582,207.449,52.7679,47.2321
000544,中原环保,0.8728,0.8457,24.7624,1120.6589,66.5626,33.4374
000545,金浦钛业,0.6267,0.4038,0.4319,142.0485,7.3823,92.6177
000546,金圆股份,1.2902,0.1407,3.3871,65.5765,31.2718,68.7282
000547,航天发展,1.4014,1.0671,41.7382,770.9541,70.7405,29.2595
000548,湖南投资,2.0224,1.5113,54.0042,1190.3914,70.2377,29.7623
000550,江铃汽车,1.6431,1.0581,74.5597,-1520.7315,62.3583,37.6417
000551,创元科技,1.1626,0.7433,38.8779,920.9755,48.4022,51.5978
000552,靖远煤电,1.3029,1.1253,64.6613,1558.0476,57.4394,42.5606
000553,沙隆达A,1.5528,1.0175,79.6228,469.1949,45.1237,54.8763
000554,泰山石油,6.3595,4.4201,348.1401,-16035.0274,94.4484,5.5516
000555,神州信息,0.247,0.247,0.0209,113.7493,-309.1327,409.1327
000557,西部创业,0.1736,0.1044,5.5497,-176.3325,-131.3812,231.3812
000558,莱茵体育,1.4478,0.2546,17.8857,-41648.764,25.0536,74.9464
000559,万向钱潮,0.9898,0.6538,22.8395,445.8372,40.372,59.628
000560,昆百大A,0.8911,0.2163,8.5227,156.6342,21.8739,78.1261
000561,烽火电子,0.313,0.2137,11.3191,1368.6477,-242.8919,342.8919
000563,陕国投A,1.6169,0.4426,43.1119,--,34.5522,65.4478
000564,供销大集,0.6329,0.5911,55.6942,-668.4906,48.8431,51.1569
000565,渝三峡A,0.8856,0.6304,23.8613,420.3788,36.2986,63.7014
000566,海南海药,1.6845,1.2057,17.3641,575.2,59.9289,40.0711
000567,海德股份,1.348,0.5475,42.1537,933.2711,55.0925,44.9075
000568,泸州老窖,1.6323,0.8091,47.5645,-1326414.0911,72.6477,27.3523
000570,苏常柴A,1.6169,1.2162,56.1629,250.3425,65.0081,34.9919
000571,新大洲A,1.1125,0.7477,21.9537,865.9685,59.4478,40.5522
000572,海马汽车,2.1852,1.2283,77.0911,139.8103,56.261,43.739
000573,粤宏远A,2.5439,0.7504,4.0553,42.5088,59.0799,40.9201
000576,广东甘化,0.5687,0.2983,10.5898,-1.7441,38.4837,61.5163
000581,威孚高科,1.101,0.8594,33.0992,313.6648,52.558,47.442
000582,北部湾港,0.445,0.4364,3.2857,170.9371,37.4637,62.5363
000584,友利控股,1.2583,0.7485,49.0042,470.7978,57.0957,42.9043
000585,东北电气,1.1819,0.9548,7.5426,70.2037,47.8713,52.1287
000586,汇源通信,1.0995,0.8822,5.624,-302.8265,31.5725,68.4275
000587,金洲慈航,0.4122,0.1845,0.0283,-175.4388,-40.0783,140.0783
000589,黔轮胎A,0.9083,0.5218,11.0693,207.6717,31.4183,68.5817
000590,启迪古汉,1.279,0.9758,6.7906,366.0276,56.7197,43.2803
000591,太阳能,0.9771,0.7104,39.883,342.7089,23.7679,76.2321
000592,平潭发展,2.7769,1.0611,13.7509,2051.3116,59.9111,40.0889
000593,大通燃气,0.4965,0.3991,22.919,155.1268,35.9053,64.0947
000595,*ST宝实,1.4658,1.0003,6.1365,388.3935,47.4188,52.5812
000596,古井贡酒,1.6345,0.7816,39.2383,1557.3455,58.116,41.884
000597,东北制药,1.0357,0.7903,24.9938,484.2721,29.2836,70.7164
000598,兴蓉环境,0.7714,0.4441,7.8362,270.9563,37.1521,62.8479
000599,青岛双星,0.8693,0.4527,16.6463,230.7735,35.1844,64.8156
000600,建投能源,0.4307,0.3147,6.0982,140.6408,39.9316,60.0684
000601,韶能股份,1.1428,0.9643,27.9648,148.6298,39.3862,60.6138
000603,盛达矿业,1.7224,1.594,75.4171,1078.3993,48.3043,51.6957
000605,渤海股份,0.6763,0.5579,0.9284,-19716.7499,38.0282,61.9718
000606,神州易桥,1.6856,1.1608,23.3979,330.5529,54.468,45.532
