code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,11.28,24.93,32.7538,17740.0,1.2398,71152.0,4.9726
000002,万科A,7.7,8.61,29.058,6854.4579,0.6203,79596.21,7.2035
000004,国农科技,2.87,2.67,35.8689,2.3767,0.0283,88.8948,1.0585
000005,世纪星源,-4.66,-65.2,25.2604,-29.836,-0.0326,45.7572,0.05
000006,深振业A,6.51,12.0,35.6758,276.8244,0.205,2305.4556,1.7077
000007,全新好,-3.42,-13.06,79.3633,-11.6854,-0.0505,89.418,0.3871
000008,神州高铁,3.4,12.55,46.4293,95.8145,0.0397,763.1092,0.3167
000009,中国宝安,15.21,21.71,34.1169,679.8371,0.427,3131.2497,1.9667
000010,美丽生态,0.5,0.5,15.4661,2.7659,0.0047,547.8428,0.9315
000011,深物业A,2.34,7.3,35.9988,46.4558,0.0779,636.0503,1.0672
000012,南玻A,5.11,7.32,20.4905,394.0694,0.1898,5377.1299,2.5909
000014,沙河股份,-0.14,-0.44,31.6122,-0.9899,-0.0049,224.5586,1.1133
000016,深康佳A,-26.33,-6.15,12.3153,-852.2095,-0.3539,13844.7109,5.7495
000017,深中华A,4.32,0.38,7.4743,0.5381,0.0009,139.3282,0.2527
000018,神州长城,28.14,8.31,19.6287,242.5284,1.4338,2916.6154,17.2435
000019,深深宝A,-0.85,-3.29,29.9192,-8.2302,-0.0273,249.5347,0.8287
000020,深华发A,6.63,5.13,16.1163,19.9946,0.0706,389.4235,1.3752
000021,深科技,2.75,1.25,3.9616,140.3338,0.0953,11213.0536,7.6213
000022,深赤湾A,9.65,30.02,48.4963,417.5098,0.6475,1390.605,2.1567
000023,深天地A,7.09,4.06,17.357,27.2434,0.1963,670.2803,4.8306
000025,特力A,2.21,8.06,26.7377,18.6951,0.0628,231.8108,0.7797
000026,飞亚达A,6.25,4.32,38.9994,106.6149,0.2714,2467.8807,6.2833
000027,深圳能源,7.62,18.31,31.7747,1588.7327,0.4007,8676.5306,2.1885
000028,国药一致,10.9,2.91,7.6916,574.0723,1.583,19679.8065,54.2693
000029,深深房A,10.34,14.54,35.8811,233.9923,0.2312,1608.2033,1.5896
000030,富奥股份,7.98,11.52,18.2776,362.8467,0.2805,3148.2301,2.4343
000031,中粮地产,9.09,8.01,23.2983,536.7055,0.2959,6700.2996,3.6942
000032,深桑达A,-0.36,-0.45,13.6094,-3.2407,-0.0139,719.7654,3.0909
000033,*ST新都,,-30.11,41.0709,-15.2715,-0.0463,50.7064,0.1539
000034,神州数码,13.79,7.99,10.3232,26.5154,0.074,331.7939,0.9268
000035,中国天楹,6.93,26.27,54.6085,120.9322,0.1952,460.2543,0.7432
000036,华联控股,-0.1,-1.34,47.8213,-2.0429,-0.0017,151.8917,0.1331
000037,*ST南电A,-6.07,-7.06,-13.2059,-72.7735,-0.1207,1030.2393,1.7091
000038,深大通,1.0,0.69,20.9096,1.1096,0.0115,160.5292,1.6682
000039,中集集团,6.69,3.8,16.594,1724.598,0.641,45271.147,16.8278
000040,东旭蓝天,2.43,4.6,41.8652,31.5008,0.067,684.1114,1.4568
000042,中洲控股,11.04,13.11,43.2928,413.2672,0.8464,3150.7495,6.4533
000043,中航地产,-5.17,-5.5,22.5983,-169.215,-0.2537,3073.1414,4.6076
000045,深纺织A,0.28,0.65,5.8412,6.1826,0.0122,943.0697,1.8618
000046,泛海控股,11.66,26.77,61.092,1182.2024,0.2594,4415.9204,0.9689
000048,康达尔,24.86,9.43,33.109,168.3432,0.4308,1784.8881,4.5676
000049,德赛电池,19.8,2.93,9.2554,173.0296,0.843,5900.6532,28.7494
000050,深天马A,4.03,4.34,16.9848,338.5537,0.2991,7798.7017,6.8909
000055,方大集团,5.57,3.88,16.1671,71.5556,0.0945,1842.5873,2.4343
000056,皇庭国际,0.6,16.12,73.8018,30.0351,0.0523,186.2653,0.3245
000058,深赛格,2.92,7.4,14.2913,42.1866,0.0537,569.3396,0.7254
000059,华锦股份,0.78,0.3,14.3266,68.0908,0.0425,22401.0804,14.0055
000060,中金岭南,1.38,0.88,7.8407,101.0882,0.0456,11478.5087,5.1877
000061,农产品,0.95,3.62,49.4684,46.3431,0.0273,1280.0319,0.7543
000062,深圳华强,9.02,24.96,47.0096,222.4072,0.3334,890.7903,1.3356
000063,中兴通讯,9.77,3.8,33.3549,2604.18,0.6313,68523.242,16.6114
000065,北方国际,5.59,6.01,9.3564,102.5735,0.3738,1704.5687,6.2126
000066,中国长城,-5.47,-0.26,8.9636,-136.3907,-0.103,51776.7099,39.1182
000068,华控赛格,-3.68,-67.0,30.1009,-21.578,-0.0214,32.2038,0.0319
000069,华侨城A,8.31,14.28,50.9755,2491.2759,0.3426,17436.6095,2.3979
000070,特发信息,4.75,3.1,17.2848,52.9493,0.1953,1705.231,6.2923
000078,海王生物,19.16,4.26,13.4585,350.7192,0.466,8221.3184,10.9251
000088,盐田港,6.87,201.93,54.0985,371.2127,0.1911,183.8257,0.0946
000089,深圳机场,3.35,15.18,27.5213,336.885,0.1642,2218.0732,1.0815
000090,天健集团,6.42,6.77,21.1943,257.9897,0.4669,3805.2282,6.8869
000096,广聚能源,10.21,26.65,13.5857,210.6254,0.3989,790.3235,1.4968
000099,中信海直,5.16,15.81,34.5526,144.2167,0.2379,912.0046,1.5047
000100,TCL集团,8.58,2.78,16.9059,2064.5735,0.1688,74110.6628,6.0618
