code,name,mbrg,nprg,nav,targ,epsg,seg
000001,平安银行,64.4801,65.3532,124.9302,72.9191,29.3194,118.7542
000002,万科A,41.5447,31.223,24.2668,37.364,33.3333,19.7481
000004,国农科技,-43.2705,-54.4926,7.1145,6.5616,-74.2775,3.8376
000005,世纪星源,-53.7034,133.4969,-4.099,-2.7066,150.0,-4.099
000006,深振业A,10.7127,-12.5584,12.923,-2.8749,-30.6793,13.8205
000007,全新好,15.3864,-61.7029,,9.0228,-58.0343,-749.12
000008,神州高铁,33.9574,-160.6843,-0.4773,-0.8926,-160.3306,-0.4773
000009,中国宝安,26.3767,-13.8495,10.9429,17.5665,-16.6667,6.201
000010,美丽生态,21.1965,118.2782,9.3574,12.1157,-400.0,12.3842
000011,深物业A,41.8244,47.1218,29.2622,20.126,47.139,29.2911
000012,南玻A,6.8026,-16.246,8.0885,22.549,-18.5714,8.2421
000014,沙河股份,-45.6148,-19.3266,8.2274,13.5254,-23.0857,9.2041
000016,深康佳A,-5.2236,-76.1049,0.2957,2.6693,-70.3013,0.277
000017,深中华A,7.3626,-38.3956,,-1.7454,-38.4089,-4.1764
000018,神州长城,5.3403,-834.8794,-16.9077,-12.0029,-600.0,-16.7092
000019,深深宝A,38.483,7.3213,138.6101,61.2778,4.1935,173.7306
000020,深华发A,17.4627,13.0459,3.8919,-7.9225,12.963,3.8919
000021,深科技,-10.3081,-38.2215,-3.5216,55.0543,-34.5692,-2.99
000022,深赤湾A,-1.8548,-19.218,7.8512,5.4504,-15.2432,7.0457
000023,深天地A,-12.9909,-30.2813,8.7731,16.5207,-29.5359,4.7801
000025,特力A,4.383,-68.126,0.7927,-4.814,-39.8773,1.1932
000026,飞亚达A,43.8185,69.3914,8.2473,18.8479,7.6923,9.8742
000027,深圳能源,15.422,-26.8011,3.0812,8.3905,-32.8125,5.2775
000028,国药一致,15.8132,24.067,26.1042,21.5477,26.3736,28.3025
000029,深深房A,0.523,19.3791,7.7336,-4.2308,19.3317,7.0542
000030,富奥股份,-92.6365,36.6883,,-90.9714,36.6871,-76248.3451
000031,中粮地产,162.1662,32.0883,16.0914,61.6099,-11.5385,-4.6094
000032,深桑达A,15.1976,-6.825,8.4624,5.6913,-4.878,-0.2508
000033,*ST新都,1.3707,-32.4757,0.9674,-2.1152,-33.0709,0.9674
000034,神州数码,7.8387,-96.6672,29.1385,9.9168,-96.4029,29.1385
000035,中国天楹,4.6293,-146.639,,6.936,-148.3871,1.818
000036,华联控股,-54.5693,-67.6858,5.7024,-7.4937,-69.8977,3.71
000037,*ST南电A,50.8255,,-2.3104,3.2922,-115.7895,1.0098
000038,深大通,-67.1285,-91.2807,3.0328,21.7584,-92.25,1.372
000039,中集集团,23.8693,28.3451,12.5319,18.9007,23.0088,14.856
000040,东旭蓝天,5.1669,52.0547,15.2746,-17.1776,42.8571,19.9884
000042,中洲控股,32.436,-11.8582,6.0216,5.2683,-11.8367,6.0243
