code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000001,平安银行,--,--,--,--,6.8453,93.1547
000002,万科A,1.2436,0.4378,15.0056,2565.5739,19.4633,80.5367
000004,国农科技,3.6575,3.4697,275.5502,1871.6764,79.6544,20.3456
000006,深振业A,2.4332,0.7426,63.8493,704.9052,38.9501,61.0499
000008,神州高铁,2.2452,1.9486,57.0294,49050.0516,75.3417,24.6583
000011,深物业A,1.3708,0.741,69.8974,-2092.1633,36.2364,63.7636
000014,沙河股份,2.2646,0.4119,32.5427,1106.9203,42.4048,57.5952
000016,深康佳A,0.9823,0.6682,19.1779,117.9207,19.2454,80.7546
000021,深科技,1.1673,1.0035,55.1772,890.8992,45.2092,54.7908
000022,深赤湾A,1.1318,1.1065,72.9073,4627.2637,85.1448,14.8552
000023,深天地A,1.379,0.981,22.3682,214.2943,30.0934,69.9066
000025,特力A,1.3861,1.3417,87.7925,-5925.2336,76.4117,23.5883
000026,飞亚达A,1.8743,0.5505,28.4226,310.5333,59.3011,40.6989
000027,深圳能源,0.7335,0.6484,30.2108,348.7049,40.7932,59.2068
000029,深深房A,2.8726,1.3287,112.691,-3264.1047,66.4615,33.5385
000031,中粮地产,1.6457,0.6892,42.8386,543.2121,18.4205,81.5795
000032,深桑达A,3.6037,2.8726,156.8866,-489.0683,79.248,20.752
000034,神州数码,1.223,0.8641,9.1152,219.4263,15.5582,84.4418
000037,*ST南电A,1.4467,1.4027,77.2295,955.1908,46.3819,53.6181
000039,中集集团,1.1536,0.7771,22.2008,336.6889,31.4046,68.5954
000040,东旭蓝天,3.5838,2.8303,230.8805,266.3826,63.4194,36.5806
000043,中航地产,1.302,0.6356,20.4713,166.7525,21.754,78.246
000045,深纺织A,6.1054,5.5264,190.8083,4747.2099,83.5064,16.4936
000049,德赛电池,1.2472,0.9751,13.2924,-2553.8339,29.1521,70.8479
000050,深天马A,1.7372,1.5369,82.8266,-404.2569,63.4658,36.5342
000055,方大集团,1.6732,1.0786,32.7165,3143.5805,33.9221,66.0779
000060,中金岭南,0.9643,0.6206,28.1768,300.7931,48.4171,51.5829
000062,深圳华强,1.5767,1.0792,42.8997,2291.2604,58.9672,41.0328
000063,中兴通讯,1.23,0.9378,35.2599,-269.5143,28.8653,71.1347
000068,华控赛格,1.5062,1.4871,112.8759,-165.2117,60.9647,39.0353
000069,华侨城A,1.4791,0.5323,21.7152,1118.5289,32.8785,67.1215
