code,name,mbrg,nprg,nav,targ,epsg,seg
000001,平安银行,-100.0,45.1803,109.2204,74.944,-2.9412,109.2204
000002,万科A,53.7007,39.4451,20.8044,26.6098,25.9259,19.252
000004,国农科技,-32.9572,-52.4791,5.8028,5.4886,-393.75,2.3761
000005,世纪星源,2.0812,-207.8708,-11.8262,-4.9367,-200.0,-11.8262
000006,深振业A,41.6392,102.2707,21.4432,6.0284,55.303,22.4435
000007,全新好,44.9979,,4.616,27.6107,-936.3636,4.7084
000008,神州高铁,-59.9354,,0.056,-0.1718,-114.8936,0.056
000009,中国宝安,15.3105,-48.6677,11.3869,21.0544,-75.0,6.55
000010,美丽生态,44.1863,,12.5958,5.1559,-33.3333,17.0868
000011,深物业A,-45.6718,-67.1919,4.489,19.8331,-67.1903,4.4923
000012,南玻A,-24.6316,-68.0004,3.7466,4.3227,-70.0,4.3096
000014,沙河股份,-54.1108,-178.7803,5.246,14.5487,-377.6042,6.9879
000016,深康佳A,2.5319,,5.5187,-14.1338,-105.8642,5.8647
000017,深中华A,-17.1026,-227.0285,,-5.71,-227.3684,-0.7717
000018,神州长城,-9.2067,,-12.7731,-7.1976,-60.0,-12.6175
000019,深深宝A,-18.5075,1158.8587,10.2831,-0.3962,1363.6364,10.2831
000020,深华发A,-16.8975,-30.7572,2.7262,-10.6103,-31.2121,2.7262
000021,深科技,-10.985,-60.2119,-3.8339,33.181,-38.1481,-1.0369
000022,深赤湾A,1.0794,-10.9554,5.3807,3.068,-14.2145,6.4903
000023,深天地A,14.1419,-1532.1959,-1.8347,7.4135,-1167.1875,-1.6514
000025,特力A,9.1187,-2826.8919,-4.187,-3.3707,-2060.0,-4.0857
000026,飞亚达A,20.4337,-24.3801,5.1384,36.0551,-24.2009,5.1906
000027,深圳能源,-2.9208,-17.8386,0.8219,-3.3718,-19.2308,3.8108
000028,国药一致,22.346,45.0051,28.4913,24.3132,46.1404,30.6933
000029,深深房A,-19.2366,-37.6067,5.4411,-1.8463,-37.7358,5.0285
000030,富奥股份,-100.0,-100.1004,56.9776,-7.9794,-100.101,56.9776
000031,中粮地产,-23.9415,-47.0464,7.9164,59.221,-50.0,-3.7415
000032,深桑达A,-42.4034,-160.3603,0.4488,-5.3275,-171.4286,0.1006
000033,*ST新都,-17.6545,,0.0209,-3.9571,68.2927,0.0209
000034,神州数码,-3.0491,-125.2698,8.863,7.0512,-125.0,8.863
000035,中国天楹,2217.7265,,,-31.4056,900.0,10.6544
000036,华联控股,-26.6533,-13.9175,6.7463,3.0943,-21.4286,2.8258
000037,*ST南电A,-38.2689,,-0.3523,-2.8154,28.5714,-0.2032
000038,深大通,-9.5135,,5.6786,20.6557,-44.4444,4.2186
000039,中集集团,-24.9839,-63.9265,-1.9488,-1.4089,-66.7425,1.497
000040,东旭蓝天,11.91,9.3871,13.703,26.7755,8.0,14.9001
000042,中洲控股,34.3085,36.7446,11.6474,2.6613,36.7408,11.6526
000043,中航地产,-8.3956,-88.4569,46.6184,54.7383,-95.8496,28.4069
000045,深纺织A,17.6232,-157.8923,-0.9848,12.4144,-160.0,-0.9848
000046,泛海控股,64.2448,,1.1645,6.4289,-146.6667,0.6117
000048,康达尔,15.7576,,,59.2132,-4352.9412,-408.5692
000049,德赛电池,49.5159,20.3907,24.7088,23.684,19.9453,31.9293
000050,深天马A,6.0735,-43.8992,8.4221,-2.4629,-70.3125,6.1665
000055,方大集团,-8.6099,-95.6545,1.3659,12.375,-67.2131,2.881
000056,皇庭国际,423.3921,,,2.015,-537.1429,-146.0916
000058,深赛格,15.5554,35.3189,11.7636,12.4974,19.9405,6.6637
000059,华锦股份,4.1722,-116.5132,3.7224,4.1124,-116.5128,3.4696
000060,中金岭南,65.417,-43.907,14.4942,-6.1665,-41.1765,11.5694
000061,农产品,15.3306,-17.5078,6.1918,6.3198,-67.05,2.8065
000062,深圳华强,58.4968,16.2969,1.8205,29.774,0.0,0.5217
000063,中兴通讯,14.2094,-53.1276,7.7015,10.9449,-74.0741,6.2977
000065,北方国际,-84.0902,-21.0687,10.1938,9.2299,-50.0,6.7349
000066,中国长城,-6.5139,-66.2334,-2.3265,23.8149,-96.7846,-5.6272
000068,华控赛格,34.0635,,-7.3141,-22.263,-91.4894,-7.3141
000069,华侨城A,13.8202,-0.1953,19.4296,17.8648,-26.3077,20.4473
000070,特发信息,46.528,72.0177,6.5257,9.7226,87.4263,5.9868
000078,海王生物,19.3562,29.1626,7.4788,18.364,20.9627,7.8011
000088,盐田港,-11.1506,-23.0986,-3.9529,-4.4917,-41.2437,-4.2264
000089,深圳机场,6.994,-20.3227,14.9408,41.151,-20.1249,15.0274
000090,天健集团,-33.091,0.1279,-10.3582,6.343,-8.9612,-10.3582
000096,广聚能源,-35.9788,-31.6487,2.4,3.5514,-32.0225,2.4001
000099,中信海直,16.6128,4.9365,7.0638,5.3139,4.406,7.0935
000100,TCL集团,8.7268,-43.7552,2.1508,13.663,-47.4016,3.1388
000150,宜华健康,90.0604,35.1665,-4.571,45.8147,33.8462,-4.571
000151,中成股份,46.5348,-27.2162,-1.9211,29.8238,-28.2967,-1.9731
000153,丰原药业,36.2323,-14.7973,0.0276,8.1284,-18.5771,-0.0593
000155,*ST川化,-39.7577,,-19.1228,-6.0975,150.0,-19.1215
000156,华数传媒,11.285,-56.2806,,6.3978,-57.9483,-39.3231
000157,中联重科,20.5854,23.6118,22.1043,16.708,21.0186,21.6429
000158,常山股份,-9.551,-317.2973,-0.7103,15.4721,-311.5385,-0.6736
000159,国际实业,100.8455,-33.8916,17.4682,5.7113,-33.7857,16.9424
000301,东方市场,4.2496,36.7585,1.7339,-0.4046,36.2376,1.947
000333,美的集团,-30.4383,4.413,8.5002,-0.8867,,3.391
000338,潍柴动力,-26.1218,-48.8683,15.2122,3.2086,-45.7143,16.639
000400,许继电气,80.3753,64.2209,4.8508,17.6752,46.4854,4.5382
000401,冀东水泥,-10.6804,-89.6185,28.9766,18.7787,-86.5478,31.0806
000402,金融街,11.3095,-2.3636,7.5855,10.0472,-14.2857,6.9659
000403,ST生化,5.1608,16.6735,4.079,-0.5837,45.4545,28.8903
000404,华意压缩,0.478,98.5306,12.2203,6.6843,195.1579,10.7695
000407,胜利股份,-4.2652,-66.2975,-1.3713,4.5773,-85.0,-0.2802
000408,*ST金源,-85.5269,27.2821,4.71,-4.0577,0.3226,4.4515
000409,山东地矿,222.5637,,18.0227,-10.0182,-115.0,18.0227
000410,沈阳机床,-18.7431,-38.7083,1.0289,14.8095,-42.3529,1.9799
000411,英特集团,27.594,-80.8709,13.791,22.5118,-81.6857,10.6961
000413,东旭光电,1247.3274,,53.9221,124.5233,-466.6667,29.8309
000415,渤海金控,66.3921,34.9425,25.4463,33.3687,-35.3163,5.6624
000416,民生控股,-39.0659,-104.9781,-0.4575,-10.4887,-125.4795,1.0224
000417,合肥百货,4.8917,-24.1206,12.6477,7.8816,-23.8095,16.7125
000418,小天鹅A,-54.0375,-29.7513,8.19,-23.1603,-22.7273,7.8869
000419,通程控股,0.6893,13.3505,14.7804,-2.0142,0.7476,15.6439
000420,吉林化纤,-43.9936,-549.3309,-40.1907,-3.1231,-472.1739,-42.1047
000421,南京公用,35.4749,38.1789,5.6112,-6.9968,64.5579,8.3084
000422,湖北宜化,27.9677,22.309,38.7631,26.4504,-38.4615,73.3914
000423,东阿阿胶,-10.2546,3.7569,20.1728,15.9677,3.6665,21.3693
000425,徐工机械,-7.9591,-28.67,15.9945,34.6949,-28.7037,15.8944
000426,兴业矿业,105.7123,,51.0772,93.8319,-466.6667,50.4585
000428,华天酒店,-8.3346,-53.2163,8.256,20.2601,-60.0,4.0135
000429,粤高速A,6.0825,16.6277,4.4901,15.1899,8.3333,1.055
000430,张家界,32.7192,60.6305,47.4916,11.9875,59.0551,47.1811
000488,晨鸣纸业,11.741,-94.8903,-2.9372,18.5122,-78.2609,-0.6495
000498,山东路桥,,,-49.9644,-52.0672,627.7778,-49.9644
000501,鄂武商A,16.2194,9.844,17.9273,28.1021,11.6279,17.5504
000502,绿景控股,-68.5258,,-2.1175,-57.2209,-56.5371,-6.0866
000503,海虹控股,47.0333,-67.5934,-4.2126,-7.1895,-46.5116,-4.9239
000504,*ST生物,-33.5267,,-18.272,-7.9618,-67.0732,-18.3408
000505,*ST珠江,-24.9152,,-21.9872,-0.2533,151.1364,-20.6736
000506,中润资源,4.0398,-30.2327,23.3621,-6.5873,-28.3273,18.9676
000507,珠海港,25.2609,-20.5659,19.2436,34.1973,-54.9088,16.1967
000509,华塑控股,-6.2744,,,-7.4643,-113.4371,71.2261
000510,金路集团,-14.0489,,-15.6451,-2.2817,593.6275,-16.5954
000511,*ST烯碳,7.0828,26.6099,2.7852,-3.306,0.0,2.3341
000513,丽珠集团,28.1058,4.4411,9.1764,11.5839,2.6667,8.0777
000514,渝开发,5.5502,-8.0295,17.1096,6.488,32.0,9.2223
000516,国际医学,17.2755,6.0484,1.6576,13.2743,6.5041,1.6576
000517,荣安地产,-23.9848,-25.508,18.6843,25.3648,-25.5299,18.6843
000518,四环生物,-1.8568,-3.3439,4.038,0.2181,-28.5714,-0.917
000519,中兵红箭,-21.3149,,-1.6284,-7.0405,-220.0,-1.3807
000520,长航凤凰,-9.6245,,-126.6836,0.7718,49.1323,-143.1925
000521,美菱电器,2.7873,-8.0942,2.0203,0.4446,-26.776,2.2262
000523,广州浪奇,56.5184,45.47,2.1848,22.4271,-39.0244,2.5677
000524,岭南控股,7.917,70.2381,0.889,0.4493,50.0,0.889
000525,红太阳,33.8848,1203.6032,307.8912,117.4122,3989.7059,388.1925
000526,*ST紫学,-17.6866,-110.6142,-0.2164,-1.9756,-110.3825,-0.8529
000528,柳工,-31.4844,-71.7516,1.9361,15.2945,-78.9474,1.6994
000529,广弘控股,8.7647,7.1917,9.6953,15.1112,10.1695,9.651
000530,大冷股份,-10.1991,-32.1087,-1.6851,-9.7376,-29.6296,-1.9224
000531,穗恒运A,5.5314,125.6753,-4.1052,12.3858,235.2593,-2.6414
000532,力合股份,-7.957,188.9017,-8.6239,-12.1009,142.8571,-4.5603
000533,万家乐,-13.3965,-48.0476,4.4523,4.3894,-50.0,3.3281
000534,万泽股份,148.5649,,66.106,109.3698,-217.0475,89.6853
000536,华映科技,-51.6858,1.6292,-0.1532,-1.607,0.2592,-0.7084
000537,广宇发展,227.8464,175.8453,54.2202,0.1443,161.5385,57.6638
000538,云南白药,19.7397,28.4441,25.663,14.2074,28.3951,25.6859
000539,粤电力A,20.9514,4.1785,1.007,7.0723,-9.0909,1.3314
000540,中天金融,36.8154,21.4546,29.0976,36.8767,24.1943,24.3632
000541,佛山照明,-2.8286,9.4317,11.1208,9.6719,16.6667,11.303
000543,皖能电力,58.4538,,4.0326,25.2249,116.6667,1.0805
000544,中原环保,10.4866,104.7453,20.5945,34.1667,103.3898,19.6522
000545,金浦钛业,11.4038,,,-6.9227,-130.0,-26.7215
000546,金圆股份,-30.1557,27.3847,12.0626,-29.3283,26.5139,12.6015
000547,航天发展,-21.042,110.5138,-4.9122,-2.7079,40.0,-6.2395
000548,湖南投资,-4.6103,-13.5979,2.7094,3.7384,-18.75,3.2312
000550,江铃汽车,-5.4222,-22.2778,13.1799,8.9483,-22.4,13.591
000551,创元科技,-21.3784,-55.2141,1.0077,-1.185,-69.2308,0.8926
000552,靖远煤电,-0.5524,-10.1401,10.9214,27.5878,-11.8077,10.9214
000553,沙隆达A,9.7739,20.4234,5.3967,8.5313,22.0544,5.4711
000554,泰山石油,0.7688,40.376,0.3106,2.4076,40.1235,0.3106
000555,神州信息,-34.2541,,,-11.6386,6.4815,-0.2776
000557,西部创业,,,,155.4309,-566.6667,-3.7088
000558,莱茵体育,-11.6856,-37.0116,23.7461,14.1629,-23.7099,7.9435
000559,万向钱潮,-6.8664,-35.83,-3.103,12.1113,-36.25,-2.7632
000560,昆百大A,4.4005,126.1668,82.9827,39.287,87.794,64.3488
000561,烽火电子,4.3895,-16.135,13.2455,12.5078,-36.25,14.157
000563,陕国投A,,23.6766,293.9519,240.7987,2.6678,293.9519
