code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,,0.071,15.755,0.0754,
000002,万科A,-0.1354,-0.0127,-1.0028,-0.0162,-1.7966
000004,国农科技,-0.1093,-0.0187,-1.4758,-0.0348,-4.171
000005,世纪星源,0.9553,0.0258,,0.0499,5.3758
000006,深振业A,-0.3118,-0.0536,-2.3497,-0.0847,-13.8303
000007,全新好,1.0872,0.1207,,0.3583,38.8573
000008,神州高铁,-0.2004,-0.0305,-1.2958,-0.2045,-21.3491
000009,中国宝安,-0.0402,-0.0052,-0.3507,-0.0083,-1.3697
000010,美丽生态,-0.5411,-0.1164,-232.7774,-0.1646,-19.859
000011,深物业A,-0.6551,-0.0591,-7.121,-0.1244,-14.0938
000012,南玻A,0.1061,0.023,1.5982,0.0455,5.1193
000014,沙河股份,-0.1421,-0.0123,-1.6892,-0.0188,-3.8533
000016,深康佳A,0.0078,0.0043,,0.0058,0.626
000017,深中华A,-0.0734,-0.0998,-9.4811,-0.1331,-13.308
000018,神州长城,0.1637,0.0053,,0.0206,2.7157
000019,深深宝A,0.1341,0.0198,8.6793,0.2084,24.535
000020,深华发A,0.0685,0.0145,1.2011,0.0194,5.5981
000021,深科技,0.024,0.0121,1.2478,0.019,1.9192
000022,深赤湾A,0.415,0.0545,1.1783,0.211,31.994
000023,深天地A,-0.0874,-0.0251,-3.3958,-0.0356,-3.6
000025,特力A,0.2137,0.0296,4.6332,0.1126,12.8209
000026,飞亚达A,0.1023,0.0451,2.3506,0.0804,11.0168
000027,深圳能源,0.3301,0.0371,1.5038,0.0757,10.4072
000028,国药一致,0.035,0.0325,1.1216,0.0519,5.3752
000029,深深房A,0.3973,0.1022,2.4457,0.2032,25.8659
000030,富奥股份,0.0935,0.0293,0.7008,0.0894,11.2647
000031,中粮地产,0.4942,0.0278,7.8476,0.0354,5.0266
000032,深桑达A,-0.0362,-0.014,,-0.0649,-6.5968
000033,*ST新都,0.1151,0.0093,,0.0064,8.5802
000034,神州数码,-0.1209,-0.0568,-1.1133,-0.0983,-9.8561
000035,中国天楹,0.3178,0.0217,1.2921,0.0376,7.2968
000036,华联控股,-3.4351,-0.0606,,-0.1131,-44.463
000037,*ST南电A,0.4901,0.0619,,0.0818,9.1718
000038,深大通,0.0143,0.0022,,0.0029,0.2916
000039,中集集团,-0.0192,-0.0065,-0.3785,-0.0096,-1.2243
000040,东旭蓝天,0.0535,0.0062,1.272,0.0089,0.8999
000042,中洲控股,-0.2157,-0.0244,-1.1984,-0.0297,-4.6603
