code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,18.05,30.88,40.6297,3316.994,1.3885,10741.406,4.4965
000002,万科A,7.56,10.09,40.4835,2276.5418,0.207,22541.913,2.0501
000004,国农科技,-4.64,-10.16,44.5135,-3.2095,-0.0382,31.5735,0.3759
000005,世纪星源,1.35,11.88,66.3329,10.3021,0.0112,86.6781,0.0947
000006,深振业A,13.82,26.63,66.5316,235.426,0.4641,883.9049,1.7427
000007,全新好,,-26.29,77.2018,-32.0685,-0.1733,121.944,0.6592
000008,神州高铁,0.43,3.69,19.2308,0.3167,0.0043,8.5682,0.1163
000009,中国宝安,10.58,9.22,38.0233,180.1205,0.1733,1952.183,1.8792
000010,美丽生态,29.08,18.29,42.6853,13.4327,0.0913,73.4251,0.4994
000011,深物业A,-2.34,-6.39,30.0654,-12.795,-0.0236,200.0925,0.3693
000012,南玻A,11.44,16.64,31.3459,545.1339,0.4406,3274.1865,2.6466
000014,沙河股份,-15.3,-167.61,46.1655,-45.1904,-0.224,26.9615,0.1336
000016,深康佳A,5.07,2.08,18.7435,187.9388,0.156,9026.7277,7.4974
000017,深中华A,,9.41,3.4105,19.316,0.0402,205.1996,0.428
000018,神州长城,-6.21,-24.13,9.8003,-9.5227,-0.0562,39.4626,0.2333
000019,深深宝A,4.94,14.25,22.829,16.6363,0.0914,116.7096,0.6415
000020,深华发A,-0.6,-1.3,16.1348,-1.4551,-0.0051,111.8309,0.3949
000021,深科技,6.26,1.91,2.64,209.8229,0.2385,10946.0176,12.4454
000022,深赤湾A,18.96,33.27,60.0364,499.1703,0.7741,1500.1618,2.3266
000023,深天地A,1.51,1.16,13.5155,4.2746,0.0308,368.3845,2.6549
000025,特力A,-0.96,-0.29,12.1674,-1.5031,-0.0068,511.0331,2.3199
000026,飞亚达A,8.25,7.02,35.4314,54.6529,0.2192,778.1752,3.1212
000027,深圳能源,8.09,10.46,19.4783,899.1469,0.4082,8595.7397,3.9027
000028,国药一致,19.96,1.98,8.8791,120.792,0.4191,6090.0568,21.135
000029,深深房A,1.4,3.83,33.0855,16.9978,0.0168,443.2586,0.4381
000030,富奥股份,,-1725.63,,-21.3285,-0.0739,1.236,0.0042
000031,中粮地产,3.09,19.07,48.4905,101.5096,0.0559,532.1167,0.2933
000032,深桑达A,9.43,5.27,20.5733,72.651,0.3119,1377.7463,5.9165
000033,*ST新都,1.05,6.36,46.7858,3.2371,0.0098,50.8493,0.1543
000034,神州数码,,-11.99,11.3101,-23.9753,-0.0669,199.8446,0.5582
000035,中国天楹,,1266.87,42.5139,104.966,0.6997,8.2854,0.0552
000036,华联控股,-22.02,-265.98,38.9218,-287.8788,-0.2561,108.2315,0.0963
000037,*ST南电A,1.61,0.99,-43.4961,28.0072,0.0464,2821.8997,4.6816
000038,深大通,,,,-4.6917,-0.0518,0.0,0.0
000039,中集集团,11.86,3.94,10.4834,1701.602,0.6391,43120.591,16.1961
000040,东旭蓝天,-6.33,-23.85,39.2765,-56.1029,-0.1194,235.2033,0.5008
000042,中洲控股,-3.62,-16.29,44.0973,-60.4666,-0.2525,371.1347,1.5498
000043,中航地产,0.59,0.88,30.1043,8.544,0.0384,960.6591,4.321
000045,深纺织A,9.33,10.58,20.5472,38.3189,0.1563,362.0092,1.4768
000046,泛海控股,2.57,17.82,47.9327,209.7934,0.0926,1177.2249,0.52
000048,康达尔,,3.12,12.745,23.0868,0.059,738.9055,1.8909
000049,德赛电池,2.62,0.67,14.1264,4.0454,0.0295,603.285,4.409
000050,深天马A,2.77,3.82,13.6428,39.7679,0.1038,1039.0554,2.7141
000055,方大集团,3.06,3.03,16.1494,17.0723,0.04,561.9146,1.3166
000056,皇庭国际,-0.2,-4.54,30.5681,-0.4948,-0.0022,10.8983,0.0493
000058,深赛格,3.09,17.64,43.5881,39.7799,0.0506,225.4957,0.2873
000059,华锦股份,6.17,12.89,31.0008,373.7218,0.3113,2898.1728,2.4141
000060,中金岭南,19.64,12.88,29.2244,759.4679,0.7418,5891.998,5.755
000061,农产品,3.1,9.43,51.4169,88.8093,0.1964,940.9948,2.0815
000062,深圳华强,0.58,0.57,13.1627,7.9526,0.0257,1390.4337,4.5007
000063,中兴通讯,6.12,2.68,34.1068,815.725,0.6072,30327.346,22.5762
