code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000001,平安银行,--,--,--,--,5.355,94.645
000002,万科A,1.4567,0.414,21.6545,1527.5417,21.1361,78.8639
000004,国农科技,1.911,1.0824,72.6589,-522.3555,69.3539,30.6461
000005,世纪星源,0.2852,0.2577,0.8384,-202.9974,51.189,48.811
000006,深振业A,1.6385,0.2242,19.8302,4557.783,38.3698,61.6302
000007,全新好,1.6628,1.5176,61.3353,375.3964,69.2838,30.7162
000008,神州高铁,13.9873,13.9377,1244.9914,89.4258,95.6692,4.3308
000009,中国宝安,1.4574,0.7192,29.1642,289.7254,34.9602,65.0398
000010,美丽生态,1.2287,0.6787,6.3465,-353.711,37.5007,62.4993
000011,深物业A,1.3157,0.5581,28.7867,-9439.208,33.6481,66.3519
000012,南玻A,0.4828,0.3436,10.0876,362.4155,49.0214,50.9786
000014,沙河股份,2.3426,0.3077,23.9232,36.8354,33.2133,66.7867
000016,深康佳A,1.2624,0.9145,35.3204,139.3228,28.5206,71.4794
000017,深中华A,0.0474,0.0287,1.3151,-0.2824,-1198.3432,1298.3432
000018,神州长城,1.1809,1.1774,115.7264,8910.3861,66.286,33.714
000019,深深宝A,3.6854,3.2875,291.4654,23654.9295,84.2897,15.7103
000020,深华发A,1.5098,1.365,84.4249,185.7208,37.3789,62.6211
000021,深科技,1.2561,1.1005,78.9372,-294.2386,41.4119,58.5881
000022,深赤湾A,0.5298,0.5184,39.0059,1132.926,59.4178,40.5822
000023,深天地A,1.0903,0.847,23.261,32.372,30.6135,69.3865
000025,特力A,0.4488,0.2949,14.2731,-123.4128,34.0264,65.9736
000026,飞亚达A,1.3443,0.3713,11.3751,238.1338,42.2486,57.7514
000027,深圳能源,1.34,1.1645,55.1651,493.9093,53.9072,46.0928
000028,国药一致,1.094,0.8994,13.3943,447.1129,18.7855,81.2145
000029,深深房A,1.8512,0.2819,15.558,1658.2603,44.0116,55.9884
000030,富奥股份,1.009,1.009,0.4949,2443.9826,0.8956,99.1044
000031,中粮地产,1.6088,0.3092,25.2846,195.0561,20.6715,79.3285
000032,深桑达A,1.4084,0.7094,33.0137,-175.0654,55.1239,44.8761
000033,*ST新都,1.9856,1.9599,35.9746,-14.1583,57.7717,42.2283
000034,神州数码,1.18,0.6621,24.0037,1257.6582,44.397,55.603
000035,中国天楹,0.1405,0.1405,0.0381,6556.0116,-316.407,416.407
000036,华联控股,3.3757,1.6266,107.9365,-1004.1872,60.4408,39.5592
000037,*ST南电A,0.8692,0.5144,19.9262,-20.9788,33.8442,66.1558
000038,深大通,1.5588,0.1937,1.2792,-68.659,28.4099,71.5901
