code,name,mbrg,nprg,nav,targ,epsg,seg
000001,平安银行,51.0661,87.6682,97.5964,42.3472,62.963,97.5964
000002,万科A,55.5717,20.3894,97.646,111.3656,-25.0,92.9136
000004,国农科技,-7.9839,-189.751,-7.414,-7.4513,-1320.0,-9.3029
000005,世纪星源,-85.8821,-94.3254,0.933,-5.6116,-95.0,0.933
000006,深振业A,560.3859,1612.682,46.2431,75.0957,1720.0,47.1515
000007,全新好,30.0819,,,-3.961,3.2,-22.9734
000008,神州高铁,7.1489,-74.3278,-3.7289,-4.5542,-65.0,-3.7289
000009,中国宝安,47.1248,5.111,10.9175,4.26,101.7544,10.3605
000010,美丽生态,29.8865,,-14.1757,-12.8931,-100.0,-20.0712
000011,深物业A,8.9441,,-6.4262,11.5934,-15.4545,-6.437
000012,南玻A,22.3332,221.9704,49.7592,28.4182,240.0,56.392
000014,沙河股份,-61.161,,-5.4807,16.4734,205.6667,-2.6353
000016,深康佳A,-9.5201,89.2964,4.6518,-7.8085,79.3578,5.0986
000017,深中华A,26.051,-89.2707,,-21.7674,-88.8571,-2.0926
000018,神州长城,-24.6138,,-43.4016,-42.5831,-92.8571,-41.8788
000019,深深宝A,20.6674,-57.9384,24.7067,2.8659,-25.0,15.7316
000020,深华发A,48.1453,1122.361,10.4885,6.8386,1175.0,10.4885
000021,深科技,20.918,-81.3329,-0.6464,15.1297,-81.3488,-0.6464
000022,深赤湾A,4.8564,15.1641,3.3488,10.0912,16.2896,14.49
000023,深天地A,-55.9347,-137.1203,-8.5348,-5.619,-135.7143,-4.2036
000025,特力A,-15.8649,,8.6697,2.4655,58.0,12.3326
000026,飞亚达A,52.109,28.2406,13.0221,33.697,20.0,13.0007
000027,深圳能源,53.6504,-15.4071,60.9499,137.4758,-29.4118,129.2406
000028,国药一致,23.9372,45.7131,23.0253,13.6316,44.4444,22.0011
000029,深深房A,21.729,66.6518,5.3574,-4.9284,400.0,4.8442
000030,富奥股份,-48.3657,,,-9.1994,10.6667,2.1062
000031,中粮地产,184.5979,107.5572,109.4179,88.203,100.0,124.4233
000032,深桑达A,56.2977,357.4904,23.4908,3.4747,416.6667,29.663
000033,*ST新都,2.2486,,-2.9292,-6.4953,-35.7143,-2.9292
000034,神州数码,-14.3154,,,-51.8298,-50.0,79.9262
000035,中国天楹,34.2247,,,10.4086,-10433.3333,-14.9474
000036,华联控股,153.1472,-416.6093,-11.226,11.5282,-372.7273,-15.2739
000037,*ST南电A,65.3856,,6.9539,36.7349,3480.0,11.0867
000038,深大通,-100.0,-107.86,,-83.1344,-108.0357,140.4937
000039,中集集团,17.4753,-25.8576,33.9635,65.7262,-41.3846,28.799
000040,东旭蓝天,19.6173,,6.0999,-4.9758,300.0,6.2537
000042,中洲控股,-28.3423,,6.3422,14.8995,43.5,5.8992
000043,中航地产,-7.7789,7.4083,192.407,61.9568,-16.6667,245.6017
000045,深纺织A,14.5146,336.9799,-1.4399,-0.0638,200.0,5.7181
000046,泛海控股,-5.8307,0.47,131.6532,122.0436,-68.1818,134.2441
000048,康达尔,34.5986,,,6.8293,-172.2892,-16.7893
000049,德赛电池,26.5629,,-3.8243,3.6362,-141.0,-1.842
000050,深天马A,-2.2452,-50.591,70.9577,147.5166,-40.0,72.3703
000055,方大集团,34.1139,94.9306,26.2273,1.9524,100.0,13.3213
000056,皇庭国际,-75.2095,,26.9742,37.8075,-46.0,47.9338
000058,深赛格,-74.7758,,,,-135.0,12.1821
000059,华锦股份,40.5215,35.8372,202.3334,93.3724,-22.8571,202.3334
000060,中金岭南,-7.5705,1.1291,8.5513,16.7175,-9.5238,8.6914
000061,农产品,12.0226,229.7726,21.4706,25.7554,266.6667,18.7598
000062,深圳华强,-18.7411,,7.5741,-0.6094,-340.0,15.9416
000063,中兴通讯,43.8168,63.054,19.566,42.7847,43.1818,18.9613
000065,北方国际,-55.195,-218.0259,-20.5999,1.9711,-216.6667,-24.414
000066,中国长城,39.775,-84.3888,1.7183,41.4299,-82.7586,1.7183
000068,华控赛格,81.9326,,-5.8659,-5.5071,-105.6364,-5.8659
000069,华侨城A,100.21,201.0757,58.8877,76.9826,-10.0,68.5395
000070,特发信息,6.6965,,2.1865,9.407,-134.0,1.3394
000078,海王生物,-24.598,84.0898,2.5611,-11.837,30.0,3.6516
000088,盐田港,-35.3414,-15.7784,1.228,-0.9466,-16.3837,13.3971
000089,深圳机场,26.4979,29.6905,36.0501,34.3746,21.25,37.5313
000090,天健集团,39.1942,144.3329,9.0136,24.9362,200.0,9.0136
000096,广聚能源,7.9282,70.5166,10.9538,7.117,74.0741,11.2954
000099,中信海直,41.2099,45.8234,4.9577,9.5253,63.0,4.9994
000100,TCL集团,-2.0203,,37.3341,10.2986,3116.6667,30.1578
000150,宜华健康,-7.9654,,19.8398,107.98,-200.0,19.9743
000151,中成股份,-41.9235,151.9359,-1.0908,-35.958,13.0,-1.0375
000153,丰原药业,53.0658,21.0024,1.6146,9.9911,-31.0,1.5964
000155,*ST川化,51.4912,,0.2552,7.8188,-500.0,-0.7613
000156,华数传媒,60.6791,,,-33.6249,-12.5,22.2123
000157,中联重科,95.5971,75.0314,61.6618,81.8279,15.2205,59.2776
000158,常山股份,2.8363,-4.6999,39.7816,19.6972,0.0,40.0815
000159,国际实业,117.782,205.5844,78.8244,29.8673,178.6667,77.6426
000166,申万宏源,,-14.6828,186.561,31.1748,,186.561
000301,东方市场,-83.8151,6.4544,-1.3509,-10.7222,21.0,-1.3793
000338,潍柴动力,,,,,191.4894,120.2178
000400,许继电气,-5.458,-17.7668,4.5915,-5.7271,-15.3125,4.8927
000401,冀东水泥,81.7588,,13.7174,51.6069,25.0,10.9308
000402,金融街,-61.445,-84.4892,241.701,129.9817,-87.8049,251.1733
000403,ST生化,31.0256,,,-2.2448,,-157.9534
000404,华意压缩,48.2292,,14.8289,13.7041,-300.0,9.5778
000407,胜利股份,257.2249,102.0856,11.2514,28.96,70.0,4.1774
000408,*ST金源,50.9158,254.9447,-2.2022,9.8282,-30.0,1.2543
000409,山东地矿,,,-32.0604,-48.7324,-40.0,-32.0604
000410,沈阳机床,31.8343,-36.1902,3.1572,27.455,-80.0,3.9929
000411,英特集团,33.5405,490.7798,30.2137,37.5882,554.0,40.8815
000413,东旭光电,7.7987,1489.0053,13.6745,-0.0492,1116.6667,12.281
000415,渤海金控,-88.8841,,-4.2244,5.4766,28.777,3.1386
000416,民生控股,-40.5271,,-24.2317,-37.7308,44.0,0.2945
000417,合肥百货,35.1696,28.7042,20.2227,24.0575,-23.9651,11.1607
000418,小天鹅A,-21.4242,105.2924,29.1503,0.3139,80.0,32.0976
000419,通程控股,24.2103,-5.1244,11.1483,6.8869,-19.5214,6.7443
000420,吉林化纤,-0.014,-217.1335,5.4146,20.5084,-225.0,2.0549
000421,南京公用,-16.5291,29.369,75.9738,35.4601,-74.3083,25.9798
000422,湖北宜化,71.3718,218.1916,43.2414,70.1275,164.1667,26.6155
000423,东阿阿胶,49.5813,55.1675,13.4013,12.8102,18.7273,13.1975
000425,徐工机械,26.7394,-1231.8181,0.8567,-3.7622,-1236.3636,0.8775
000426,兴业矿业,-11.4164,29.8773,-1.3893,-6.3767,0.0,0.4241
000428,华天酒店,47.0065,-4.6183,90.8104,95.4844,4.0,90.4368
000429,粤高速A,-8.356,-23.6282,11.4115,9.8627,-18.1818,15.9734
000430,张家界,-49.7951,,,-8.697,50.0,1.3083
000488,晨鸣纸业,32.0273,154.3589,29.8587,4.0087,133.3333,36.8481
000498,山东路桥,-89.9759,,-4002.2549,-44.4865,20.0,-4002.2549
000501,鄂武商A,27.4998,39.8819,19.3798,19.6586,37.5,8.761
000502,绿景控股,-53.4739,-106.3016,13.5824,35.9005,-130.0,-8.3884
000503,海虹控股,8.8218,-88.3949,-5.3005,-12.8165,-78.0,-5.5183
000504,*ST生物,68.549,-61.2083,0.5767,5.7465,,0.5767
000505,*ST珠江,-44.3456,,-22.3641,28.4954,650.0,-23.6396
000506,中润资源,,,,,-125.0,-20.7999
000507,珠海港,560.0984,803.7741,16.0113,-6.2153,806.8182,15.9853
000509,华塑控股,6.3613,,23.9361,-5.2754,-118.3333,27.2798
000510,金路集团,24.6019,5.0276,5.2052,12.4981,-3.3333,4.8693
000511,*ST烯碳,27.8776,197.4529,13.0324,-12.2812,71.4286,13.0324
000513,丽珠集团,34.1941,-57.8909,27.6191,12.5988,-60.4651,28.1975
000514,渝开发,101.2894,70.4917,8.6921,6.6118,52.25,7.0394
000516,国际医学,8.4423,29.7038,14.6019,12.0224,36.3636,12.7547
000517,荣安地产,-69.1098,-2055.5598,,-68.6965,-6014.2857,95.7227
000518,四环生物,-5.7481,,-17.9241,-29.2445,-100.0,-17.8992
000519,中兵红箭,39.9653,-1130.581,-4.3432,-13.103,-1300.0,-4.5279
000520,长航凤凰,27.0695,144.8586,36.456,48.462,140.4082,35.1809
000521,美菱电器,26.8703,96.2583,,,69.8925,2.2824
000523,广州浪奇,23.4599,36.4495,3.1309,19.1083,36.3636,2.9402
000524,岭南控股,8.8396,,9.2655,-1.6105,-23.3333,9.2655
000525,红太阳,8.3268,7.2912,2.4712,24.1335,0.0,0.3722
000526,*ST紫学,-0.7558,,3.4938,-15.7257,-10.0,3.2514
000528,柳工,61.3078,31.2174,22.5883,59.557,36.3636,22.5926
