code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,4.18,8.99,53.268,220.5322,0.1133,2452.3212,1.2603
000002,万科A,4.1,16.99,38.4935,388.1794,0.0985,2284.3289,0.5802
000004,国农科技,0.05,0.4,46.0172,0.0446,0.0005,10.949,0.1303
000005,世纪星源,8.34,28.11,47.5885,59.1459,0.0834,210.3882,0.2968
000006,深振业A,3.18,17.47,39.557,36.1902,0.1427,207.1519,0.8168
000007,全新好,-6.06,-17.42,80.3084,-5.0344,-0.035,28.8991,0.2012
000008,神州高铁,-0.13,-4.04,26.406,-0.0996,-0.0013,2.4626,0.0334
000009,中国宝安,0.65,2.05,33.813,7.7376,0.008,377.019,0.3932
000010,美丽生态,-0.67,-3.57,33.509,-0.395,-0.0026,11.0332,0.075
000011,深物业A,-1.38,-11.06,32.0517,-8.9078,-0.0164,80.5184,0.1486
000012,南玻A,1.94,8.76,28.9824,49.0938,0.0483,560.1526,0.5516
000014,沙河股份,6.11,14.21,31.2962,20.4422,0.228,143.8077,1.6041
000016,深康佳A,0.78,0.79,16.0715,25.2915,0.042,3187.0478,5.2942
000017,深中华A,,-3.26,1.7587,-1.5061,-0.0031,46.169,0.0962
000018,神州长城,-1.45,-5.87,6.3369,-3.8427,-0.0227,65.4072,0.3866
000019,深深宝A,1.07,12.26,14.6408,2.6066,0.0143,21.2504,0.1168
000020,深华发A,0.23,2.31,6.6451,0.5678,0.002,24.5142,0.0865
000021,深科技,2.86,3.8,4.7256,84.4869,0.1152,2221.4394,3.0308
000022,深赤湾A,6.67,34.22,66.2167,150.7337,0.2337,440.4486,0.6831
000023,深天地A,-3.75,-8.52,9.4429,-7.9905,-0.0575,93.6805,0.6751
000025,特力A,0.05,0.04,8.9866,0.1278,0.0005,269.3502,1.2227
000026,飞亚达A,0.9,4.38,35.7859,4.8786,0.0195,111.2105,0.446
000027,深圳能源,3.31,9.9,23.7547,153.3749,0.1275,1548.0889,1.2873
000028,国药一致,5.72,1.91,11.2711,23.6451,0.082,1236.1855,4.29
000029,深深房A,0.37,2.31,22.7879,3.9743,0.0039,171.746,0.1697
000030,富奥股份,,,,-7.0816,-0.0245,0.0,0.0
