code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000002,万科A,-0.7341,-0.0163,-8.5821,-0.0206,-2.3476
000004,国农科技,0.0851,0.0028,,0.0046,0.5219
000005,世纪星源,-0.8128,-0.0167,,-0.039,-4.0366
000006,深振业A,1.371,0.041,10.5027,0.0637,13.9038
000007,全新好,-0.8426,-0.0124,-0.5977,-0.0611,-6.4252
000008,神州高铁,0.121,0.0038,2.2347,0.0225,2.3626
000009,中国宝安,0.061,0.0045,0.7814,0.007,1.0873
000010,美丽生态,-0.2484,-0.0067,,-0.013,-1.9129
000011,深物业A,4.4755,0.1646,1520.8061,0.2717,29.6772
000012,南玻A,0.1641,0.021,1.5618,0.0449,7.0471
000014,沙河股份,0.4574,0.0068,,0.0104,1.9785
000016,深康佳A,0.0725,0.0217,21.6074,0.0278,2.8322
000017,深中华A,-0.1015,-0.0355,-10.4966,-0.0453,-4.5298
000018,神州长城,-0.345,-0.0711,-4.1982,-0.102,-10.6953
000019,深深宝A,-0.134,-0.0089,,-0.0674,-7.4973
000020,深华发A,-0.3341,-0.076,-97.9037,-0.1566,-19.2941
000021,深科技,0.0219,0.0066,0.519,0.012,1.2228
000022,深赤湾A,0.2302,0.0147,0.6609,0.0666,10.9201
000023,深天地A,-0.1126,-0.0136,-326.3037,-0.0194,-1.9576
000025,特力A,0.0409,0.0028,0.5273,0.0125,1.3953
000026,飞亚达A,0.133,0.0238,3.5974,0.0556,5.9105
000027,深圳能源,0.2421,0.0084,2.2545,0.0147,2.8644
000028,国药一致,-0.0142,-0.0071,-0.4901,-0.012,-1.243
000029,深深房A,0.3843,0.0299,4.0996,0.0626,7.6255
000030,富奥股份,0.031,0.0048,0.2547,0.0142,2.0024
000031,中粮地产,-0.1092,-0.006,-0.775,-0.0075,-1.4645
000032,深桑达A,-0.098,-0.0251,-3.2707,-0.1109,-11.8394
000033,*ST新都,-1.0268,-0.0759,-17.6297,-0.0781,-32.2197
000034,神州数码,-0.2275,-0.0012,,-0.0014,-0.168
000035,中国天楹,-0.0242,-0.0009,-0.109,-0.0015,-0.2829
000036,华联控股,19.0018,0.1158,9.7271,0.1801,31.3734
000037,*ST南电A,-0.2191,-0.0114,,-0.0127,-1.6719
000038,深大通,0.7516,0.034,3.4737,0.0824,8.3232
000039,中集集团,0.0211,0.0019,0.4547,0.0029,0.4614
000040,东旭蓝天,-0.1901,-0.0167,-3.8388,-0.0208,-4.222
000042,中洲控股,-0.4972,-0.0341,-22.2402,-0.0428,-7.2485
000043,中航地产,-0.3581,-0.0176,,-0.0216,-3.6146
000045,深纺织A,-0.0901,-0.0081,,-0.0319,-4.6127
000046,泛海控股,-1.4353,-0.0433,-33.0538,-0.0514,-13.0016
000048,康达尔,-0.1094,-0.0185,-3.9861,-0.0322,-3.4041
000049,德赛电池,-0.089,-0.0484,-2.7402,-0.0896,-8.9592
000050,深天马A,-0.413,-0.0499,-11.1411,-0.146,-23.2218
000055,方大集团,-0.1273,-0.0129,-3.1215,-0.0183,-2.1356
000056,皇庭国际,5.6258,0.0444,18.2738,0.1105,51.5512
000058,深赛格,-0.1609,-0.0118,-1.0564,-0.0341,-3.5376
000059,华锦股份,0.1779,0.0368,2.3762,0.0539,6.5145
000060,中金岭南,0.0339,0.0063,,0.0124,1.7536
000061,农产品,0.1245,0.0036,4.2451,0.0058,0.8542
000062,深圳华强,0.0111,0.0019,0.1912,0.0053,0.7584
000063,中兴通讯,0.1805,0.0292,3.7181,0.043,4.8394
000065,北方国际,-0.1232,-0.0169,-3.911,-0.0241,-2.4788
000066,中国长城,0.096,0.0399,,0.0518,6.1343
000068,华控赛格,-1.4565,-0.0382,,-0.3977,-40.4633
