code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,1.3052,0.021,4.3319,0.0219,
000002,万科A,-0.0863,-0.0134,-0.6455,-0.0198,-2.456
000004,国农科技,0.2324,0.0244,,0.0578,6.807
000005,世纪星源,-0.4437,-0.0136,-3.6036,-0.0283,-2.8359
000006,深振业A,-1.4968,-0.1971,-5.1654,-0.2801,-75.9005
000007,全新好,0.002,0.0002,,0.0002,0.0228
000008,神州高铁,-0.9413,-0.0684,-22.0852,-1.0831,-108.313
000009,中国宝安,0.2088,0.0422,1.6034,0.0701,8.384
000010,美丽生态,-0.1979,-0.0388,-8.4762,-0.062,-7.9486
000011,深物业A,-0.6483,-0.0424,,-0.0577,-8.9632
000012,南玻A,0.2244,0.0501,1.0409,0.0951,11.2493
000014,沙河股份,-7.6607,-0.1277,,-0.1745,-26.5789
000016,深康佳A,-0.0076,-0.0049,-0.4988,-0.0087,-0.8788
000017,深中华A,-0.0557,-0.0293,,-0.0031,-0.3365
000018,神州长城,0.3655,0.0531,,0.2165,29.0569
000019,深深宝A,-0.1214,-0.018,-1.2481,-0.0649,-6.9057
000020,深华发A,-0.3582,-0.0522,,-0.1004,-10.0428
000021,深科技,0.0131,0.0211,0.7115,0.0786,8.2129
000022,深赤湾A,0.5604,0.0998,1.131,0.2378,26.9345
000023,深天地A,-0.2995,-0.0815,-22.7799,-0.1207,-15.7253
000025,特力A,0.039,0.0178,,0.0238,2.9058
000026,飞亚达A,-0.1532,-0.0575,-2.041,-0.1092,-12.2715
000027,深圳能源,0.1636,0.0313,1.5278,0.058,9.1185
000028,国药一致,0.0238,0.0268,1.1304,0.0324,3.3509
000029,深深房A,-0.064,-0.0083,-1.3652,-0.0176,-2.5883
000030,富奥股份,0.0352,0.0011,,0.0,0.0027
000031,中粮地产,-0.96,-0.0657,-4.3868,-0.1464,-18.8306
000032,深桑达A,-0.0553,-0.0351,-0.7482,-0.0772,-7.8839
000033,*ST新都,0.4664,0.0335,,0.0903,17.2554
000034,神州数码,-0.0659,-0.0304,,-0.0078,-1.0614
000035,中国天楹,-0.0361,-0.0004,-0.0027,-0.0001,-0.0154
000036,华联控股,-0.5884,-0.0143,,-0.0328,-5.7151
000037,*ST南电A,-0.1604,-0.0499,-6.5692,-0.0715,-7.4017
000038,深大通,,-0.0212,,-0.0017,-0.1673
000039,中集集团,-0.0502,-0.0347,-1.3757,-0.0551,-8.3283
000040,东旭蓝天,-1.1213,-0.0782,,-0.1468,-20.5394
000042,中洲控股,-2.0277,-0.092,,-0.1332,-19.901
000043,中航地产,-0.4766,-0.0723,-13.7033,-0.1146,-12.2341
000045,深纺织A,0.0677,0.0242,0.4671,0.0811,8.4799
000046,泛海控股,0.0685,0.0037,0.3966,0.0069,0.8958
000048,康达尔,0.2727,0.1149,5.2322,0.1013,10.7719
000049,德赛电池,-0.0292,-0.0158,,-0.0242,-2.4207
000050,深天马A,0.2085,0.0276,3.8374,0.0473,15.3277
000055,方大集团,-0.1086,-0.0317,-2.0089,-0.0642,-9.5252
000056,皇庭国际,-6.2302,-0.0443,,-0.055,-8.5028
000058,深赛格,0.2171,0.02,0.9931,0.1112,14.3192
000059,华锦股份,0.2243,0.035,1.9191,0.0646,15.3539
000060,中金岭南,0.3066,0.1378,1.9361,0.2532,34.8473
000061,农产品,0.2666,0.0276,1.485,0.0629,7.8309
000062,深圳华强,-0.05,-0.0198,,-0.0539,-5.4607
000063,中兴通讯,-0.1597,-0.0692,-4.7073,-0.0995,-13.5197
000065,北方国际,0.0849,0.0208,,0.0281,4.2443
000066,中国长城,-0.0421,-0.0256,-1.9091,-0.0531,-5.3504
000068,华控赛格,0.1778,0.0669,16.2544,0.1521,28.7328
000069,华侨城A,0.6465,0.0388,1.0954,0.0711,7.4917
000070,特发信息,0.1517,0.0383,4.2567,0.0926,14.0336
000078,海王生物,0.1215,0.0445,3.8124,0.0641,6.7891
000088,盐田港,0.6775,0.0374,0.5149,0.8992,89.9174
000089,深圳机场,0.4429,0.0674,4.6423,0.5666,95.6243
000090,天健集团,-0.6073,-0.1074,-24.1611,-0.1852,-23.0014
000096,广聚能源,-0.1533,-0.084,-1.7429,-0.4836,-48.3578
000099,中信海直,0.0264,0.0034,0.3689,0.0077,1.9988
000100,TCL集团,0.0108,0.0086,0.5069,0.0115,1.2138
000150,宜华健康,0.1634,0.007,0.6513,0.0132,1.6336
000151,中成股份,0.4234,0.1004,6.1426,0.4419,45.2745
000153,丰原药业,0.1157,0.0431,9.2062,0.0991,9.9796
000155,*ST川化,0.1635,0.0682,1.6279,0.1855,26.3108
000156,华数传媒,-0.017,-0.0074,-0.7344,-0.0037,-0.5608
000157,中联重科,-0.0411,-0.0187,-0.2814,-0.0281,-3.6767
000158,常山股份,0.0974,0.03,4.7251,0.06,7.7837
000159,国际实业,0.1311,0.0343,0.7393,0.0943,17.4835
000166,申万宏源,,,,,
000301,东方市场,-0.7358,-0.103,-3.0952,-0.3454,-41.6608
000333,美的集团,0.0506,0.0502,1.1656,0.0697,7.0353
000338,潍柴动力,0.0879,0.0638,0.8827,0.1037,11.1836
000400,许继电气,-0.241,-0.0468,-4.4783,-0.0903,-9.2078
000401,冀东水泥,0.0843,0.014,1.0537,0.0252,3.9744
000402,金融街,-1.7586,-0.0766,-15.0333,-0.1677,-28.4079
000403,ST生化,0.1699,0.033,0.1624,0.0417,4.348
000404,华意压缩,0.0135,0.0095,0.3536,0.0127,1.3708
000407,胜利股份,0.0401,0.0181,1.2569,0.026,4.0841
000408,*ST金源,0.2444,0.1213,,0.1883,19.7135
000409,山东地矿,,0.0103,,0.0555,5.5945
000410,沈阳机床,0.0172,0.0061,0.9712,0.0073,0.7417
000411,英特集团,0.0183,0.0227,1.7316,0.0273,2.7428
000413,东旭光电,-0.0705,-0.0203,-2.9701,-0.0511,-5.2776
000415,渤海金控,0.9703,0.0501,,0.0799,8.7545
000416,民生控股,-0.0262,-0.0105,,-0.06,-5.9974
000417,合肥百货,0.0974,0.088,3.3376,0.1432,14.5225
000418,小天鹅A,-0.0144,-0.009,-0.4943,-0.0164,-1.6587
000419,通程控股,0.0127,0.0061,0.4494,0.0111,1.662
000420,吉林化纤,-0.0693,-0.0263,,-0.0519,-6.4498
000421,南京公用,0.2327,0.0567,2.1465,0.0823,10.3139
000422,湖北宜化,0.2171,0.0863,1.4723,0.1238,18.9201
