code,name,mbrg,nprg,nav,targ,epsg,seg
000001,平安银行,38.292,77.0369,119.6992,29.6386,57.7778,119.6992
000002,万科A,59.0431,26.008,25.1065,27.8214,-28.6207,15.2631
000004,国农科技,26.8417,,-6.4688,-11.5894,-39.3651,-5.644
000005,世纪星源,-55.3146,-88.5773,-4.8132,-3.3935,-89.899,-4.8132
000006,深振业A,144.1383,81.9118,25.3017,26.2315,-9.1977,25.2772
000007,全新好,-2.2146,,,-1.9664,62.0561,4.8578
000008,神州高铁,20.2436,-85.4711,-5.1141,-5.6321,-85.473,-5.1141
000009,中国宝安,92.7111,-18.4475,1.854,-2.5765,3.5928,-0.0099
000010,美丽生态,34.3003,,-31.2491,-19.9929,-250.0,-38.734
000011,深物业A,-15.1582,,-4.5285,19.226,-56.3771,-4.5347
000012,南玻A,7.2601,58.9645,78.4655,15.5946,55.1724,89.6227
000014,沙河股份,-62.4135,,-10.5964,22.9544,209.8202,-10.6947
000016,深康佳A,6.2922,263.9299,9.5397,-1.2174,68.7568,10.2481
000017,深中华A,20.5718,508.0416,,-22.802,501.4925,-3.3913
000018,神州长城,-44.4117,,-34.1138,-39.4303,-83.1933,-32.8527
000019,深深宝A,-18.011,9.276,13.9966,14.4291,-3.7895,15.2381
000020,深华发A,4.3497,-114.6864,2.9924,34.3396,-114.5714,2.9924
000021,深科技,20.441,-60.7282,-2.495,4.0482,-60.7243,-2.495
000022,深赤湾A,1.9355,-1.1767,8.2945,1.2988,-3.25,8.8447
000023,深天地A,-20.2151,42.2538,-5.4322,2.1913,-45.614,-1.965
000025,特力A,-31.0826,-3071.4075,-12.7755,-20.4259,1300.0,2.4616
000026,飞亚达A,39.5739,14.8345,8.1339,46.6086,14.0625,8.0233
000027,深圳能源,52.2343,-14.6519,61.7805,138.825,-25.2244,110.42
000028,国药一致,19.4641,17.3369,27.8231,21.299,17.0391,26.255
000029,深深房A,-6.632,10.7093,8.6319,-7.1234,13.5135,8.04
000030,富奥股份,-17.2548,,,-13.3497,-12.5,1.1076
000031,中粮地产,118.5764,-67.1184,-0.64,74.4663,-84.3096,0.9326
000032,深桑达A,21.0303,89.3119,15.6996,-21.4639,70.8653,21.5467
000033,*ST新都,-1.7388,,-0.0533,-8.4222,-150.2564,-0.0533
