code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
601899,紫金矿业,61.3918,5.864,3.0185,119.2645,1.7089,210.6618
601901,方正证券,,,,,,
601908,京运通,0.5603,642.5129,0.8043,447.5942,0.1088,3308.8235
601918,新集能源,14.2099,25.3344,3.7303,96.507,2.0597,174.7827
601919,中远海控,7.3134,49.2247,13.4489,26.768,0.872,412.844
601928,凤凰传媒,17.3329,20.7698,2.2468,160.2279,0.5027,716.1329
601929,吉视传媒,28.5371,12.6152,4.6167,77.9778,1.5453,232.9645
601933,永辉超市,173.9135,2.07,5.9766,60.2349,2.9015,124.0738
601939,建设银行,,,,,,
601958,金钼股份,19.2171,18.7333,4.0824,88.1834,0.7165,502.4424
601965,中国汽研,6.4736,55.6105,1.5738,228.7457,0.5248,685.9756
601968,宝钢包装,5.2393,68.7115,2.5954,138.7069,1.2038,299.053
601985,中国核电,12.1717,29.5768,0.9973,360.9746,0.7339,490.53
601988,中国银行,,,,,,
601989,中国重工,1.7238,208.8409,1.5125,238.0165,0.3498,1029.1595
601991,大唐发电,5.9664,60.3379,7.6347,47.1531,2.0882,172.3973
601992,金隅股份,5.6154,64.1094,0.6134,586.8927,0.5142,700.1167
601996,丰林集团,13.4077,26.8502,1.6391,219.6327,0.4831,745.1873
601997,贵阳银行,,,,,,
601998,中信银行,,,,,,
601999,出版传媒,2.6787,134.3935,1.2634,284.9454,0.5399,666.7901
603000,人民网,3.4957,102.9837,157.6912,2.2829,0.3078,1169.5906
603001,奥康国际,2.4794,145.1964,3.192,112.782,0.8595,418.8482
603002,宏昌电子,3.1547,114.1154,8.6737,41.5048,0.826,435.8354
603003,龙宇燃油,18.5331,19.4247,17.9257,20.0829,4.5374,79.3406
603005,晶方科技,,,,,,
603008,喜临门,3.2898,109.4291,3.1176,115.4734,0.8973,401.2036
603077,和邦生物,10.6514,33.7984,2.9578,121.7121,0.788,456.8528
603123,翠微股份,122.5753,2.937,22.7084,15.8532,3.5143,102.4386
603128,华贸物流,6.7176,53.5906,81.2258,4.4321,2.8644,125.6808
603167,渤海轮渡,50.8104,7.0852,41.351,8.706,4.7696,75.478
603288,海天味业,,,,,,
603299,井神股份,9.1173,39.4854,4.2075,85.5615,1.493,241.1253
603308,应流股份,,,,,,
603333,明星电缆,1.2198,295.1303,6.3173,56.9864,0.7174,501.8121
603366,日出东方,67.4859,5.3344,8.6432,41.6512,1.0033,358.8159
603399,新华龙,12.4551,28.9038,5.8689,61.3403,1.6668,215.9827
603555,贵人鸟,,,,,,
603688,石英股份,,,,,,
603699,纽威股份,,,,,,
603766,隆鑫通用,6.8039,52.9108,16.5705,21.7254,1.6182,222.4694
603799,华友钴业,13.7304,26.2192,2.5432,141.5539,1.2328,292.0182
603993,洛阳钼业,9.9854,36.0526,1.9785,181.956,0.6033,596.7181
