code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,4.11,27.23,36.0263,5629.0,0.4926,20671.0,1.8092
000002,万科A,0.73,7.31,34.0017,650.2324,0.0588,8894.3382,0.8052
000004,国农科技,-2.36,-8.85,45.0455,-1.8537,-0.022,20.9373,0.2493
000005,世纪星源,-1.21,-59.81,29.7389,-8.0665,-0.0088,13.4853,0.0147
000006,深振业A,4.64,14.51,33.2582,201.6229,0.1493,1389.2327,1.029
000007,全新好,-1.39,-17.53,81.3477,-4.8663,-0.021,27.7574,0.1201
000008,神州高铁,2.03,24.45,45.5088,56.4431,0.0702,230.8196,0.2873
000009,中国宝安,1.49,6.15,34.1778,55.5797,0.0349,903.316,0.5673
000010,美丽生态,-0.39,-1.41,15.6561,-2.1691,-0.0036,152.9449,0.26
000011,深物业A,0.01,0.26,28.4542,0.3564,0.0005,135.2712,0.2269
000012,南玻A,0.96,5.34,20.7983,82.2013,0.0396,1539.2068,0.7416
000014,沙河股份,0.05,0.92,39.7256,0.3364,0.0016,36.3193,0.18
000016,深康佳A,0.18,0.16,15.4787,7.7524,0.0064,4569.1522,3.795
000017,深中华A,2.23,1.21,7.3057,0.2723,0.0004,22.3264,0.0404
000018,神州长城,-0.29,-12.95,76.1065,-0.3908,-0.0023,3.0174,0.0178
000019,深深宝A,-0.99,-15.98,15.2448,-9.5281,-0.0316,59.6191,0.198
000020,深华发A,0.18,0.43,14.5047,0.5119,0.0018,117.5131,0.415
000021,深科技,0.99,1.27,4.1009,51.8362,0.0352,4074.1985,2.7691
000022,深赤湾A,2.43,25.14,45.8531,102.5807,0.159,407.9748,0.6327
000023,深天地A,-0.5,-1.1,12.0374,-1.8124,-0.013,164.685,1.1868
000025,特力A,0.09,0.96,22.4374,0.788,0.0026,81.2853,0.2734
000026,飞亚达A,2.67,5.02,37.009,44.9672,0.1144,894.0563,2.2762
000027,深圳能源,2.0,14.81,27.4554,364.1505,0.1377,2458.6855,0.9302
000028,国药一致,3.97,3.14,8.533,197.0262,0.5433,6261.7147,17.2674
000029,深深房A,1.13,7.75,27.3121,24.919,0.0246,321.1226,0.3174
000030,富奥股份,3.62,13.86,18.8493,162.1599,0.1248,1169.7957,0.9007
000031,中粮地产,1.2,11.07,33.8749,71.9267,0.0396,649.3545,0.358
000032,深桑达A,0.05,0.16,11.5139,0.4855,0.002,289.6508,1.2438
000033,*ST新都,,-36.98,38.3091,-5.8217,-0.0176,15.7413,0.0477
000034,神州数码,12.18,23.6,9.8357,22.988,0.0642,97.3814,0.272
000035,中国天楹,2.15,29.8,61.2572,35.6608,0.0575,119.629,0.1931
000036,华联控股,-0.46,-19.55,45.8828,-8.6773,-0.0077,44.3753,0.0394
