code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000008,神州高铁,1.73,9.58,48.5656,123.5609,0.0438,1289.5166,0.4575
000025,特力A,,,,,,,
000026,飞亚达A,6.37,6.34,42.207,162.6611,0.3707,2564.6881,5.8455
000035,中国天楹,5.22,12.18,36.1248,166.6466,0.1233,1367.3635,1.0117
000055,方大集团,9.79,14.38,32.7323,321.47,0.2782,2235.3012,1.9345
000059,华锦股份,8.03,4.17,19.3985,1059.1169,0.6621,25369.9307,15.8617
000069,华侨城A,,,,,,,
000401,冀东水泥,12.43,6.39,30.8686,1414.5951,1.0497,22118.6251,16.4142
000404,长虹华意,1.99,0.92,11.5472,62.6818,0.09,6757.5664,9.7092
000413,东旭光电,,,,,,,
000505,京粮控股,4.63,1.84,9.0407,102.2644,0.1491,5539.432,8.0774
000521,长虹美菱,1.3,0.49,17.2505,65.6385,0.0628,13248.6197,12.6829
000546,金圆股份,9.88,6.49,13.9886,369.5537,0.5171,5689.9388,7.9619
000553,沙隆达A,,,,,,,
000559,万向钱潮,11.44,6.76,18.6529,579.9507,0.2106,8578.7784,3.1159
000560,我爱我家,5.37,5.97,29.7218,502.1701,0.2131,8409.7428,3.5702
000572,海马汽车,,,,,,,
000589,黔轮胎A,1.87,1.22,13.1792,63.5888,0.08199999999999999,5170.997,6.6682
000603,盛达矿业,9.39,17.04,30.5216,252.9336,0.3665,1483.9356,2.1507
000611,天首发展,-10.26,-268.27,-17.3961,-48.2363,-0.1498,17.9804,0.0558
000613,大东海A,,,,,,,
000619,海螺型材,0.18,0.19,11.7174,4.5614,0.0126,2321.6755,6.449
000631,顺发恒业,13.86,45.65,49.8222,861.4273,0.3541,1886.8044,0.7756
000656,金科股份,10.22,8.14,25.9498,2191.3891,0.4103,26892.58,5.0363
000661,长春高新,16.35,20.25,85.3063,838.6296,4.9298,4139.6309,24.3346
000676,智度股份,10.13,10.27,17.1672,580.5062,0.6011,5647.8134,5.8483
000697,炼石有色,-16.7,-19.6,20.186,-213.0729,-0.3807,1086.619,1.9415
000703,恒逸石化,15.35,3.62,5.0607,2204.9188,0.9554,60829.1928,26.3581
000710,贝瑞基因,,,,,,,
000715,中兴商业,4.7,3.24,19.1193,61.7922,0.2214,1905.2404,6.8286
000723,美锦能源,18.09,11.25,28.6032,1180.802,0.2851,10489.3733,2.5334
000728,国元证券,,,,,,,
000753,漳州发展,2.48,3.04,17.9569,55.1938,0.0556,1812.754,1.8283
000756,新华制药,7.37,4.88,27.929,193.3312,0.3108,3959.6897,6.3674
000761,本钢板材,,,,,,,
000768,中航飞机,,,,,,,
000786,北新建材,,,,,,,
000788,北大医药,3.14,2.34,37.7085,37.952,0.0636,1617.1374,2.7133
000797,中国武夷,,,,,,,
000798,中水渔业,8.06,14.04,6.6908,60.3578,0.1889,429.6891,1.345
000818,航锦科技,12.53,11.78,25.8622,330.5680000000001,0.479,2804.7513,4.0648
000838,财信发展,1.32,2.73,23.2414,23.329,0.0211,853.015,0.7751
000848,承德露露,18.83,20.92,52.0584,350.2123,0.3578,1673.7939,1.7104
000876,新希望,,,,,,,
000895,双汇发展,,,,,,,
000902,新洋丰,11.95,8.76,19.2449,735.8019,0.564,8397.4371,6.4371
000931,中关村,,,,,,,
000937,冀中能源,4.21,5.2,24.5272,848.7274,0.2401,16298.9327,4.6126
000948,南天信息,1.36,1.16,19.7263,19.9589,0.0809,1707.4419,6.9237
