code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,14.6,22.98,54.7826,1123.983,0.5386,4890.715,2.3436
000002,万科A,10.54,15.03,45.5116,1667.9999,0.2544,11096.5209,1.6928
000004,国农科技,-5.08,-24.33,48.2912,-3.7978,-0.0452,15.6077,0.1858
000005,世纪星源,9.38,46.14,53.9835,73.019,0.0798,158.242,0.173
000006,深振业A,6.03,38.73,40.074,78.8627,0.3109,203.599,0.8028
000007,全新好,,-29.72,79.0788,-20.124,-0.1087,67.7015,0.366
000008,神州高铁,1.43,24.41,7.9011,1.0949,0.0148,4.4843,0.0608
000009,中国宝安,6.62,13.45,27.6881,108.6913,0.1133,808.0261,0.8427
000010,美丽生态,-6.42,-12.28,46.606,-5.0611,-0.0344,41.2113,0.2803
000011,深物业A,-2.67,-10.32,18.7108,-15.4711,-0.0285,149.8514,0.2765
000012,南玻A,6.34,8.17,29.7232,149.3114,0.147,1827.3244,1.7994
000014,沙河股份,-0.95,-6.55,56.6431,-3.2542,-0.0241,49.6078,0.3689
000016,深康佳A,1.26,0.75,17.9376,42.4739,0.0705,5614.1065,9.3259
000017,深中华A,,19.36,-1.2304,18.6893,0.0389,96.5314,0.2013
000018,神州长城,-13.18,-114.89,-6.9703,-33.7573,-0.1995,29.3812,0.1737
000019,深深宝A,4.86,14.42,20.5582,14.1405,0.0777,98.0336,0.5388
000020,深华发A,-1.02,-3.35,13.0091,-2.2753,-0.008,67.8949,0.2397
000021,深科技,14.02,7.72,2.0557,464.7489,0.5284,6012.8634,6.8365
000022,深赤湾A,13.84,33.23,60.0024,305.3702,0.4736,918.9396,1.4252
000023,深天地A,5.14,4.38,12.2784,15.2297,0.1097,347.2397,2.5025
000025,特力A,-0.6,-0.18,8.6644,-0.8907,-0.004,489.8279,2.2236
000026,飞亚达A,4.56,7.7,34.2417,27.0,0.1082,350.3806,1.4053
000027,深圳能源,8.41,11.43,28.2652,417.6677,0.3473,3651.2739,3.0364
000028,国药一致,13.05,1.84,9.8743,59.8984,0.2078,3242.232,11.2519
000029,深深房A,0.86,4.88,21.111,9.7829,0.0096,200.3638,0.198
000030,富奥股份,,-1860.51,,-16.2931,-0.0564,0.8757,0.003
000031,中粮地产,15.25,170.35,51.7756,269.4048,0.3851,158.1449,0.226
000032,深桑达A,3.8,3.39,12.6505,23.5857,0.1215,694.3088,3.5779
000033,*ST新都,-1.39,-12.88,95.9951,-4.3229,-0.0131,33.5586,0.1018
000034,神州数码,,-5.58,12.0325,-9.7806,-0.0314,175.0575,0.5626
000035,中国天楹,,-246.2,40.626,-23.8154,-0.1587,9.673,0.0644
000036,华联控股,1.65,1.09,8.9973,31.6149,0.0281,2896.1955,2.5769
000037,*ST南电A,1.58,1.75,-3.5291,25.6323,0.0467,1464.6132,2.6728
000038,深大通,,869.64,37.8498,15.4247,0.1704,1.7737,0.0196
000039,中集集团,9.77,5.65,11.2811,1323.0665,0.4969,23388.1341,8.7846
000040,东旭蓝天,9.98,62.32,41.2308,98.5542,0.2098,158.1218,0.3367
000042,中洲控股,7.6,39.11,34.2144,139.3055,0.5817,356.1074,1.4871
000043,中航地产,3.41,2.37,27.1028,15.0154,0.1077,631.9587,4.5358
000045,深纺织A,1.36,2.39,20.0682,5.37,0.0219,223.8137,0.913
000046,泛海控股,7.89,15.4,33.7738,286.7964,0.3816,1861.5656,2.4771
000048,康达尔,,0.37,16.0531,1.3218,0.0033,353.2694,0.904
000049,德赛电池,1.11,0.58,13.7183,1.6112,0.0117,273.9135,2.0018
000050,深天马A,5.22,5.79,16.5896,44.4334,0.1338,766.7934,2.3101
000055,方大集团,1.93,3.63,15.7237,9.7743,0.0251,268.5423,0.6921
000056,皇庭国际,-3.89,-24.53,27.5891,-6.1039,-0.0276,24.8812,0.1126
000058,深赛格,-9.32,-20.21,-1.6649,-103.9641,-0.1324,514.328,0.6553
000059,华锦股份,8.84,11.81,27.9162,166.2342,0.2506,1407.3155,2.1219
000060,中金岭南,19.11,15.59,26.8953,637.7506,0.8721,4090.4926,5.5936
000061,农产品,2.72,6.19,41.0949,40.1309,0.1035,647.7132,1.6708
