code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,12.85,30.85,39.0013,2311.388,0.7443,7490.85,2.4121
000002,万科A,7.31,11.57,31.1865,2524.3924,0.2295,21808.6524,1.9834
000004,国农科技,-1.63,-3.49,47.6777,-0.9853,-0.0117,28.1794,0.3355
000005,世纪星源,-0.28,-11.39,49.9663,-2.1646,-0.0023,19.0034,0.0207
000006,深振业A,5.89,22.65,53.6696,108.5106,0.2139,479.0004,0.9444
000007,全新好,,49.95,80.2148,31.7618,0.1717,63.578,0.3437
000008,神州高铁,-0.44,-6.44,22.3593,-0.3268,-0.0044,5.0698,0.0688
000009,中国宝安,8.28,8.86,32.0796,155.9434,0.1501,1759.5574,1.6938
000010,美丽生态,14.35,9.56,38.6941,6.5046,0.0442,67.9969,0.4625
000011,深物业A,15.7,19.8,53.1535,106.2972,0.1961,536.7386,0.9906
000012,南玻A,5.52,12.64,31.2972,261.16,0.2134,2065.5474,1.6878
000014,沙河股份,7.59,9.76,47.9734,31.5978,0.1566,323.614,1.6043
000016,深康佳A,2.11,1.55,18.9536,80.302,0.0666,5172.0,4.2957
000017,深中华A,,-50.07,5.246,-56.3329,-0.1174,112.4946,0.2346
000018,神州长城,-0.98,-10.13,6.9925,-1.2659,-0.0074,12.4875,0.0738
000019,深深宝A,-0.69,-2.5,25.1529,-2.2949,-0.0126,91.5794,0.5033
000020,深华发A,1.72,2.05,14.9462,4.3592,0.0153,212.1227,0.7491
000021,深科技,2.94,2.15,3.8681,102.4018,0.1164,4747.5664,5.3979
000022,深赤湾A,7.59,28.01,52.1663,200.1444,0.3104,714.3581,1.1079
000023,深天地A,-0.55,-0.82,16.6393,-1.553,-0.0111,189.1531,1.3632
000025,特力A,1.65,1.35,15.8544,2.7731,0.0125,205.0618,0.9309
000026,飞亚达A,4.01,4.74,33.4334,27.1671,0.1089,572.6937,2.297
000027,深圳能源,8.62,24.52,22.6622,1041.5724,0.4729,4246.7044,1.9281
000028,国药一致,13.42,1.96,8.633,98.7839,0.3428,5038.4807,17.4856
000029,深深房A,0.63,2.65,24.8652,7.7253,0.0076,290.8116,0.2874
000030,富奥股份,,-1453.03,100.0,-13.4695,-0.0467,0.927,0.0032
000031,中粮地产,-0.1,-1.35,46.5006,-3.3533,-0.0018,247.6003,0.1365
000032,深桑达A,2.29,2.83,14.9197,16.8647,0.0724,595.0557,2.5553
000033,*ST新都,-2.62,-27.31,41.8798,-7.8834,-0.0239,28.8636,0.0876
000034,神州数码,,-3.9,17.9921,-6.2879,-0.0175,161.0636,0.4499
000035,中国天楹,,-489.19,52.4867,-13.5992,-0.0906,2.7799,0.0185
000036,华联控股,13.42,19.61,56.2357,185.6299,0.1651,946.1619,0.8418
000037,*ST南电A,3.32,6.93,1.9878,60.9617,0.1011,878.654,1.4577
000038,深大通,-3.81,,,-2.5588,-0.0265,0.0,0.0
000039,中集集团,6.31,8.74,14.1476,825.85,0.3101,9442.276,3.5465
000040,东旭蓝天,-3.34,-16.53,32.7651,-26.2023,-0.0557,158.4814,0.3374
000042,中洲控股,7.23,12.15,40.6711,142.6929,0.5958,1173.5245,4.9006
000043,中航地产,0.68,2.2,46.3781,11.5139,0.0517,521.1968,2.3443
000045,深纺织A,4.87,12.22,19.1439,22.6114,0.0922,184.9991,0.7547
000046,泛海控股,1.51,17.4,49.1666,124.5455,0.055,715.4076,0.316
000048,康达尔,,-1.6,12.1344,-6.6105,-0.0169,411.3728,1.0527
000049,德赛电池,-11.6,-4.76,11.6188,-15.7998,-0.1154,331.3214,2.4214
000050,深天马A,-7.87,-11.23,-4.1349,-98.6339,-0.1717,877.5662,1.5282
000055,方大集团,5.13,8.13,19.0305,30.0766,0.0704,369.9453,0.8668
000056,皇庭国际,4.79,119.34,13.5141,11.0222,0.0498,9.2358,0.0418
000058,深赛格,-12.85,-105.94,42.9723,-146.0835,-0.1861,137.8825,0.1756
000059,华锦股份,3.45,14.07,37.0876,215.3722,0.1794,1530.2789,1.2746
000060,中金岭南,2.82,3.86,20.9922,107.434,0.1049,2780.6599,2.716
