code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,1.0768,0.0093,3.8102,0.0097,
000002,万科A,-0.2219,-0.0134,-1.9144,-0.0201,-2.6762
000004,国农科技,0.1738,0.009,,0.0211,2.4722
000005,世纪星源,-0.7894,-0.0099,-6.4498,-0.0202,-2.0235
000006,深振业A,-0.4111,-0.0506,-1.2603,-0.0784,-21.0393
000007,全新好,0.2005,0.0121,,0.0117,1.2499
000008,神州高铁,-1.7617,-0.0591,-17.9595,-0.9488,-94.885
000009,中国宝安,0.3232,0.027,1.8735,0.0446,7.2188
000010,美丽生态,-0.3194,-0.0254,-5.0891,-0.0418,-5.4679
000011,深物业A,-0.9211,-0.0344,,-0.049,-6.8416
000012,南玻A,0.1084,0.0121,0.4685,0.0248,2.852
000014,沙河股份,-10.4875,-0.072,,-0.1033,-27.4139
000016,深康佳A,-0.1259,-0.0449,-8.0278,-0.0802,-8.0728
000017,深中华A,0.1027,0.0221,1.3072,0.0025,0.2669
000018,神州长城,0.4791,0.0314,,0.1171,15.1908
000019,深深宝A,0.1896,0.0125,18.9793,0.0553,6.0132
000020,深华发A,0.2668,0.0307,7.7681,0.0937,9.3748
000021,深科技,0.0046,0.0036,0.2589,0.0116,1.1974
000022,深赤湾A,0.5641,0.0508,1.0925,0.1443,15.1052
000023,深天地A,-0.0025,-0.0003,,-0.0005,-0.0501
000025,特力A,0.0689,0.0164,,0.0217,2.6405
000026,飞亚达A,-0.1056,-0.0259,-1.8553,-0.0641,-7.2264
000027,深圳能源,0.186,0.0178,1.5269,0.0355,5.3884
000028,国药一致,-0.0298,-0.0176,-1.3726,-0.0213,-2.2356
000029,深深房A,-0.2179,-0.0143,-15.7946,-0.0294,-4.2972
000030,富奥股份,0.2246,0.0026,,0.0,0.007
000031,中粮地产,-0.0818,-0.0029,-0.5684,-0.0069,-0.9049
000032,深桑达A,0.0105,0.0036,0.0935,0.0082,0.8334
000033,*ST新都,0.3498,0.0122,,0.0327,6.6455
000034,神州数码,-0.1606,-0.0385,,-0.0106,-1.465
000035,中国天楹,-0.0047,0.0,-0.0004,0.0,-0.0013
000036,华联控股,0.1773,0.0412,,0.0503,6.4389
000037,*ST南电A,-0.2246,-0.036,-5.3244,-0.0523,-5.4353
000038,深大通,,-0.011,,-0.001,-0.0968
000039,中集集团,-0.3429,-0.0893,-9.2659,-0.1466,-20.5358
000040,东旭蓝天,-1.0179,-0.0366,,-0.0682,-9.4239
000042,中洲控股,-5.9784,-0.0987,,-0.1458,-21.8365
000043,中航地产,-0.3023,-0.0235,-6.5993,-0.0406,-4.3505
000045,深纺织A,-0.0198,-0.0036,-0.2826,-0.0101,-1.0379
000046,泛海控股,-0.1556,-0.0045,-1.0224,-0.0083,-1.0253
000048,康达尔,0.1248,0.0254,7.3247,0.0219,2.3017
000049,德赛电池,0.0583,0.0151,,0.0232,2.3228
000050,深天马A,-0.0662,-0.0046,-2.8274,-0.0083,-3.0589
000055,方大集团,-0.1428,-0.0171,-2.5099,-0.0343,-5.0894
000056,皇庭国际,-11.0171,-0.0379,,-0.047,-7.2955
000058,深赛格,0.2596,0.0114,0.9965,0.065,6.5949
000059,华锦股份,0.2784,0.0325,2.2569,0.0914,12.7417
000060,中金岭南,0.3329,0.0716,2.0155,0.1408,16.8074
000061,农产品,0.4924,0.0334,2.5035,0.0612,7.318
000062,深圳华强,-0.4215,-0.0823,,-0.2425,-25.2903
000063,中兴通讯,-0.5595,-0.1179,-40.1071,-0.1764,-25.9108
000065,北方国际,0.5784,0.057,,0.0768,11.5278
000066,中国长城,-0.1668,-0.0538,-44.4685,-0.1094,-11.1616
000068,华控赛格,0.125,0.0233,14.2846,0.0517,10.7256
000069,华侨城A,-0.3676,-0.0089,-4.5322,-0.0158,-1.6608
000070,特发信息,0.3895,0.0386,83.4072,0.0934,14.7808
000078,海王生物,0.0777,0.0141,1.5802,0.0199,2.1045
000088,盐田港,0.7153,0.019,0.5698,0.4587,45.8704
000089,深圳机场,0.4095,0.0294,0.9556,0.3792,38.5216
000090,天健集团,-1.0293,-0.0942,-62.4153,-0.1765,-20.6114
000096,广聚能源,-0.1175,-0.0338,-4.8698,-0.2869,-28.6877
000099,中信海直,-0.2586,-0.0157,-2.3785,-0.0367,-10.1868
000100,TCL集团,-0.0067,-0.0029,-0.1072,-0.0042,-0.4694
000150,宜华健康,-0.283,-0.0059,-1.4779,-0.0119,-1.536
000151,中成股份,-0.0765,-0.0039,-0.9653,-0.0294,-3.0999
