code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
000416,民生控股,2.2317,2.1039,79.5724,2898.7961,74.4985,25.5015
000417,合肥百货,0.9895,0.8408,49.6986,521.7931,37.9376,62.0624
000418,小天鹅A,1.146,0.8445,40.2404,232.0576,36.2858,63.7142
000419,通程控股,0.7887,0.4953,39.9187,250.089,46.7542,53.2458
000420,吉林化纤,0.9125,0.4352,24.2612,-17.711,56.9043,43.0957
000421,南京公用,0.7887,0.4945,5.3313,139.1814,18.0274,81.9726
000422,湖北宜化,1.116,0.8897,37.6844,491.1806,43.3232,56.6768
000423,东阿阿胶,4.8225,4.1247,201.1285,-2393.6506,87.453,12.547
000425,徐工机械,1.1071,0.614,16.1724,130.125,29.675,70.325
000426,兴业矿业,1.2106,1.0119,33.2936,121.7296,50.6902,49.3098
000428,华天酒店,0.673,0.6319,24.7182,223.3513,44.7128,55.2872
000429,粤高速A,0.6612,0.6611,61.7325,688.2614,59.8358,40.1642
000430,张家界,0.1078,0.1009,0.741,-874.0096,29.2418,70.7582
000488,晨鸣纸业,0.929,0.6042,13.8861,297.553,39.3768,60.6232
000498,山东路桥,0.7516,0.662,22.1909,139.2333,18.5283,81.4717
000501,鄂武商A,0.6575,0.5986,43.9565,840.8721,33.5919,66.4081
000502,绿景控股,5.0563,1.8059,120.61,10034.4789,50.2254,49.7746
000503,海虹控股,3.5198,3.2653,168.2262,3931.1834,87.7627,12.2373
000504,*ST生物,1.5124,1.2874,39.3883,155.7431,67.7823,32.2177
000505,*ST珠江,0.8906,0.2239,4.9996,-165.7716,7.2095,92.7905
000506,中润资源,--,--,--,-326.6066,25.1011,--
000507,珠海港,5.7613,3.0044,117.8934,514.9652,86.9489,13.0511
000509,华塑控股,0.4027,0.3317,7.46,69.1535,16.0092,83.9908
000510,金路集团,0.8748,0.5817,34.274,184.2442,34.9891,65.0109
000511,*ST烯碳,1.8325,0.2875,8.9781,34161.0266,45.054,54.946
000513,丽珠集团,0.9561,0.706,12.1349,854.5596,55.6603,44.3397
000514,渝开发,1.8135,1.0759,16.0801,-365.571,39.5982,60.4018
000516,国际医学,0.7728,0.7379,53.9003,668.5517,46.2201,53.7799
000517,荣安地产,0.5225,0.4277,13.4654,-214.3019,-17.4995,117.4995
000518,四环生物,4.2687,3.3137,141.2421,-16.0222,88.8936,11.1064
000519,中兵红箭,1.4445,1.1155,41.6057,3879.0052,62.9149,37.0851
000520,长航凤凰,13.2337,12.9722,827.624,-539.5364,94.5544,5.4456
000521,美菱电器,0.7476,0.473,14.6356,150.0334,36.3493,63.6507
000523,广州浪奇,1.9898,1.3576,35.8659,2423.0238,68.2764,31.7236
000524,岭南控股,0.382,0.366,19.4501,-369.2088,73.3278,26.6722
000525,红太阳,1.0417,0.5652,26.7184,160.3622,26.3324,73.6676
000526,*ST紫学,2.6826,2.5199,64.2869,-5345902.8058,80.704,19.296
000528,柳工,1.8499,0.8264,38.2863,6185.5448,56.7445,43.2555
000529,广弘控股,0.1409,0.0691,0.6419,-40.7337,-61.8818,161.8818
000530,大冷股份,1.7198,1.3054,58.9162,8426.2934,70.3424,29.6576
000531,穗恒运A,0.4341,0.4112,15.6907,790.808,48.3899,51.6101
000532,力合股份,3.1351,2.4541,65.7428,884.7839,75.6522,24.3478
000533,万家乐,0.7335,0.5481,17.9333,124.5377,14.5361,85.4639
000534,万泽股份,26.7434,25.6773,1913.2569,-585.8106,98.1163,1.8837
000536,华映科技,0.5891,0.2896,6.1694,161.7563,-5.4934,105.4934
000537,广宇发展,1.1391,0.4082,6.8281,-283.1562,24.5032,75.4968
000538,云南白药,1.7966,1.0904,69.5725,-7534.7025,53.7191,46.2809
000539,粤电力A,0.9443,0.8323,31.7729,1152.4434,63.4709,36.5291
000540,中天金融,1.9313,0.2841,21.9071,153.0627,13.5043,86.4957
000541,佛山照明,6.4569,5.6577,428.097,-3109.3343,91.2596,8.7404
000543,皖能电力,1.6812,1.5447,72.1717,323.081,64.9757,35.0243
000544,中原环保,0.8437,0.5431,7.3276,359.5124,38.8575,61.1425
000545,金浦钛业,--,--,--,-237.7027,7.8468,--
000546,金圆股份,0.5274,0.1434,2.069,102.7337,32.1285,67.8715
000547,航天发展,0.9967,0.7622,26.1049,122.9015,41.5295,58.4705
000548,湖南投资,0.999,0.9136,25.7069,193.8484,57.8419,42.1581
