code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,,0.0543,8.6203,0.0573,
000002,万科A,-0.1902,-0.0262,-1.613,-0.0329,-3.653
000004,国农科技,-0.5082,-0.1251,-3.6162,-0.4369,-44.265
000005,世纪星源,-2.7242,-0.0763,,-0.1779,-17.807
000006,深振业A,-0.5527,-0.0824,-2.4741,-0.128,-20.8805
000007,全新好,-0.003,-0.0005,-0.0086,-0.0011,-0.11
000008,神州高铁,0.1874,0.069,2.5124,0.689,68.9016
000009,中国宝安,-0.1323,-0.0273,-0.8357,-0.0431,-5.1334
000010,美丽生态,0.0021,0.0004,0.1196,0.001,0.1044
000011,深物业A,0.0519,0.0203,0.2159,0.04,4.4855
000012,南玻A,0.1942,0.0686,1.5062,0.1303,19.5764
000014,沙河股份,0.2171,0.0418,,0.0622,11.6268
000016,深康佳A,0.1262,0.1139,45.5306,0.1551,15.7437
000017,深中华A,-0.0612,-0.0703,,-0.0064,-0.7027
000018,神州长城,0.3677,0.0175,,0.0644,8.5816
000019,深深宝A,-0.0659,-0.0181,-0.4152,-0.0898,-9.3777
000020,深华发A,-0.0882,-0.0566,-49.4699,-0.0941,-15.4459
000021,深科技,0.0349,0.0296,3.5645,0.044,4.7802
000022,深赤湾A,0.4767,0.0856,1.1108,0.247,32.6966
000023,深天地A,0.0207,0.0121,1.7934,0.0184,1.8569
000025,特力A,0.0773,0.0411,1.4962,0.0603,8.8379
000026,飞亚达A,0.0602,0.0394,1.3376,0.0687,9.2801
000027,深圳能源,0.1946,0.0548,1.5098,0.1232,16.2338
000028,国药一致,0.0156,0.0231,0.6011,0.0292,3.0105
000029,深深房A,-0.0259,-0.0027,-0.74,-0.004,-0.5459
000030,富奥股份,-0.061,-0.0339,-0.5207,-0.0844,-10.3679
000031,中粮地产,-0.1538,-0.0175,-2.4028,-0.0217,-2.7682
000032,深桑达A,-0.0316,-0.0233,-1.3302,-0.0704,-7.1155
000033,*ST新都,0.0596,0.0055,,0.0097,5.8581
000034,神州数码,0.0236,0.03,1.5078,0.0443,4.6194
000035,中国天楹,-2.5924,-41.4026,-0.0936,60.5454,6054.5441
000036,华联控股,-1.0246,-0.0334,-1.4896,-0.0803,-10.3492
000037,*ST南电A,0.5929,0.0985,,0.1336,13.5442
000038,深大通,0.5601,0.0676,,0.0973,9.7712
000039,中集集团,-0.0763,-0.0445,-2.5079,-0.0667,-9.2426
000040,东旭蓝天,-0.7289,-0.0959,-3.9393,-0.1456,-21.9982
000042,中洲控股,0.272,0.0291,0.9984,0.0446,5.2679
000043,中航地产,-0.5687,-0.0838,-54.8941,-0.1071,-16.1912
000045,深纺织A,-0.1461,-0.0424,-16.3143,-0.2029,-35.739
000046,泛海控股,-0.9617,-0.0621,-6.5182,-0.08,-31.3319
000048,康达尔,-0.0689,-0.0614,-1.9475,-0.1029,-11.2263
000049,德赛电池,0.0591,0.067,0.8967,0.0931,9.3432
000050,深天马A,0.1212,0.054,1.8453,0.0916,16.6188
000055,方大集团,0.0165,0.008,0.3594,0.0156,1.6132
000056,皇庭国际,-19.581,-0.0427,-0.0826,-0.0797,-15.7697
000058,深赛格,-0.1768,-0.0414,-1.169,-0.1586,-16.4887
000059,华锦股份,0.0252,0.025,,0.032,4.7454
000060,中金岭南,0.0212,0.0144,1.5555,0.0275,3.7766
000061,农产品,0.0362,0.005,0.4474,0.0101,1.2959
000062,深圳华强,0.6314,0.1205,5.4629,0.1794,24.7327
000063,中兴通讯,-0.0728,-0.0394,-6.8613,-0.0509,-6.4719
000065,北方国际,0.4541,0.1215,10.7082,0.1559,15.9761
000066,中国长城,-0.0423,-0.0609,,-0.0789,-8.8994
000068,华控赛格,-0.3244,-0.288,,-0.4119,-41.2342
000069,华侨城A,0.3266,0.0647,1.7411,0.0921,12.7699
000070,特发信息,0.0044,0.0022,0.0861,0.0046,0.5555
000078,海王生物,-0.0216,-0.0183,-1.2131,-0.0245,-2.4469
000088,盐田港,0.4876,0.0202,0.3466,0.266,73.9837
000089,深圳机场,0.3444,0.0593,1.3335,0.2127,94.536
000090,天健集团,0.0101,0.0031,0.2059,0.0047,0.5674
000096,广聚能源,0.0237,0.008,0.8225,0.1181,14.8807
000099,中信海直,0.0452,0.0102,0.2803,0.0232,7.1914
000100,TCL集团,0.0725,0.0525,2.541,0.0676,10.0784
000150,宜华健康,-26.0519,-0.2098,-46.4966,-0.2818,-64.1989
000151,中成股份,0.7562,0.2734,10.6774,0.4471,44.8466
000153,丰原药业,0.0121,0.0072,0.6005,0.0168,2.0331
000155,*ST川化,-0.0676,-0.0272,,-0.0447,-5.9008
000156,华数传媒,0.4265,0.139,2.8945,0.1894,29.4152
000157,中联重科,0.0003,0.0001,0.0021,0.0002,0.0256
000158,常山股份,-0.0236,-0.0185,,-0.0325,-4.1502
000159,国际实业,-0.0807,-0.0222,-1.0599,-0.0809,-9.4748
000166,申万宏源,,-0.1464,-7.1375,-0.2007,
000301,东方市场,0.1289,0.0284,0.373,0.1283,15.3372
000333,美的集团,0.0579,0.0556,0.8034,0.0911,9.2872
000338,潍柴动力,0.0164,0.009,0.2416,0.016,2.3856
000400,许继电气,0.0942,0.0529,0.8691,0.1,12.1354
000401,冀东水泥,0.0858,0.0223,12.3637,0.0323,7.039
000402,金融街,-0.013,-0.0017,-0.0834,-0.0024,-0.4448
000403,ST生化,0.1255,0.0398,0.5837,0.0578,8.4559
000404,华意压缩,-0.0346,-0.0292,-0.904,-0.0465,-4.7099
000407,胜利股份,-0.0186,-0.0086,-0.2417,-0.0143,-1.7318
000408,*ST金源,-0.0286,-0.0114,-1.1999,-0.02,-2.0496
000409,山东地矿,-0.1641,-0.0335,-0.5418,-0.1729,-20.3989
000410,沈阳机床,-0.1832,-0.06,-41.7802,-0.0725,-7.5
000411,英特集团,-0.0602,-0.1002,-4.0533,-0.1292,-13.0492
000413,东旭光电,-3.3024,-0.2171,-7.2071,-0.7197,-108.7068
000415,渤海金控,0.6528,0.038,2.3998,0.0522,17.86
000416,民生控股,-0.0291,-0.0108,-0.2513,-0.0784,-9.0624
000417,合肥百货,0.1006,0.103,1.9514,0.1899,20.0489
000418,小天鹅A,0.1455,0.106,2.5354,0.2154,21.6289
000419,通程控股,0.0069,0.0059,0.1922,0.0116,1.175
000420,吉林化纤,0.0719,0.0191,,0.0212,2.7785
000421,南京公用,0.1055,0.0596,1.7683,0.1247,15.5141
000422,湖北宜化,0.1273,0.0555,4.748,0.0731,13.0028
000423,东阿阿胶,-0.0094,-0.0047,-0.0308,-0.0265,-2.8869
000425,徐工机械,0.002,0.0008,0.0333,0.0013,0.1822
000426,兴业矿业,0.1387,0.0262,1.4958,0.056,6.548
000428,华天酒店,0.446,0.0836,4.2521,0.1113,15.5566
000429,粤高速A,0.5706,0.0429,5.3242,0.0707,40.8918
000430,张家界,0.1756,0.0984,1.3789,0.2829,51.1324
000488,晨鸣纸业,0.0694,0.0217,2.0721,0.0311,5.2755
000498,山东路桥,-0.0035,-0.0016,-0.0718,-0.0021,-0.2694
000501,鄂武商A,0.0921,0.0944,2.5437,0.1255,12.7542
000502,绿景控股,0.5396,0.0347,1.3052,0.1699,16.9947
000503,海虹控股,-0.2036,-0.0219,-36.3148,-0.2242,-22.9839
000504,*ST生物,-0.19,-0.0539,,-0.0336,-3.4124
000505,*ST珠江,-0.4195,-0.0451,,-0.0505,-5.882
000506,中润资源,0.0219,0.0068,0.0876,0.0176,1.783
000507,珠海港,0.1615,0.0367,12.4888,0.0966,34.9004
000509,华塑控股,-0.1038,-0.0369,,-0.0245,-2.5581
000510,金路集团,-0.0238,-0.0169,,-0.0355,-4.2905
000511,*ST烯碳,0.2422,0.0211,3.2231,0.0425,6.5734
000513,丽珠集团,0.1091,0.0542,0.8846,0.1164,14.6493
000514,渝开发,0.6605,0.0411,6.0294,0.0699,10.4058
000516,国际医学,0.0185,0.013,0.4496,0.02,2.0679
000517,荣安地产,0.2747,0.1049,3.0784,0.1624,16.2358
000518,四环生物,0.1393,0.0246,,0.2603,27.0587
000519,中兵红箭,-0.059,-0.025,-0.3431,-0.0703,-8.3248
000520,长航凤凰,0.1985,0.0435,,0.0354,5.914
000521,美菱电器,-0.0133,-0.0126,-0.6,-0.0193,-2.0983
000523,广州浪奇,-0.0136,-0.0166,-2.043,-0.0326,-3.3545
000524,岭南控股,0.1487,0.0456,1.3666,0.2774,38.1483
000525,红太阳,0.2281,0.1149,4.2075,0.1777,19.4148
000526,*ST紫学,-0.1369,-0.0045,,-0.0219,-2.2096
000528,柳工,-0.0181,-0.0078,-0.5937,-0.0139,-2.4404
000529,广弘控股,-0.0652,-0.0664,-1.3984,-0.2381,-23.9351
000530,大冷股份,0.0072,0.0029,0.0863,0.0085,0.9094
000531,穗恒运A,0.5525,0.1309,4.6011,0.1864,26.0793
000532,力合股份,0.0929,0.0134,0.2578,0.0781,12.6907
000533,万家乐,0.0059,0.0042,0.1289,0.0084,1.2793
000534,万泽股份,0.2101,0.0249,2.4543,0.0386,5.8889
000536,华映科技,0.0097,0.0042,0.086,0.0068,0.7435
000537,广宇发展,0.5008,0.1541,1.6889,0.3069,30.7479
000538,云南白药,0.0419,0.0372,0.2671,0.1129,11.8504
000539,粤电力A,0.326,0.1107,2.1364,0.1745,34.2915
000540,中天金融,0.0054,0.0009,0.0404,0.001,0.1513
000541,佛山照明,0.0075,0.004,0.0585,0.0248,2.5526
000543,皖能电力,0.3647,0.1521,2.3091,0.2724,67.847
000544,中原环保,0.0443,0.0082,0.2718,0.0167,3.9818
000545,金浦钛业,0.0873,0.0533,0.8477,0.175,22.021
000546,金圆股份,-0.1803,-0.0468,-0.6603,-0.1319,-18.3652
000547,航天发展,-0.3632,-0.0362,-0.8924,-0.0926,-18.8747
000548,湖南投资,0.3262,0.0288,2.7928,0.1201,13.427
000550,江铃汽车,0.1452,0.1446,1.681,0.3507,36.7069
000551,创元科技,0.0406,0.02,1.0046,0.0401,4.5634
000552,靖远煤电,0.0827,0.035,0.607,0.065,6.7609
000553,沙隆达A,0.2588,0.2096,3.0564,0.4267,52.7948
000554,泰山石油,0.0517,0.1219,13.1714,0.553,56.6741
000555,神州信息,-1.4432,-3.3971,,-0.0987,-14.1475
000557,西部创业,-3.2897,-0.0634,-67.4075,-0.1216,-13.792
000558,莱茵体育,0.2627,0.0574,12.9779,0.0681,7.8105
000559,万向钱潮,0.1104,0.0682,2.1114,0.109,14.6677
000560,昆百大A,-0.0543,-0.0143,-9.0288,-0.0189,-2.6289
000561,烽火电子,-0.228,-0.0619,,-0.1551,-16.706
000563,陕国投A,,-0.04,-0.6533,-0.448,-47.6046
000564,供销大集,0.1407,0.0581,6.6186,0.0776,9.3954
000565,渝三峡A,0.0236,0.0097,0.2928,0.0255,3.588
000566,海南海药,-0.0245,-0.0058,-0.2181,-0.0106,-1.442
000567,海德股份,-14.3286,-0.0353,-4.0649,-0.2849,-144.8499
000568,泸州老窖,0.1363,0.0828,0.3964,0.3265,32.8831
000570,苏常柴A,0.0045,0.0033,0.1812,0.0078,0.8563
000571,新大洲A,-0.0522,-0.0123,-0.3153,-0.0497,-5.0076
000572,海马汽车,0.0773,0.0407,1.4304,0.1303,13.4531
000573,粤宏远A,0.0605,0.0169,0.4871,0.0394,4.672
000576,广东甘化,-0.3327,-0.0863,-5.3698,-0.3938,-144.3045
000581,威孚高科,0.1287,0.0426,0.6496,0.1764,18.9632
000582,北部湾港,0.1097,0.0862,3.5958,0.1299,25.1822
000584,友利控股,0.0574,0.0402,0.3754,0.1147,11.5928
000585,东北电气,0.2332,0.0509,,0.1168,19.6432
000586,汇源通信,-0.1828,-0.1014,-3.8906,-0.1977,-22.9283
000587,金洲慈航,0.1059,0.2753,5.1955,0.5392,53.9948
000589,黔轮胎A,0.1013,0.0672,3.8608,0.0976,12.4428
000590,启迪古汉,-0.0193,-0.0067,-4.2386,-0.0203,-2.1263
000591,太阳能,0.0268,0.0316,6.9298,0.0386,3.9432
000592,平潭发展,-0.1103,-0.0368,-2.539,-0.1333,-16.5256
000593,大通燃气,-0.013,-0.0067,-0.1795,-0.0163,-2.1384
000595,*ST宝实,-0.1564,-0.0405,,-0.0593,-6.6709
000596,古井贡酒,0.1627,0.0987,1.139,0.2836,28.6214
000597,东北制药,-0.0806,-0.0306,,-0.0391,-4.8275
000598,兴蓉环境,0.4752,0.0845,1.3593,0.2499,53.8696
000599,青岛双星,0.09,0.0775,30.4936,0.1157,14.716
000600,建投能源,0.3495,0.1243,2.8031,0.1721,43.7818
000601,韶能股份,0.3754,0.0786,2.6114,0.1498,57.6361
000603,盛达矿业,0.699,0.5388,1.2416,1.3464,140.2305
000605,渤海股份,-0.0464,-0.0131,,-0.0196,-2.0284
000606,神州易桥,-0.128,-0.0229,-12.7274,-0.0737,-9.4431
000607,华媒控股,-0.0742,-0.0597,-4.0258,-0.0844,-8.4417
000608,阳光股份,-0.7946,-0.0508,-2.2246,-0.0963,-19.069
000609,绵石投资,9.7723,0.0417,,0.0688,6.9075
000610,西安旅游,-0.0276,-0.0204,,-0.0661,-6.6107
000611,*ST天首,-0.034,-0.0423,-5.8304,-0.1177,-11.774
000612,焦作万方,-0.0203,-0.0125,-0.4964,-0.0352,-6.0329
000613,*ST东海A,0.1208,0.0186,,0.0644,6.4427
000615,京汉股份,0.0131,0.0041,,0.0069,0.7032
000616,海航投资,-0.3841,-0.0619,-3.5891,-0.0989,-18.2332
000617,中油资本,-0.0387,-0.0196,-2.9828,-0.0276,-3.0259
000619,海螺型材,0.0834,0.0579,1.8945,0.1351,24.3597
000620,新华联,-1.401,-0.1348,-5.3619,-0.1693,-40.0152
000622,*ST恒立,-0.2779,-0.0462,,-0.1121,-11.3695
000623,吉林敖东,0.0808,0.0092,0.1533,0.0766,15.338
000625,长安汽车,0.1026,0.0573,1.2769,0.0878,11.2715
000626,远大控股,-0.0163,-0.0727,-5.9125,-0.0832,-8.7831
000627,天茂集团,0.0515,0.0158,,0.0523,5.3276
000628,高新发展,-0.0357,-0.0149,,-0.0159,-1.6698
000629,*ST钒钛,-0.1123,-0.0364,-2.1435,-0.064,-8.5943
000630,铜陵有色,-0.0435,-0.0509,-6.4185,-0.0701,-8.6716
000631,顺发恒业,-1.2847,-0.0505,-11.2636,-0.0621,-7.0309
000632,三木集团,-0.0809,-0.052,-39.9075,-0.0698,-8.2223
000633,*ST合金,-0.3456,-0.1282,-33.8685,-0.5097,-274.8365
000635,英力特,0.0859,0.0479,2.4879,0.1884,19.7965
000636,风华高科,0.0108,0.005,0.3645,0.0161,1.9578
000637,茂化实华,0.0286,0.0695,1.0715,0.4259,43.3109
000638,万方发展,-1.252,-0.1019,,-0.1359,-13.6043
000639,西王食品,0.069,0.0791,0.9695,0.2696,26.9622
000650,仁和药业,0.045,0.0254,0.2955,0.1558,16.4157
000651,格力电器,0.2234,0.1515,2.5691,0.2016,20.466
000652,泰达股份,-0.0486,-0.0112,,-0.0128,-1.6161
000655,金岭矿业,0.0207,0.0064,0.1239,0.0405,4.5922
000656,金科股份,-0.4028,-0.056,-3.9406,-0.066,-10.0823
000657,中钨高新,0.0018,0.005,,0.0183,2.0159
000659,珠海中富,0.0654,0.0248,,0.0381,6.6481
000661,长春高新,0.2724,0.1481,1.2237,0.3612,39.102
000662,天夏智慧,-0.4852,-0.2032,,-0.7939,-79.3868
000663,永安林业,0.0615,0.0145,,0.0198,3.7405
000665,湖北广电,0.4028,0.1029,2.7381,0.3392,39.0816
000666,经纬纺机,0.3691,0.0816,1.0919,0.1735,20.7866
000667,美好置业,-0.4004,-0.0314,-10.6623,-0.0479,-8.3995
000668,荣丰控股,-0.7659,-0.0743,-23.5856,-0.1341,-23.0269
000669,金鸿能源,0.17,0.0342,0.7928,0.0563,9.0738
000670,盈方微,-0.8228,-0.1698,-11.6925,-0.4816,-48.1567
000671,阳光城,-0.3169,-0.0645,-5.0942,-0.0743,-9.8883
000672,上峰水泥,0.2386,0.1102,4.9187,0.1723,21.563
000673,当代东方,0.1437,0.0153,,0.0171,1.7099
000676,智度股份,0.0333,0.0139,1.6926,0.019,2.0247
000677,恒天海龙,-0.0366,-0.0144,,-0.0163,-1.805
000678,襄阳轴承,-0.113,-0.0373,-269.629,-0.0904,-11.3896
000679,大连友谊,-0.1438,-0.0475,-2.107,-0.0616,-8.2959
000680,山推股份,0.0409,0.0238,,0.0378,4.8878
000681,视觉中国,-0.0827,-0.0356,-0.4884,-0.1814,-29.4924
000682,东方电子,-0.051,-0.0227,-1.0834,-0.0617,-6.8353
000683,远兴能源,0.0512,0.011,,0.0173,3.2678
000685,中山公用,0.3028,0.024,0.4859,0.1205,54.6752
000686,东北证券,,-0.1023,-4.4254,-0.1673,
000687,华讯方舟,-0.2192,-0.047,,-0.1072,-29.2285
000688,建新矿业,0.3334,0.1475,0.7928,1.0155,129.4835
000690,宝新能源,0.5061,0.2413,2.5004,0.4419,199.4375
000691,ST亚太,0.1015,0.0085,1.6027,0.0236,3.0142
000692,惠天热电,-0.5046,-0.144,,-0.2312,-25.0394
000693,ST华泽,-0.0342,-0.0303,-1.9403,-0.0474,-4.8602
000695,滨海能源,0.2059,0.0955,,0.1307,13.2981
000697,炼石有色,0.6589,0.1462,2.2823,0.6462,64.6231
000698,沈阳化工,0.0193,0.0182,,0.0314,5.1583
000700,模塑科技,0.16,0.0854,1.8347,0.1381,15.2496
000701,厦门信达,-0.1234,-0.221,-7.3628,-0.2603,-27.1792
000702,正虹科技,0.0539,0.1049,9.1056,0.2578,27.7017
000703,恒逸石化,0.0461,0.0436,3.1822,0.0625,6.8112
000705,浙江震元,-0.0459,-0.0403,-1.3368,-0.1291,-13.127
000707,双环科技,0.0074,0.0029,,0.0037,0.4403
000708,大冶特钢,-0.0004,-0.0005,-0.0129,-0.0016,-0.186
000709,河钢股份,0.0006,0.0003,0.4088,0.0005,0.0518
000710,*ST天仪,-0.0608,-0.0306,,-0.0437,-4.3751
000711,京蓝科技,0.8385,0.0374,,0.059,17.8386
000712,锦龙股份,0.3393,0.0025,0.4415,0.0039,0.4712
000713,丰乐种业,0.0589,0.0258,,0.0595,6.1286
000715,中兴商业,0.0458,0.0536,1.8379,0.119,12.0542
000716,黑芝麻,-0.1435,-0.0846,-4.0099,-0.2078,-26.2741
000717,韶钢松山,0.1135,0.0724,14.716,0.0901,9.5293
000718,苏宁环球,0.3159,0.0572,1.5071,0.0729,9.4942
000719,大地传媒,0.0202,0.015,0.1867,0.0483,4.8564
000720,新能泰山,0.2627,0.1038,6.9122,0.1268,24.1385
000721,西安饮食,0.0295,0.0134,0.8042,0.0548,5.8139
000722,湖南发展,0.6539,0.0466,0.9644,0.2604,37.6159
000723,美锦能源,0.0658,0.0863,1.778,0.2871,28.711
000725,京东方A,0.1748,0.0478,2.3889,0.0874,16.957
000726,鲁泰A,0.1936,0.1104,1.287,0.4347,45.238
000727,华东科技,-0.0435,-0.0222,,-0.031,-3.2495
000728,国元证券,,-0.2429,-13.119,-0.5306,
000729,燕京啤酒,0.1956,0.1244,2.3145,0.416,42.2945
000731,四川美丰,0.0151,0.0148,0.438,0.0401,4.9242
000732,泰禾集团,-4.1261,-0.3861,-22.6922,-0.4711,-73.5212
000733,振华科技,0.0001,0.0,0.0019,0.0001,0.0101
000735,罗牛山,0.3216,0.0527,48.29,0.087,18.987
000736,中房地产,-0.2021,-0.0453,-2.7341,-0.1261,-20.3384
000737,南风化工,-0.1451,-0.0925,,-0.1055,-12.2828
000738,中航动控,-0.0532,-0.0147,-0.7726,-0.0429,-6.8333
000739,普洛药业,0.0591,0.0409,1.468,0.0679,7.0871
000750,国海证券,,-0.0349,-1.304,-0.0483,
000751,锌业股份,0.0356,0.0356,0.7775,0.0174,1.795
000752,西藏发展,0.2041,0.0508,0.3783,0.3772,38.8566
000753,漳州发展,0.031,0.018,2.1929,0.0247,2.8154
000755,*ST三维,-0.0149,-0.0093,,-0.0123,-1.4495
000756,新华制药,0.0049,0.0031,0.3128,0.0061,1.2518
000757,浩物股份,0.2432,0.1515,1.6127,0.1944,40.3603
000758,中色股份,-0.0554,-0.0436,-7.6278,-0.0691,-8.1041
000759,中百集团,0.0624,0.0926,9.007,0.141,15.0803
000760,斯太尔,0.0038,0.0024,4.0011,0.0031,0.3109
000761,本钢板材,0.0028,0.0024,0.3322,0.004,0.4214
000762,西藏矿业,-0.3623,-0.0578,-4.2948,-0.3245,-39.343
000766,通化金马,0.477,0.0468,10.7667,0.1123,11.5639
000767,漳泽电力,0.2786,0.0631,6.0366,0.0762,14.5646
000768,中航飞机,-0.3742,-0.1309,-127.1664,-0.2053,-21.6359
000776,广发证券,,-0.0959,-4.4508,-0.1413,
