code,name,mbrg,nprg,nav,targ,epsg,seg
000001,平安银行,,8.1187,37.2081,16.3304,4.878,37.2081
000002,万科A,64.2766,37.6418,19.4016,25.2446,27.1186,13.2312
000004,国农科技,-35.6129,,3.0939,19.9455,28.9593,0.9035
000005,世纪星源,221.9908,,82.3896,55.2917,-27.2727,72.5852
000006,深振业A,-72.4677,-76.282,2.6796,5.0292,-75.7697,2.4057
000007,全新好,-70.3069,,26.4039,-16.7054,-257.346,7.8187
000008,神州高铁,-7.8646,-79.5468,95.7823,98.803,-96.2141,101.6904
000009,中国宝安,52.7519,1.8531,21.1814,24.9243,-33.3333,19.8674
000010,美丽生态,-20.72,,291.4749,412.0627,978.3784,293.7114
000011,深物业A,44.9527,61.92,1.2176,39.6684,66.6667,1.2181
000012,南玻A,26.6511,128.0731,-8.2024,-1.0144,152.5253,-4.8583
000014,沙河股份,-10.9239,-927.0853,6.0993,1.3529,-1511.7647,6.5959
000016,深康佳A,-10.8738,211.0554,-31.7833,-15.381,-45.3125,-31.3251
000017,深中华A,-1.4653,-46.224,-2.0779,1.4408,-40.0,-2.1706
000018,神州长城,30544.6629,,951.8749,2324.4682,-8670.0,939.6533
000019,深深宝A,21.7303,,-4.1514,-1.3134,-35.1266,-3.3194
000020,深华发A,17.1778,-8.1891,11.8807,-46.966,-5.5556,11.8807
000021,深科技,-12.2452,183.4263,0.9424,-16.2149,161.3232,2.747
000022,深赤湾A,8.1966,15.7011,7.4613,-0.8946,18.239,8.1042
000023,深天地A,8.5183,,5.9933,5.6134,-70.0,6.4295
000025,特力A,-1.9247,1336.3099,5.7985,-19.4721,546.875,5.8271
000026,飞亚达A,-18.0184,-39.9287,38.6327,3.8676,-45.5263,38.6933
000027,深圳能源,-17.8725,-48.5306,17.3457,48.0359,-62.627,18.0068
000028,国药一致,12.6504,1.4228,14.1779,5.7695,1.105,13.9218
000029,深深房A,3.566,24.8923,8.3931,-2.973,25.2033,7.9471
000030,富奥股份,10.3328,-8.4235,10.6214,11.4851,0.0,8.3645
000031,中粮地产,390.0635,690.8249,6.4742,23.9188,175.0,3.2319
000032,深桑达A,74.3754,,48.1357,45.6692,2400.0,56.6181
000033,*ST新都,85.5598,,,-6.656,-129.3785,-106.168
000034,神州数码,-7.2169,-125.7483,1151.6292,3633.1753,-120.3125,1151.6292
000035,中国天楹,36.1435,1.382,13.7943,10.1788,-14.2857,13.7943
000036,华联控股,7.0173,,11.9708,43.5619,-1135.0,14.1294
000037,*ST南电A,-5.5345,,-61.6421,-13.086,-46.6667,-50.1143
000038,深大通,199.9884,,1374.8381,466.2708,-3800.0,1835.6919
000039,中集集团,-28.5873,-9.5274,30.0162,21.2998,-30.6287,27.1977
000040,东旭蓝天,202.5512,360.6317,6.3198,58.1636,357.1429,6.3186
000042,中洲控股,-7.153,-90.7636,49.2087,71.1301,-92.9105,50.7017
000043,中航地产,64.2301,,7.1293,11.3004,129.6188,10.5265
000045,深纺织A,-13.3533,-336.1093,-0.9738,0.5694,-332.5581,-0.9738
000046,泛海控股,372.7056,-50.1543,63.7976,61.0545,-34.9823,70.4056
000048,康达尔,-12.9322,14.4789,30.2385,-11.2542,25.4902,36.3631
000049,德赛电池,-16.5896,-38.66,28.7958,-18.1616,-34.2361,21.1201
000050,深天马A,0.464,-27.4527,53.8853,18.7821,-43.1699,61.5074
000055,方大集团,-1.922,37.4149,2.9163,26.687,46.3415,7.2627
000056,皇庭国际,-31.8617,112.9239,71.0375,6.5234,77.5,163.1962
000058,深赛格,0.0512,0.1781,12.1224,2.4263,-17.2794,13.0538
000059,华锦股份,-0.0597,,14.1083,2.8468,-419.8889,10.396
000060,中金岭南,3.8171,-188.9837,1.35,0.5013,-171.4286,0.7478
000061,农产品,27.2719,369.6373,0.2535,14.7929,-175.0,-0.7883
000062,深圳华强,274.6935,18.3224,51.0919,47.8607,5.1282,51.8158
000063,中兴通讯,4.0941,23.2184,25.2594,20.0424,-4.1667,-9.1771
000065,北方国际,110.7548,36.2985,82.2561,46.6771,33.3333,101.2554
000066,中国长城,-0.3893,,2.4621,-1.2235,-77.5229,1.9201
000068,华控赛格,118.9736,,3.6888,10.0238,15.1786,0.4209
000069,华侨城A,32.55,16.0472,29.7375,26.9272,3.0986,33.9788
000070,特发信息,116.766,138.8579,46.4003,60.9737,124.1449,46.7441
000078,海王生物,17.0016,7.3821,20.9125,23.4697,43.0851,27.0429
000088,盐田港,-0.4832,3.7592,9.4911,10.7838,4.1667,7.3455
000089,深圳机场,0.5262,44.0099,29.6043,-1.3199,19.7053,29.5459
000090,天健集团,5.8503,-10.9957,53.409,41.267,-42.1546,52.6637
000096,广聚能源,-18.6368,-93.5572,0.3946,-4.5496,-92.3839,0.36
000099,中信海直,-10.0778,-47.1733,2.675,7.5816,-49.3243,2.5895
000100,TCL集团,0.3815,-63.8111,23.7446,15.2789,-68.9504,4.6514
000150,宜华健康,17.9688,25442.8018,54.9842,19.5127,25792.7711,54.7711
000151,中成股份,15.1425,1.4209,2.309,-9.418,1.2407,2.3467
000153,丰原药业,8.6465,7.4337,1.4445,8.6606,8.3333,1.6709
000155,*ST川化,20.2615,,,-48.8873,-36.3636,66.6167
000156,华数传媒,8.1607,11.9855,302.2837,128.4587,-9.0909,303.5272
000157,中联重科,-20.068,,-3.0675,-6.3826,80.0,-2.6398
000158,常山股份,21.7934,,122.1544,94.2037,-63.1579,122.0727
000159,国际实业,-73.8731,,-0.5436,-7.5022,154.5,0.0551
000166,申万宏源,,-59.2263,21.2777,13.8466,-63.1579,21.5064
000301,东方市场,4.2674,1.0166,3.3682,11.8923,1.0,3.3707
000333,美的集团,-9.6286,14.1333,23.4994,8.902,16.4557,25.4275
000338,潍柴动力,7.6423,-8.6201,6.5147,4.7087,-63.3333,1.2393
000400,许继电气,15.9291,60.5106,10.3277,18.5476,239.0476,11.3736
000401,冀东水泥,-4.578,,-18.8457,-6.2838,34.2472,-18.5479
000402,金融街,237.1053,-2.4,2.4572,20.6057,-3.7037,4.9857
000403,ST生化,48.0928,27.1676,12.2295,3.0004,20.0,18.3243
000404,华意压缩,-3.6292,12.2117,10.0496,3.0556,30.0435,9.3551
000407,胜利股份,-14.1814,880.6938,7.6081,2.6562,600.0,4.4879
000408,*ST金源,-100.0,-12.6882,-43.9575,-4.577,-45.4545,-43.8981
000409,山东地矿,860.1768,,25.2203,70.7232,-116.6667,12.87
000410,沈阳机床,9.7762,,-18.1703,8.4305,-9.4444,-24.6456
000411,英特集团,9.1815,16.2361,10.274,12.0433,9.2478,9.9527
000413,东旭光电,164.5174,66.0517,126.6918,103.6077,12.5,129.6057
000415,渤海金控,148.8344,25.8998,149.7961,106.2833,-74.982,171.3496
000416,民生控股,35496.102,-188.9326,1.1378,22.0813,-192.9204,-0.0863
000417,合肥百货,-1.7169,-7.8338,4.45,7.8892,-11.5495,3.4285
000418,小天鹅A,28.7132,30.2648,17.4184,28.438,31.5789,16.8658
000419,通程控股,-12.1215,-1.4451,2.8615,0.1808,-9.3704,2.4322
000420,吉林化纤,40.8014,,0.2237,-9.4893,-106.5336,2.7781
000421,南京公用,-6.3895,-17.5302,10.0516,19.9442,-25.9603,6.4448
000422,湖北宜化,1.8679,-86.0477,11.9912,8.7023,25.0,16.0067
000423,东阿阿胶,3.5649,3.6444,16.3956,12.4563,3.4809,17.2117
000425,徐工机械,-25.72,,-2.4163,-11.639,-100.5882,-1.1184
000426,兴业矿业,-68.202,-147.6541,-2.4991,7.3462,-123.6641,-2.501
000428,华天酒店,-13.0773,,88.3104,0.7607,-14.2857,109.9513
000429,粤高速A,7.6184,39.3975,3.7219,-2.0744,42.8571,2.9884
000430,张家界,35.2459,,24.807,22.3049,-142.5532,24.6948
000488,晨鸣纸业,11.1132,373.2158,38.1037,40.7567,260.0,39.5318
000498,山东路桥,-19.1744,-106.2132,13.0926,6.6522,-106.4189,13.103
000501,鄂武商A,-5.3094,-2.5197,29.7707,18.0509,-3.8462,36.9219
000502,绿景控股,-10.3382,,-11.8954,83.6369,416.129,-17.8953
000503,海虹控股,24.5915,,2.828,3.2074,42.029,4.1531
000504,*ST生物,40.3348,,-710.5638,17.0211,22.9508,-2451.4621
000505,*ST珠江,2.1683,-159.8255,,14.3914,-156.25,545.2868
000506,中润资源,151.5376,,3.3567,-0.4904,-252.1368,6.588
000507,珠海港,-20.0545,,7.6844,1.7112,-229.918,5.0837
000509,华塑控股,-43.9201,,4018.5495,-3.0076,-24.8227,60.3043
000510,金路集团,-13.5117,,7.0963,-7.0689,-102.659,9.2473
000511,*ST烯碳,-38.3086,,3.0229,-5.7087,-115.0,3.0229
000513,丽珠集团,12.4076,22.1237,11.5451,7.2142,-3.2258,11.4561
000514,渝开发,7.697,,-1.4168,-6.4155,-74.7748,-0.2981
000516,国际医学,-3.1516,-44.78,99.3143,48.2757,-50.0,99.3134
000517,荣安地产,51.1612,12.7782,-1.2664,36.888,-63.6364,-1.2664
000518,四环生物,25.4974,-134.8145,-17.2192,20.8343,-109.1837,-12.3702
000519,中兵红箭,-11.8292,-81.1132,3.936,3.5317,-86.1429,3.961
000520,长航凤凰,-26.0259,24.5294,87.6038,4.3698,47.0588,91.9553
