code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
000001,平安银行,,,,,,
000002,万科A,15.4888,23.2426,0.0841,4280.6183,0.0906,3973.5099
000004,国农科技,8.3577,43.0741,0.1115,3228.6996,0.1451,2481.0476
000005,世纪星源,11.3621,31.6843,1.294,278.2071,0.0776,4639.1753
000006,深振业A,28.6185,12.5793,0.0503,7157.0577,0.0595,6050.4202
000007,全新好,2.2461,160.2778,0.3114,1156.0694,0.1319,2729.3404
000008,神州高铁,26.8628,13.4014,8.8359,40.7429,0.7517,478.9145
000009,中国宝安,2.3375,154.0107,0.204,1764.7059,0.1891,1903.7546
000010,美丽生态,0.9028,398.7594,0.3499,1028.8654,0.1276,2821.3166
000011,深物业A,19.6435,18.3267,0.1068,3370.7865,0.1663,2164.7625
000012,南玻A,17.08,21.0773,5.9344,60.6633,1.6391,219.6327
000014,沙河股份,30.1716,11.9318,0.0507,7100.5917,0.1064,3383.4586
000016,深康佳A,3.6368,98.9881,2.0408,176.4014,0.6883,523.0277
000017,深中华A,18.4865,19.4737,5.8651,61.38,0.8091,444.9388
000018,神州长城,,,,,0.0652,5521.4724
000019,深深宝A,1.4714,244.6649,0.2943,1223.2416,0.157,2292.9936
000020,深华发A,1.3762,261.5899,7.5425,47.7295,0.5456,659.824
000021,深科技,4.2645,84.4179,11.9858,30.0355,0.681,528.6344
000022,深赤湾A,3.4242,105.134,21.4602,16.7752,0.8199,439.0779
000023,深天地A,0.8371,430.0561,1.0801,333.3025,0.3893,924.7367
000025,特力A,48.009,7.4986,3.6644,98.2425,1.5235,236.298
000026,飞亚达A,4.3585,82.5972,0.4936,729.3355,0.6021,597.9073
000027,深圳能源,2.7695,129.9874,3.7842,95.1324,0.575,626.087
000028,国药一致,1.9265,186.8674,5.2856,68.1096,1.1438,314.7403
000029,深深房A,36.8858,9.7599,0.1431,2515.7233,0.156,2307.6923
000030,富奥股份,2.2698,158.6043,3.6827,97.7544,0.8144,442.0432
000031,中粮地产,13.0323,27.6237,0.0424,8490.566,0.061,5901.6393
000032,深桑达A,9.2115,39.0816,1.9503,184.587,0.7677,468.9332
000033,*ST新都,3.2032,112.3876,14.8819,24.1905,0.5747,626.4138
000034,神州数码,12.3021,29.2633,2.9445,122.2618,0.7745,464.816
000035,中国天楹,1.6304,220.8047,0.8158,441.2846,0.582,618.5567
000036,华联控股,20.7933,17.3133,0.0265,13584.9057,0.038,9473.6842
000037,*ST南电A,0.6061,593.9614,0.585,615.3846,0.1555,2315.1125
000038,深大通,10.165,35.4156,0.0862,4176.3341,0.0782,4603.5806
000039,中集集团,2.6544,135.6239,1.6571,217.247,0.7347,489.9959
000040,东旭蓝天,61.843,5.8212,0.0739,4871.4479,0.0931,3866.8099
000042,中洲控股,145.0871,2.4813,0.0854,4215.4567,0.1409,2555.0035
