code,name,mbrg,nprg,nav,targ,epsg,seg
000400,许继电气,-18.4332,-4.9055,8.5682,1.3345,-17.7247,8.0043
000401,冀东水泥,19.5559,,4.0908,1.9623,-566.8293,4.6354
000402,金融街,-33.6456,-13.6075,8.0369,16.9612,-19.4444,6.8976
000403,ST生化,32.723,52.1323,3.2899,0.4064,52.9375,4.2442
000404,长虹华意,8.4759,-42.6528,3.6032,6.7134,-60.1105,-0.1674
000407,胜利股份,29.3602,48.2233,3.3584,36.7165,60.0,4.1131
000408,藏格控股,5.4397,36.269,11.9214,15.5189,42.8195,11.9214
000409,*ST地矿,-26.5585,,-30.5194,-11.0314,148.862,-38.367
000410,沈阳机床,48.5865,,212.1916,-22.5371,-104.6154,446.2906
000411,英特集团,9.8774,20.4971,11.8376,10.3802,20.0,11.5799
000413,东旭光电,139.8011,28.4885,35.3937,39.6832,15.3846,38.6829
000415,渤海金控,0.78,9.0987,-1.9643,-4.0314,25.6024,6.9069
000416,民生控股,61.0167,-62.4038,-0.9899,-0.691,-66.6667,-1.1539
000417,合肥百货,3.2529,-3.1662,3.4551,5.1334,-7.247000000000001,2.2147
000418,小天鹅A,14.0885,20.4986,17.964000000000006,4.7935,23.2759,17.8202
000419,通程控股,-1.4961,7.6564,4.0366,-3.883,1.1525,3.1411
000420,吉林化纤,29.2225,39.3488,3.9875,37.6782,37.457,3.8831
000421,南京公用,-1.2131,6.466,1.9875,40.4169,30.1628,4.2752
000422,*ST宜化,-0.9225,181.6683,-74.0924,-36.7791,752.1739,-86.0541
000423,东阿阿胶,1.7581,-4.2712,16.8748,6.6708,-4.3459,16.9274
000425,徐工机械,65.811,100.6126,19.279,19.159000000000002,86.0759,18.5356
000425,徐工机械,65.811,100.6126,19.279,19.159,86.0759,18.5356
000426,兴业矿业,40.9305,78.5038,14.9977,5.1684,78.4029,15.2315
000428,华天酒店,4.9167,,-4.3762,-6.0275,41.0,2.258
000429,粤高速A,6.6408,-9.2758,-0.3142,-1.2799,-13.9535,3.2223
000430,张家界,-16.874000000000002,-48.3942,128.3447,14.328,-58.3333,130.335
000488,晨鸣纸业,13.1069,2.0258,25.1634,16.6816,-52.0,21.6269
000498,山东路桥,32.1075,-47.5775,12.3182,19.7892,-47.9239,10.5151
000501,鄂武商A,0.012,-12.4824,18.1958,18.9004,-12.5,18.1958
000502,绿景控股,-0.209,,-37.6456,5.8017,-38.0952,-39.5316
000503,国新健康,-72.5342,,-0.388,-1.431,10.3371,-0.8469
000503,国新健康,-72.5342,,-0.38799999999999996,-1.431,10.3371,-0.8469
000504,南华生物,153.6407,,102.6243,19.4616,28.4974,-235.8897
000505,京粮控股,824.1458,262.9846,3620.0437,462.3112,125.0,2525.8416
000506,中润资源,-25.5856,,-27.4279,-22.2843,-80.5249,-26.9558
000507,珠海港,12.9566,23.7882,6.2478,11.2399,22.506,5.0135
000509,华塑控股,60.966,,426.6934,-24.344,-61.0687,135.06799999999998
000510,金路集团,21.1387,202.6467,6.351,20.2723,102.862,7.5263
000510,金路集团,21.1387,202.6467,6.351,20.2723,102.86200000000001,7.5263
000513,丽珠集团,6.7827,22.7681,45.1209,-0.4743,-26.0504,51.3257
000514,渝开发,-52.9617,-35.6745,1.5923,-3.6631,-65.5296,0.665
000516,国际医学,-21.5473,1758.9309,61.8807,31.7726,1706.4516,62.0699
000517,荣安地产,-65.7121,-63.1108,4.6229,94.0324,-62.8475,4.4122
000518,四环生物,-8.3146,-86.1512,-1.3169,0.0326,-94.5946,-1.6826
000519,中兵红箭,25.6215,,4.2604,0.5557,-8007.1429,4.3333
000520,长航凤凰,21.8019,172.6588,28.9018,6.3355,172.5806,28.9018
000521,长虹美菱,8.8487,-45.9618,-1.1127,4.7698,-44.9489,-1.7134
000523,广州浪奇,10.2333,37.0753,4.9387,33.3462,0.0,5.0363
000524,岭南控股,11.4669,23.7838,-0.2993,1.8297,25.0,-0.2899
000525,红太阳,10.9838,6.7887,9.1222,9.4507,8.8591,9.4761
000526,紫光学大,1.7426,0.4323,19.3148,0.54,0.6801,20.238
000528,柳工,78.7322,162.2137,9.4528,21.2402,144.5727,4.5069
000529,广弘控股,5.5602,32.8845,13.7144,17.7953,11.1111,9.5595
000530,大冷股份,2.6636,-40.7324,1.4009,3.8076,-40.0,1.1014
000531,穗恒运A,1.527,-66.1788,0.713,11.3886,-65.9781,0.599
000532,华金资本,-12.3139,-63.9356,7.5087,6.5845,0.0,6.8688
000533,万家乐,220.3957,-25.5848,-0.3798,26.2174,-40.0,-1.4253
000534,万泽股份,-94.1741,274.3591,7.9683,-5.8959,160.6742,9.1671
000536,华映科技,8.2027,-504.8664,-5.6472,20.0832,-483.2031,-5.3572
000537,广宇发展,589.8318,3528.4675,236.5053,257.2666,1700.0,383.3205
000538,云南白药,8.4719,4.6308,13.7425,13.6311,4.6667,13.7638
000539,粤电力A,12.1876,162.0256,2.0814,3.6832,248.9796,2.4782
000540,中天金融,-56.1158,234.6437,40.1793,6.1855,122.973,32.7819
000541,佛山照明,2.0185,0.1249,-9.2209,-9.2544,-8.7973,-9.3635
000543,皖能电力,9.3911,,-6.0269,-1.3791,-356.8627,-9.047
000544,中原环保,3.8185,0.5885,3.6842,11.9423,-33.3333,1.8076
000545,金浦钛业,9.3694,-35.874,4.0109,15.1749,-35.824,4.0109
000546,金圆股份,273.7868,157.5027,89.5477,63.7473,74.4681,80.6646
000547,航天发展,13.8375,33.0299,6.2465,5.7585,50.0,5.8289
000548,湖南投资,-85.33,-86.9279,-2.5289,-2.1902,-83.6653,-1.67
000550,江铃汽车,-8.8021,-42.3134,-14.6396,-3.9983,-42.1875,-14.6396
000551,创元科技,15.5394,6.6284,-0.2393,1.4099,8.3333,-2.7941
000552,靖远煤电,13.0279,21.7966,6.4926,-2.0872,21.7498,6.4918
000553,沙隆达A,788.7378,1296.5133,890.3625,1247.1276,238.9961,890.3625
000554,泰山石油,5.5422,8.2481,0.3177,8.4965,18.75,0.3077
000555,神州信息,12.9274,125.7745,8.9612,-1.4816,172.5367,9.9416
000557,西部创业,27.146,104.0642,2.8488,-2.552,104.1176,2.8684
000558,莱茵体育,-56.2725,58.1807,2.3243,16.849,38.3929,2.5424
000559,万向钱潮,6.2976,-0.4576,6.9533,9.4939,1.8634,7.7632
000560,我爱我家,741.8564,1374.4847,163.3646,195.8858,551.3761,157.4343
000561,烽火电子,6.3258,-3.9509,11.7818,19.5146,0.0,12.1389
000563,陕国投A,,-23.7094,3.6562,-3.0926,-23.7875,3.6562
000564,供销大集,-12.4833,22.9116,2.9101,8.0148,22.164,3.1956
000565,渝三峡A,-85.0375,-32.4191,5.9528,-6.2868,-33.3333,5.9528
000566,海南海药,51.0575,29.8777,-11.7202,-10.0256,41.1765,-12.6896
000567,海德股份,98.2966,34.9305,1508.3186,241.1056,-31.88,1508.3186
000568,泸州老窖,25.4948,34.8783,38.5736,48.4546,28.3939,38.383
000570,苏常柴A,-9.2764,-52.79,-7.8232,-3.1373,-57.1429,-7.9144
000571,新大洲A,99.3434,57.648,1.9251,17.9276,-31.7647,0.2775
000572,海马汽车,-46.6597,-1580.6777,-18.0302,-18.4249,-1230.4054,-16.8828
000573,粤宏远A,-59.0619,-149.4786,-2.24,11.4343,-142.6655,-2.6878
000576,广东甘化,-60.4637,,-23.087,-34.7498,84.5475,-23.166
