code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,,0.0485,6.0189,0.0515,
000002,万科A,0.0142,0.004,0.1051,0.0051,0.5849
000004,国农科技,-0.2891,-0.0869,-3.63,-0.2155,-28.1144
000005,世纪星源,-2.1459,-0.094,,-0.1979,-19.8054
000006,深振业A,-0.1931,-0.0893,-1.2755,-0.154,-28.9119
000007,全新好,0.8998,0.2933,10.2419,0.6339,63.3856
000008,神州高铁,0.2193,0.1066,2.9344,1.0593,105.9298
000009,中国宝安,0.0194,0.0059,0.1811,0.0094,1.1123
000010,美丽生态,0.0117,0.0041,1.1124,0.0115,1.1587
000011,深物业A,0.0682,0.0285,0.3671,0.0534,6.0866
000012,南玻A,0.2197,0.1127,1.0141,0.2544,43.3678
000014,沙河股份,0.1316,0.0392,2.1075,0.0604,11.435
000016,深康佳A,0.1141,0.145,38.1535,0.1992,20.2161
000017,深中华A,-0.1041,-0.1862,-0.0179,-0.1962,-19.6159
000018,神州长城,0.0633,0.01,0.2177,0.0372,4.8748
000019,深深宝A,-0.0272,-0.0089,-0.2636,-0.0367,-3.8543
000020,深华发A,-0.1106,-0.0948,,-0.1515,-23.6975
000021,深科技,0.0298,0.0327,2.8252,0.0512,5.1407
000022,深赤湾A,0.5038,0.1221,1.3964,0.3426,59.7197
000023,深天地A,0.0274,0.0218,2.4781,0.0315,3.1672
000025,特力A,-0.0054,-0.0038,-0.8713,-0.0053,-0.8169
000026,飞亚达A,0.0255,0.0222,0.6075,0.0391,5.4669
000027,深圳能源,0.1858,0.0687,1.3212,0.1577,19.9785
000028,国药一致,0.0219,0.0421,0.8705,0.0532,5.4771
000029,深深房A,0.0921,0.0463,0.8539,0.0786,11.7787
000030,富奥股份,-0.0143,-0.0105,-0.1269,-0.0262,-3.3861
000031,中粮地产,-0.3224,-0.0808,-3.5704,-0.1038,-13.3163
000032,深桑达A,-0.0336,-0.0364,-3.6372,-0.1123,-11.3523
000033,*ST新都,0.5334,0.0758,12.2835,0.1461,74.9689
000034,神州数码,0.0136,0.0192,0.4327,0.0267,2.7324
000035,中国天楹,-2.6068,-10.2162,-0.0943,52.4722,5247.2195
000036,华联控股,-1.3798,-0.0633,-2.3131,-0.1601,-20.6338
000037,*ST南电A,0.4343,0.0886,6.5724,0.1325,13.5613
000038,深大通,0.2669,0.066,15.4622,0.0938,9.421
000039,中集集团,0.0475,0.0379,1.0438,0.0572,8.4415
000040,东旭蓝天,-0.5786,-0.1191,-4.5852,-0.1742,-25.8834
000042,中洲控股,0.0749,0.0207,0.4088,0.0336,4.9315
000043,中航地产,-0.2201,-0.0773,-2.7433,-0.1007,-16.7613
000045,深纺织A,-0.1651,-0.0655,-3.9542,-0.3371,-77.1306
000046,泛海控股,-0.4759,-0.0694,-2.3968,-0.0909,-23.2771
000048,康达尔,-0.0486,-0.0571,,-0.0897,-9.663
000049,德赛电池,0.0125,0.0163,0.2003,0.0203,2.1141
000050,深天马A,0.3146,0.1782,4.979,0.3031,49.8266
000055,方大集团,0.0896,0.0602,1.9231,0.1132,11.7475
000056,皇庭国际,-11.4262,-0.0517,-0.1041,-0.093,-17.6643
000058,深赛格,-0.2051,-0.0574,-1.6831,-0.1753,-18.0146
000059,华锦股份,0.0438,0.064,,0.0858,13.6331
000060,中金岭南,0.046,0.0672,2.3061,0.1197,17.405
000061,农产品,0.0877,0.0156,0.8811,0.031,4.0641
000062,深圳华强,0.504,0.2147,2.5768,0.3645,47.258
000063,中兴通讯,0.0342,0.0257,1.7958,0.0337,4.2226
