code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,22.4,24.12,54.7444,1873.617,0.8978,7767.194,3.7221
000002,万科A,7.34,13.52,46.9691,1916.8868,0.2789,14173.4659,2.0624
000004,国农科技,-7.18,-21.13,43.9332,-5.2621,-0.0626,24.8921,0.2964
000005,世纪星源,11.28,46.49,53.162,90.1897,0.0986,193.9741,0.2121
000006,深振业A,9.52,35.76,44.6837,129.4816,0.5105,362.0509,1.4276
000007,全新好,,-15.93,77.7524,-19.8672,-0.1074,124.7057,0.6742
000008,神州高铁,2.81,30.59,10.2321,2.1801,0.0295,7.1257,0.0967
000009,中国宝安,9.4,15.79,37.0219,159.9914,0.1668,1013.0104,1.0565
000010,美丽生态,-11.14,-15.37,45.4391,-8.4051,-0.0571,54.6723,0.3718
000011,深物业A,-5.13,-12.43,19.1877,-29.3224,-0.0541,235.8419,0.4352
000012,南玻A,11.71,9.64,31.0847,294.2751,0.2897,3052.5684,3.006
000014,沙河股份,-2.93,-13.55,52.9887,-9.7204,-0.0722,71.7317,0.5334
000016,深康佳A,1.65,0.65,18.7721,55.6705,0.0924,8492.3705,14.1072
000017,深中华A,,1.88,0.3401,3.209,0.0066,170.1888,0.3549
000018,神州长城,-26.5,-85.14,-11.8173,-60.4482,-0.3573,70.9908,0.4197
000019,深深宝A,5.92,12.15,19.2769,17.3057,0.0951,142.3478,0.7824
000020,深华发A,4.23,9.24,11.941,9.9075,0.0349,107.1694,0.3784
000021,深科技,15.54,5.87,2.1128,534.2833,0.6074,9088.2805,10.3332
000022,深赤湾A,21.32,35.04,61.7052,515.7876,0.7999,1471.6777,2.2825
000023,深天地A,2.74,1.71,10.4265,7.9334,0.0571,461.7222,3.3275
000025,特力A,-0.07,-0.01,8.8711,-0.1111,-0.0005,741.5149,3.3662
000026,飞亚达A,7.82,8.59,33.9795,47.9329,0.1922,557.5363,2.2362
000027,深圳能源,12.43,11.62,27.6686,656.4489,0.5459,5646.3889,4.6955
000028,国药一致,21.5,2.02,10.1,103.0768,0.3577,5097.8142,17.6915
000029,深深房A,1.33,3.15,20.4569,14.9924,0.0148,474.7437,0.4692
000030,富奥股份,,-1688.53,,-25.2219,-0.0874,1.4937,0.0051
000031,中粮地产,8.49,113.49,52.2128,276.2985,0.3046,243.4465,0.2684
000032,深桑达A,5.59,3.11,12.3724,35.4406,0.1826,1138.3479,5.8661
000033,*ST新都,-2.08,-12.39,94.8027,-6.4135,-0.0194,51.7491,0.1571
000034,神州数码,,-12.43,12.9997,-35.0418,-0.1126,281.7745,0.9056
000035,中国天楹,,25.87,-4.097,3.1307,0.0208,12.101,0.0806
000036,华联控股,-2.64,-0.89,4.1719,-49.1615,-0.0437,5485.6731,4.8809
000037,*ST南电A,2.54,1.53,-2.8377,41.4532,0.0756,2692.6279,4.9138
000038,深大通,,1408.81,34.2734,25.0991,0.2773,1.7816,0.0196
000039,中集集团,13.84,5.25,10.1022,1926.9484,0.7237,36699.1073,13.7842
000040,东旭蓝天,10.44,41.4,42.5044,103.6291,0.2206,250.2689,0.5329
000042,中洲控股,7.08,28.3,38.7974,134.9214,0.5634,476.7171,1.9907
000043,中航地产,2.67,3.85,28.3459,36.4471,0.1639,946.198,4.256
000045,深纺织A,2.24,2.58,20.231,8.9173,0.0363,344.5281,1.4055
000046,泛海控股,12.73,15.22,39.1216,488.4584,0.6499,3209.1411,4.2704
000048,康达尔,,-0.29,15.8575,-1.7819,-0.0045,612.4738,1.5673
000049,德赛电池,2.01,0.59,12.9683,2.9485,0.0215,492.2967,3.5978
000050,深天马A,4.33,5.36,15.772,66.1082,0.1726,1233.0694,3.2209
000055,方大集团,5.51,6.55,14.2804,28.914,0.0745,440.8931,1.1363
000056,皇庭国际,-6.7,-30.31,24.2998,-10.2329,-0.0463,33.7524,0.1527
000058,深赛格,-12.54,-22.67,1.4933,-138.7821,-0.1768,612.0265,0.7798
000059,华锦股份,10.05,8.13,24.2796,191.345,0.2885,2351.6412,3.5457
000060,中金岭南,26.45,15.93,27.5608,972.549,1.3299,6103.6805,8.3465
000061,农产品,3.99,6.23,42.0944,59.5115,0.1535,953.8876,2.4606
000062,深圳华强,9.29,7.79,14.2672,130.74,0.4231,1676.5016,5.4267
000063,中兴通讯,5.27,2.57,33.7277,602.845,0.6282,23447.884,24.437
000065,北方国际,-5.44,-3.55,6.2789,-23.8287,-0.1466,670.0875,4.1252
000066,中国长城,5.68,3.12,7.1819,99.8041,0.2176,3189.7649,6.957
000068,华控赛格,-11.06,-16.92,11.9881,-206.4187,-0.2626,1219.4679,1.5515
000069,华侨城A,6.58,27.73,52.6167,221.7443,0.1995,799.5884,0.7195
000070,特发信息,0.67,1.16,12.8157,4.224,0.0168,363.268,1.453
000078,海王生物,6.46,2.58,17.2381,46.6821,0.0755,1807.3869,2.9268
000088,盐田港,14.87,85.69,54.1707,484.1476,0.3888,564.9744,0.4537
000089,深圳机场,10.84,40.63,51.5333,372.5579,0.2587,916.8102,0.6368
000090,天健集团,2.93,4.88,14.8273,90.9068,0.2986,1859.1787,6.1071
000096,广聚能源,12.58,11.76,6.9082,180.7429,0.3423,1536.5047,2.91
000099,中信海直,3.65,12.66,27.9665,47.5213,0.0925,375.1775,0.7304
000100,TCL集团,5.81,0.67,15.3521,190.5094,0.0736,28293.7332,10.9397
000150,宜华健康,11.31,123.38,10.0681,51.0893,0.1576,41.405,0.1277
000151,中成股份,7.55,13.1,15.3473,69.5234,0.2348,530.6504,1.7928
000153,丰原药业,1.28,1.47,23.0516,8.0558,0.0309,545.7594,2.099
000155,*ST川化,4.42,4.97,25.3787,73.0543,0.1554,1467.0676,3.1214
000156,华数传媒,,-13.31,10.1787,-39.9635,-0.336,300.2464,2.5244
000157,中联重科,28.32,14.68,27.6806,906.3666,1.1918,6173.866,8.1181
000158,常山股份,2.59,1.98,9.9429,40.9429,0.0952,2064.9482,4.8022
000159,国际实业,6.72,9.2,39.8918,41.3751,0.2022,449.499,2.1974
000166,申万宏源,50.61,47.95,,4779.7247,0.7117,9967.1497,1.4841
000301,东方市场,6.1,5.84,11.7867,138.2112,0.1134,2364.156,1.9406
000338,潍柴动力,29.03,6.65,23.5968,1445.9689,2.7772,21718.4177,41.7137
000400,许继电气,3.84,5.49,35.463,81.0393,0.2142,1476.0023,3.9019
000401,冀东水泥,12.34,12.67,27.8235,324.991,0.3375,2563.8374,2.6629
000402,金融街,10.93,19.77,48.0597,442.6536,0.4104,2238.9448,2.076
000403,ST生化,,-13.14,17.9542,-59.1081,-0.2792,449.4934,2.1234
000404,华意压缩,-3.45,-0.65,10.856,-13.3801,-0.0412,2043.9642,6.2972
000407,胜利股份,3.61,2.73,14.0043,23.3012,0.0653,853.2345,2.3918
000408,*ST金源,2.62,1.92,8.1664,9.6585,0.0689,501.4837,3.5777
000409,山东地矿,-3.18,,,-2.4955,-0.0145,0.0,0.0
000410,沈阳机床,7.16,2.21,15.8859,92.2737,0.1691,4161.7269,7.6296
000411,英特集团,7.5,0.28,4.6894,6.9807,0.0605,2410.2402,20.9131
000413,东旭光电,1.62,2.18,13.7465,3.6468,0.0095,166.8712,0.4356
000415,渤海金控,5.74,9.12,35.0261,24.7985,0.0825,271.741,0.9047
000416,民生控股,-0.54,-0.55,29.1139,-3.5029,-0.0065,626.4367,1.1777
000417,合肥百货,6.83,1.78,15.0405,51.3851,0.1392,2884.3845,7.8163
000418,小天鹅A,14.78,4.92,18.9098,201.2075,0.551,4087.3998,11.1951
000419,通程控股,3.96,2.49,23.5417,27.6618,0.1576,1106.9617,6.3071
000420,吉林化纤,8.63,6.49,16.8918,108.7703,0.2875,1675.7017,4.43
000421,南京公用,19.82,7.46,19.211,105.654,0.3004,1415.406,4.0246
000422,湖北宜化,15.33,7.21,21.4875,254.9595,0.47,3533.5037,6.5148
000423,东阿阿胶,9.76,13.38,52.7929,118.6385,0.2265,886.2774,1.6921
000425,徐工机械,2.32,1.07,7.929,27.4327,0.0503,2552.7042,4.6831
000426,兴业矿业,0.43,1.76,27.4983,5.7561,0.0151,325.4228,0.8548
000428,华天酒店,19.06,29.14,63.0383,130.2561,0.3768,446.9196,1.2928
000429,粤高速A,13.08,50.91,71.7546,426.0486,0.3389,836.7584,0.6656
000430,张家界,,2.25,56.7683,2.7801,0.0151,123.055,0.6702
000488,晨鸣纸业,8.12,6.24,19.943,685.2225,0.4015,10966.6163,6.4269
000498,山东路桥,,-525.05,-365.6221,-77.3039,-0.1982,14.7231,0.0377
000501,鄂武商A,5.54,1.48,19.7191,54.4462,0.1073,3657.6773,7.2108
000502,绿景控股,1.64,1.72,38.9888,3.6033,0.0194,208.5111,1.1281
000503,海虹控股,0.56,4.89,73.2404,7.8202,0.0104,159.6973,0.2132
000504,*ST生物,0.17,0.41,20.2026,0.7823,0.0025,189.9577,0.6096
000505,*ST珠江,-3.08,-4.96,36.6175,-6.7864,-0.0159,136.7962,0.3205
000506,中润资源,,,,-7.2509,-0.0291,0.0,0.0
000507,珠海港,11.54,32.82,13.6642,127.1381,0.3685,387.3106,1.1226
000509,华塑控股,-41.97,-13.45,12.5432,-43.2325,-0.1729,321.2725,1.285
000510,金路集团,5.88,4.36,18.4846,69.417,0.1139,1589.3528,2.6089
000511,*ST烯碳,10.08,17.03,41.6152,129.4475,0.2129,759.87,1.2501
000513,丽珠集团,24.04,35.92,43.6808,449.9848,1.4703,1252.5053,4.0926
000514,渝开发,4.01,37.79,65.2377,72.7349,0.1491,192.451,0.3946
000516,国际医学,10.42,4.03,15.6812,53.2199,0.3592,1319.9679,8.9093
000517,荣安地产,,-399.08,-2.837,-38.1216,-0.1633,9.5522,0.0409
000518,四环生物,-2.98,-15.14,22.4793,-29.8151,-0.0289,196.8408,0.1911
000519,中兵红箭,1.24,2.74,13.6091,4.7168,0.0246,171.9319,0.8994
000520,长航凤凰,5.1,3.66,15.8189,62.1947,0.0921,1697.3161,2.5155
000521,美菱电器,1.55,0.45,14.5882,14.0622,0.0339,3124.2101,7.5529
