code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000001,平安银行,1.32,-2.94,15.58,8.82,28.11,676148.5,42.9,10派1,08-16
000002,万科A,0.34,25.93,5.01,6.83,0.26,372508.51,25.09,,08-07
000004,国农科技,-0.01,-393.75,0.89,-1.05,-0.05,-78.8,-396.22,,08-09
000005,世纪星源,-0.03,-200.0,0.69,-4.53,0.17,-2925.82,-207.87,,08-29
000006,深振业A,0.21,55.3,3.16,8.9,0.72,26374.13,101.54,,08-11
000007,全新好,0.03,-936.36,1.24,2.26,-0.31,638.53,-935.06,,08-14
000008,神州高铁,0.0,-114.89,1.0,0.07,0.02,5.31,-115.49,,08-07
000009,中国宝安,0.05,-75.0,2.57,1.91,0.11,5223.2,-75.89,,08-29
000010,美丽生态,-0.02,-33.33,0.34,-4.57,-0.04,-231.94,-44.1,,08-28
000011,深物业A,0.17,-67.19,2.06,8.31,0.56,9832.23,-67.19,,08-23
000012,南玻A,0.12,-70.0,3.27,3.56,0.41,24609.32,-70.62,,08-21
000014,沙河股份,-0.05,-377.6,2.71,-1.94,-0.28,-1074.82,-377.39,,08-30
000016,深康佳A,0.01,-105.86,3.32,0.29,0.93,1146.73,-105.88,,08-28
000017,深中华A,-0.06,-227.37,-3.08,,-0.0,-3334.45,-227.21,,08-17
000018,神州长城,-0.02,-60.0,0.67,-3.58,,-418.71,-49.14,,08-16
000019,深深宝A,0.35,1363.64,3.9,9.51,0.01,8886.74,1921.39,,08-21
000020,深华发A,0.02,-31.21,1.0,2.29,0.26,642.62,-30.76,,08-28
000021,深科技,0.05,-38.15,3.0,1.62,0.05,6616.02,-38.1,,08-31
000022,深赤湾A,0.34,-14.21,5.32,6.24,0.54,22203.52,-14.06,,08-23
000023,深天地A,-0.07,-1167.19,2.26,-2.96,0.11,-948.27,-1167.19,,08-17
000025,特力A,-0.04,-2060.0,0.77,-4.99,-0.02,-863.73,-1819.42,,08-16
000026,飞亚达A,0.17,-24.2,3.55,4.63,-0.24,6528.94,-24.07,,08-25
000027,深圳能源,0.21,-19.23,5.58,3.79,0.52,55999.22,-19.12,,08-10
000028,国药一致,0.83,46.14,5.37,16.35,0.48,24003.4,45.35,,08-18
000029,深深房A,0.04,-37.74,1.55,2.59,-0.12,4008.41,-37.66,,08-31
000030,富奥股份,-0.01,-100.1,0.0,-111.61,-0.0,-146.25,-100.1,,08-11
000031,中粮地产,0.03,-50.0,2.42,1.35,0.15,6083.34,-44.33,,08-30
000032,深桑达A,-0.05,-171.43,3.09,-1.5,-0.18,-1085.29,-168.06,,08-25
000033,*ST新都,-0.02,68.29,0.87,-2.34,0.02,-680.57,68.05,,07-28
000034,神州数码,-0.01,-125.0,0.23,-3.0,-0.05,-252.32,-125.27,,08-11
000035,中国天楹,-0.8,900.0,-8.95,,-2.18,-11997.25,853.34,,08-30
000036,华联控股,0.04,-21.43,1.58,2.32,-0.08,4080.69,-21.35,,08-29
000037,*ST南电A,-0.18,28.57,2.73,-6.22,0.2,-10573.94,24.61,,08-07
000038,深大通,-0.05,-44.44,1.56,-2.85,-0.04,-479.7,-45.28,,08-10
000039,中集集团,0.35,-66.74,6.92,4.93,-0.79,93371.0,-66.74,,08-25
000040,东旭蓝天,0.27,8.0,2.37,12.04,0.06,12753.53,8.59,,08-25
000042,中洲控股,0.97,36.74,11.29,8.87,-0.11,23127.14,36.74,,08-11
000043,中航地产,0.01,-95.85,3.82,0.14,-0.8,355.17,-91.66,,08-17
000045,深纺织A,-0.06,-160.0,4.04,-1.37,-0.05,-1873.62,-157.89,,08-03
000046,泛海控股,0.01,-146.67,1.7,0.38,-0.04,3013.09,-189.33,,08-30
000048,康达尔,0.07,-4352.94,0.99,7.58,-0.01,2826.36,-4281.28,,08-27
000049,德赛电池,0.35,19.95,2.4,14.67,2.31,4796.97,19.92,10派4,08-15
000050,深天马A,0.02,-70.31,2.31,0.82,0.34,1084.91,-70.54,,08-14
000055,方大集团,0.02,-67.21,1.44,1.17,-0.09,1264.33,-72.57,,07-28
000056,皇庭国际,0.31,-537.14,-0.08,,-0.42,6766.38,-536.02,,08-23
000058,深赛格,0.04,19.94,1.51,2.71,-0.06,3162.12,20.08,,08-27
000059,华锦股份,-0.06,-116.51,6.07,-1.04,0.46,-7734.49,-116.51,,08-28
000060,中金岭南,0.1,-41.18,2.66,3.86,0.09,20861.09,-40.48,,08-25
000061,农产品,0.07,-67.05,2.34,2.83,0.04,9118.31,-41.14,,08-23
000062,深圳华强,0.05,0.0,2.64,1.71,-0.46,2984.36,-0.83,,08-15
000063,中兴通讯,0.07,-74.07,7.14,1.0,-1.06,24487.5,-68.17,,08-23
000065,北方国际,0.18,-50.0,3.47,5.32,-2.44,2975.24,-48.49,,08-21
000066,中国长城,0.0,-96.78,2.35,0.1,2.02,322.87,-96.08,,08-31
000068,华控赛格,-0.0,-91.49,0.25,-0.94,-0.03,-211.76,-91.61,,08-22
000069,华侨城A,0.14,-26.31,2.34,6.23,-0.09,104473.36,-4.24,,08-21
000070,特发信息,0.1,87.43,3.29,2.94,-0.3,2385.03,87.27,,08-29
000078,海王生物,0.08,20.96,1.29,6.22,-0.17,5083.82,21.06,,08-21
000088,盐田港,0.09,-41.24,2.23,3.91,0.04,17979.49,-23.62,,08-18
000089,深圳机场,0.17,-20.12,4.16,4.04,0.21,28111.63,-20.12,,08-30
000090,天健集团,0.29,-8.96,6.75,4.69,0.15,14745.64,0.13,,08-07
000096,广聚能源,0.06,-32.02,3.43,1.76,0.06,3195.11,-32.03,,08-21
000099,中信海直,0.13,4.41,3.4,3.94,0.13,6816.61,4.43,,08-14
000100,TCL集团,0.03,-47.4,1.32,2.45,0.18,28269.59,-47.5,,08-10
000150,宜华健康,0.01,33.85,2.18,0.4,0.08,282.59,35.17,,08-24
000151,中成股份,0.03,-28.3,2.91,0.9,0.48,771.94,-28.27,,08-11
000153,丰原药业,0.04,-18.58,2.79,1.48,0.07,1070.3,-18.66,,08-24
000155,*ST川化,-0.3,150.0,2.61,-11.05,0.01,-14315.84,154.37,,08-16
000156,华数传媒,0.24,-57.95,-1.19,,0.03,2900.98,-57.61,,08-02
000157,中联重科,0.73,21.02,5.07,14.71,0.08,562176.37,21.47,,08-31
000158,常山股份,-0.06,-311.54,3.3,-1.66,-0.21,-3968.49,-316.46,,08-29
000159,国际实业,0.09,-33.79,4.3,2.18,-0.09,4462.17,-33.04,10派1,08-23
000301,东方市场,0.07,36.24,2.17,3.23,0.24,8378.08,36.19,10派0.2,08-28
000333,美的集团,,,,,,174121.65,12.41,,08-30
000338,潍柴动力,1.14,-45.71,14.76,7.96,-0.66,189725.26,-45.82,,08-31
000338,潍柴动力,1.14,-45.71,14.76,7.96,-0.66,189725.26,-45.82,10派1,08-31
000400,许继电气,0.29,46.49,6.86,4.19,-0.55,10798.95,46.51,,08-17
000401,冀东水泥,0.08,-86.55,8.59,0.97,0.04,11184.16,-85.05,,08-23
000402,金融街,0.36,-14.29,6.15,5.9,-0.29,110209.01,-13.25,,08-18
000403,ST生化,0.16,45.45,1.1,11.6,0.17,3481.12,48.46,,08-31
000404,华意压缩,0.14,195.16,1.92,7.57,0.11,4551.66,195.35,,08-03
000407,胜利股份,0.0,-85.0,1.9,0.18,0.1,217.87,-80.76,,08-14
000408,*ST金源,0.03,0.32,0.69,4.58,0.03,784.16,1.41,,08-21
000409,山东地矿,0.0,-115.0,0.24,0.23,0.01,9.8,-114.39,,08-15
000410,沈阳机床,0.1,-42.35,2.89,3.4,-0.83,5326.84,-41.89,,07-31
000411,英特集团,0.15,-81.69,2.09,7.53,-0.52,3154.43,-81.69,,08-17
000413,东旭光电,0.11,-466.67,0.71,16.27,-0.13,4117.58,-517.99,,08-29
000415,渤海金控,0.15,-35.32,5.73,2.73,0.33,19603.32,13.09,,08-29
000416,民生控股,-0.01,-125.48,1.4,-0.66,0.02,-493.42,-125.42,,08-24
000417,合肥百货,0.47,-23.81,4.92,9.94,-0.19,24207.51,-17.42,,08-10
000418,小天鹅A,0.34,-22.73,5.58,6.09,1.44,21622.81,-22.87,,08-23
000419,通程控股,0.18,0.75,3.73,4.81,-0.05,7937.16,18.52,,08-14
000420,吉林化纤,-0.09,-472.17,1.25,-6.52,0.58,-3236.11,-472.64,,08-20
000421,南京公用,0.22,64.56,2.48,9.06,0.2,7593.77,64.59,,08-21
000422,湖北宜化,0.53,-38.46,6.37,8.68,1.37,47447.65,1.96,,08-24
000423,东阿阿胶,0.71,3.67,5.92,12.77,-0.06,46596.38,3.66,,08-16
000425,徐工机械,0.77,-28.7,7.86,9.98,-1.62,158997.8,-28.67,,08-15
000426,兴业矿业,0.22,-466.67,3.77,5.87,0.13,9474.31,-550.51,,08-22
000428,华天酒店,0.05,-60.0,2.16,2.54,0.16,3884.97,-59.91,,08-16
000429,粤高速A,0.13,8.33,3.34,3.77,0.26,15748.36,8.49,,08-14
000430,张家界,0.1,59.06,0.98,10.91,0.1,3240.51,59.1,,08-15
