code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,,0.0124,6.2839,0.0133,
000002,万科A,-0.9003,-0.0227,-15.5964,-0.027000000000000003,-3.1504
000004,国农科技,0.1174,0.0286,2.7889,0.0871,10.2188
000005,世纪星源,0.0191,0.001,0.182,0.002,0.2189
000006,深振业A,-0.3088,-0.0135,-0.5229,-0.0291,-3.82
000007,全新好,-0.414,-0.0103,,-0.0947,-9.5268
000008,神州高铁,-1.9865,-0.0418,-40.0939,-0.1526,-15.6056
000009,中国宝安,0.0499,0.0037,1.2724,0.0058,0.8889
000010,美丽生态,-1.0288,-0.0289,,-0.0475,-5.0351
000011,深物业A,-0.1776,-0.0195,-1.8090000000000002,-0.049,-5.0374
000011,深物业A,-0.1776,-0.0195,-1.809,-0.049,-5.0374
000012,南玻A,0.0229,0.0031,0.3787,0.0057,0.8045
000014,沙河股份,1.1287,0.0482,23.9285,0.0978,10.9573
000016,深康佳A,-0.1311,-0.0434,-9.7621,-0.0671,-6.867000000000001
000017,深中华A,0.0337,0.01,4.0904,0.0129,1.2948
000018,神州长城,0.8768,0.0686,3.7008,0.0868,10.2421
000019,深深宝A,-0.0463,-0.0026,,-0.0304,-3.6181
000020,深华发A,0.002,0.0006,1.0991,0.0012,0.121
000021,深科技,0.011,0.0029,0.4819,0.0047,0.4811
000021,深科技,0.011000000000000001,0.0029,0.4819,0.0047,0.4811
000022,深赤湾A,0.1713,0.0129,0.5042,0.0496,6.6893
000023,深天地A,0.0475,0.0067,,0.009000000000000001,0.9052
000025,特力A,-0.0902,-0.0059,-0.5468,-0.0211,-2.4387
000026,飞亚达A,0.0794,0.0185,1.1363,0.0594,6.4238
000027,深圳能源,0.1267,0.0059,7.7189,0.0086,1.8997
000028,国药一致,-0.0843,-0.0364,-2.7641,-0.064,-6.54
000029,深深房A,1.3732,0.0492,,0.1391,14.1904
000030,富奥股份,0.0953,0.0154,0.7298,0.0406,5.1722
000031,中粮地产,-0.9817,-0.0266,-6.3186,-0.0312,-4.4018
000032,深桑达A,-0.0115,-0.0021,-0.1671,-0.0065,-0.6819
000034,神州数码,-0.0097,-0.0067,-1.3561,-0.0079,-0.8389
000035,中国天楹,-0.264,-0.0098,-3.4328,-0.016,-3.6518
000036,华联控股,0.5684,0.0261,2.2183,0.0549,8.4765
000037,深南电A,-0.1716,-0.0218,,-0.0596,-6.4773
000038,深大通,0.0259,0.002,0.2257,0.0411,4.4929
000039,中集集团,-0.0558,-0.0079,-1.8412,-0.0116,-1.9133
000040,东旭蓝天,-0.4718,-0.0186,-0.4639,-0.0349,-7.2886
000042,中洲控股,-0.1702,-0.0058,-0.9548,-0.0069,-1.0354
000043,中航地产,-0.0985,-0.0079,-2.0226,-0.0104,-1.5962
000045,深纺织A,-0.1593,-0.0085,-9.3972,-0.0546,-7.4992
000046,泛海控股,10.4512,0.0171,2.1756,0.02,3.3597
000049,德赛电池,0.0908,0.0451,2.8835,0.0662,6.6231
000050,深天马A,0.0783,0.0086,1.3274,0.0151,2.5019
000055,方大集团,-0.0625,-0.0054,-0.4129,-0.0096,-1.3976
000056,皇庭国际,1.3047,0.0204,4.4599,0.0347,14.4066
000058,深赛格,-0.003,-0.0002,-0.0158,-0.0003,-0.0349
000059,华锦股份,-0.20199999999999999,-0.0532,-5.0845,-0.0921,-9.4588
000059,华锦股份,-0.202,-0.0532,-5.0845,-0.0921,-9.4588
000060,中金岭南,-0.0247,-0.0061,-0.3771,-0.0137,-1.9352
000061,农产品,0.2616,0.0073,8.4956,0.0109,1.9125
000062,深圳华强,0.1537,0.0386,2.1382,0.0837,10.2308
000063,中兴通讯,-0.0059,-0.0012,-0.0959,-0.0018,-0.2038
000065,北方国际,-0.1452,-0.0269,-3.909,-0.0425,-4.8889999999999985
000065,北方国际,-0.1452,-0.0269,-3.909,-0.0425,-4.888999999999999
000066,中国长城,-0.0571,-0.0077,-0.6391,-0.016,-2.4342
000068,华控赛格,-4.0461,-0.0595,,-0.1008,-10.9593
000069,华侨城A,-1.0396,-0.0276,-6.3881,-0.0386,-6.5781
000070,特发信息,-0.4892,-0.0961,-10.6295,-0.1581,-16.7819
000078,海王生物,-0.115,-0.0315,-4.8848,-0.0393,-4.3848
000088,盐田港,0.2537,0.0024,0.3572,0.0101,5.919
000089,深圳机场,0.1554,0.0099,0.8194,0.0658,6.5995
000090,天健集团,-0.0392,-0.0014,-0.7391,-0.0019,-0.2756
000096,广聚能源,-0.0651,-0.0098,-1.6917,-0.1774,-21.2064
000099,中信海直,-0.2666,-0.0139,-4.4414,-0.0318,-10.0857
000100,TCL集团,0.1184,0.0186,3.8505,0.0286,4.2594
000150,宜华健康,0.4702,0.0352,2.4885,0.0523,7.0463
000151,中成股份,0.1596,0.0478,9.0407,0.0842,8.4538
000153,丰原药业,0.0232,0.0059,1.4478,0.0104,1.0731
000155,川化股份,0.0312,0.0061,0.3629,0.0128,3.218
000156,华数传媒,0.1627,0.0087,0.8033,0.0321,4.9673
000157,中联重科,0.0713,0.0053,1.2226,0.0097,1.7682
000158,常山北明,-0.5288,-0.0753,,-0.1426,-18.0807
000159,国际实业,-0.0948,-0.0064,,-0.0228,-2.5799
000166,申万宏源,,0.0126,4.0251,0.016,
000301,东方市场,0.0562,0.0027,0.3516,0.0156,3.2799
000333,美的集团,0.0635,0.0175,0.7845,0.0269,3.7232
000338,潍柴动力,-0.0211,-0.0042,-0.3238,-0.006,-0.9952
000400,许继电气,-0.3418,-0.0211,-12.4751,-0.0481,-4.8306
000401,冀东水泥,0.0987,0.005,,0.0068,0.8747
000402,金融街,-2.2230000000000003,-0.0574,-13.0132,-0.0771,-25.6943
000403,ST生化,-0.051,-0.0084,-0.4147,-0.0151,-1.6219
000404,华意压缩,-0.1215,-0.0278,-8.8248,-0.0469,-4.8216
000407,胜利股份,-0.0835,-0.0148,-1.6165,-0.0277,-3.1647
000408,藏格控股,-0.3806,-0.0127,-1.1867,-0.0816,-8.52
000410,沈阳机床,-0.2176,-0.0178,-57.9616,-0.0187,-2.112
000411,英特集团,-0.265,-0.1387,-25.3154,-0.1732,-17.8421
000413,东旭光电,-0.2416,-0.0164,-2.6088,-0.031,-5.1705
000415,渤海金控,0.7398,0.0188,9.2939,0.0214,9.0617
000416,民生控股,-42.9314,-0.0897,-21.8023,-2.3823,-240.9951
000417,合肥百货,0.0821,0.026000000000000002,2.0306,0.046,5.1005
000417,合肥百货,0.0821,0.026,2.0306,0.046,5.1005
000418,小天鹅A,0.0418,0.0141,0.4999,0.025,2.5012
000419,通程控股,-0.2944,-0.07400000000000001,-6.2296,-0.1643,-17.0954
000420,吉林化纤,0.0103,0.0009,0.5941,0.0015,0.1604
000421,南京公用,0.1873,0.0172,2.4631,0.0252,2.7461
000422,*ST宜化,-0.6438,-0.0494,,-0.0513,-6.2833
000423,东阿阿胶,-0.2287,-0.0304,-0.6395,-0.1711,-17.6071
000425,徐工机械,0.067,0.0136,1.3783,0.0253,3.0608
000426,兴业矿业,0.0757,0.0035,0.2691,0.0086,1.9856
000428,华天酒店,0.1378,0.0042,,0.0063,0.9147
000429,粤高速A,0.4481,0.0197,0.8428,0.0474,12.8565
000430,张家界,-0.6863,-0.0167,,-0.0498,-6.9460000000000015
000488,晨鸣纸业,0.1751,0.0118,1.6244,0.0165,2.1302
000498,山东路桥,-0.1696,-0.0185,-10.4014,-0.0238,-3.0213
000501,鄂武商A,0.0729,0.0181,1.2379,0.0293,3.5847
000502,绿景控股,-5.1028,-0.0457,,-0.0626,-6.2607
000503,国新健康,-5.1524,-0.046,,-1.4981,-149.8147
000504,南华生物,-0.815,-0.0336,,-0.0506,-5.5878
000505,京粮控股,0.3597,0.1164,18.1214,0.2139,22.6235
000506,中润资源,0.4085,0.0159,,0.0265,2.8069
000507,珠海港,0.0619,0.0038,0.8694,0.0075,1.7809
000509,华塑控股,-0.0243,-0.0565,,-0.0641,-6.6391
000510,金路集团,-0.0256,-0.0075,-0.487,-0.0193,-2.0381
000510,金路集团,-0.0256,-0.0075,-0.48700000000000004,-0.0193,-2.0381
