code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
000001,平安银行,9.97,35.7,44.7832,3033.119,0.8703,8496.111,2.4378
000002,万科A,7.07,16.77,38.9267,2812.4986,0.2557,16766.3304,1.5248
000004,国农科技,5.49,9.59,46.0813,3.5552,0.0423,37.0395,0.441
000005,世纪星源,-2.33,-70.7,40.1936,-16.0082,-0.0175,22.6419,0.0247
000006,深振业A,4.91,12.69,37.865,98.9283,0.13,779.3198,1.0243
000007,全新好,,1.32,77.7151,0.8551,0.0046,64.5717,0.3491
000008,神州高铁,0.02,0.33,26.0542,0.0169,0.0002,5.0535,0.0686
000009,中国宝安,8.51,11.65,43.2655,189.44,0.1736,1625.9192,1.4906
000010,美丽生态,-8.07,-6.86,36.1593,-3.5322,-0.024,51.4868,0.3502
000011,深物业A,16.08,18.17,30.5886,126.7524,0.2126,697.4286,1.1702
000012,南玻A,11.46,18.67,35.2153,635.9516,0.3059,3405.068,1.6381
000014,沙河股份,12.47,16.13,52.7001,65.3696,0.324,405.0606,2.0081
000016,深康佳A,1.29,0.64,15.6159,50.8875,0.0422,7940.1838,6.5949
000017,深中华A,,-42.87,5.4527,-51.7194,-0.0938,120.6228,0.2187
000018,神州长城,3.69,102.5,55.3,5.4127,0.032,5.2806,0.0312
000019,深深宝A,-6.06,-18.63,23.3851,-18.2635,-0.1003,98.0311,0.5388
000020,深华发A,6.45,4.74,10.9599,17.3755,0.0613,366.4054,1.2939
000021,深科技,4.79,1.75,2.508,180.0763,0.1364,10264.5481,7.7804
000022,深赤湾A,10.46,37.05,59.594,308.9635,0.4791,833.7619,1.2931
000023,深天地A,-0.99,-0.71,11.0517,-2.9825,-0.0214,417.403,3.0081
000025,特力A,0.64,0.55,17.1758,1.0987,0.0049,198.3232,0.9003
000026,飞亚达A,5.59,5.22,30.2789,42.3995,0.17,810.8119,3.2521
000027,深圳能源,6.64,14.28,19.9153,876.3481,0.3978,6136.5384,2.7861
000028,国药一致,13.28,1.95,8.8332,121.621,0.422,6216.1241,21.5725
000029,深深房A,4.96,12.36,34.7593,64.141,0.0634,518.8267,0.5128
000030,富奥股份,,,,-12.4069,-0.043,0.0,0.0
000031,中粮地产,1.43,16.46,41.9378,73.6774,0.0406,447.5363,0.2467
000032,深桑达A,1.59,1.91,13.4664,11.4501,0.0491,596.531,2.5617
000033,*ST新都,-2.61,-22.53,46.9846,-7.2205,-0.0219,32.0342,0.0972
000034,神州数码,,0.26,18.6835,0.4713,0.0013,179.7922,0.5022
000035,中国天楹,,-496.04,50.7511,-12.8266,-0.0855,2.5858,0.0172
000036,华联控股,2.65,18.92,63.4689,39.4023,0.035,208.195,0.1852
000037,*ST南电A,-16.02,-36.29,-42.7382,-255.0735,-0.4231,702.8597,1.166
000038,深大通,10.38,12.35,38.7143,14.4581,0.1502,117.0305,1.2161
000039,中集集团,6.35,4.29,14.0841,912.556,0.3427,21237.889,7.9769
000040,东旭蓝天,4.07,8.78,38.4504,31.6006,0.0672,359.6487,0.7658
000042,中洲控股,3.92,12.72,42.7095,81.1069,0.3387,637.471,2.662
000043,中航地产,0.14,0.35,37.5332,2.482,0.0111,708.2883,3.1858
000045,深纺织A,5.02,7.71,16.7621,24.8585,0.1014,322.3691,1.3151
000046,泛海控股,1.07,10.39,46.2795,83.2114,0.0365,800.1342,0.3511
000048,康达尔,,-0.24,11.9285,-1.2541,-0.0032,519.629,1.3297
000049,德赛电池,16.52,4.86,16.5048,22.7089,0.1659,467.1294,3.4139
000050,深天马A,3.76,3.01,16.7023,44.7698,0.0779,1482.5011,2.5816
000055,方大集团,3.41,7.93,19.8904,33.6086,0.0735,423.3798,0.9271
000056,皇庭国际,-10.65,-362.12,5.7944,-21.7408,-0.0984,6.0036,0.0271
000058,深赛格,2.55,15.08,35.2018,26.8968,0.0342,178.2974,0.2271
000059,华锦股份,3.37,2.09,17.6068,215.751,0.1797,10309.097,8.5872
000060,中金岭南,7.25,6.7,19.6159,300.3431,0.1892,4481.6376,2.8241
000061,农产品,9.82,48.49,43.3597,303.5642,0.395,625.9857,0.8145
000062,深圳华强,3.22,25.4,72.9865,52.154,0.0781,205.2654,0.3077
000063,中兴通讯,4.2,2.85,33.4528,877.489,0.306,30725.42,10.7179
000065,北方国际,-1.15,-0.67,10.7796,-4.9781,-0.0306,740.5437,4.5589
000066,中国长城,5.27,0.3,5.5478,120.2918,0.1093,39441.1481,35.8432
000068,华控赛格,-15.99,-60.36,-18.9483,-32.0333,-0.0357,53.0702,0.0591
000069,华侨城A,11.72,21.19,51.2658,1350.6588,0.4346,6372.6903,2.0507
000070,特发信息,3.1,4.33,14.3537,22.4424,0.0897,518.0669,2.0722
000078,海王生物,5.02,1.64,14.4473,33.2315,0.0509,2016.0487,3.0896
000088,盐田港,5.07,102.8,64.7731,206.8245,0.1661,201.1761,0.1615
000089,深圳机场,6.62,39.61,53.4675,366.4782,0.2168,925.0262,0.5472
000090,天健集团,0.55,1.22,9.7327,15.8844,0.0347,1294.0437,2.8338
000096,广聚能源,1.97,4.9,9.2694,32.969,0.0624,671.6403,1.272
000099,中信海直,3.95,15.07,33.2309,60.4082,0.1176,400.7834,0.7803
000100,TCL集团,2.82,0.68,13.5427,157.6092,0.0536,23158.33,7.8852
000150,宜华健康,0.67,14.23,47.2882,4.9322,0.0152,34.6455,0.1069
000151,中成股份,1.2,3.19,14.77,10.5157,0.0355,329.4757,1.1131
000153,丰原药业,3.12,4.13,26.3435,21.6755,0.0833,524.5676,2.0174
000155,*ST川化,-0.61,-1.16,13.1334,-10.8634,-0.0231,935.0466,1.9894
000156,华数传媒,,10.58,7.8357,40.6729,0.3419,384.2608,3.2308
000157,中联重科,15.23,13.68,28.9098,2202.4551,1.1173,16088.8376,8.1625
000158,常山股份,0.34,0.5,7.4649,8.0158,0.0111,1577.4689,2.1944
000159,国际实业,4.59,14.56,38.9592,56.0684,0.233,385.0228,1.6004
000166,申万宏源,7.37,43.94,58.6746,971.9737,0.1447,2211.7639,0.3293
000301,东方市场,3.02,11.19,25.997,76.5933,0.0628,684.4387,0.5618
000333,美的集团,18.4,3.17,18.4713,1709.0057,1.709,53759.5749,53.7595
000338,潍柴动力,21.96,9.73,23.4114,3234.5888,3.8828,33224.4064,39.883
000400,许继电气,2.95,5.79,36.7851,68.8465,0.182,1187.9974,3.1405
000401,冀东水泥,7.49,11.83,30.4607,542.1589,0.447,4580.3629,3.7767
000402,金融街,3.17,25.64,52.303,507.6668,0.2046,1979.7436,0.7978
000403,ST生化,86.18,7.56,54.2791,22.2661,0.1051,294.2361,1.3899
000404,华意压缩,3.87,0.8,10.8002,21.4792,0.0661,2660.4276,8.1964
000407,胜利股份,1.48,1.75,11.5381,15.2494,0.0305,868.348,1.7387
000408,*ST金源,-14.1,-55.98,-2.927,-15.982,-0.0633,28.5456,0.1131
000409,山东地矿,-6.31,,,-2.4551,-0.0143,0.0,0.0
000410,沈阳机床,10.93,3.71,19.415,162.1649,0.2972,4360.6606,7.9943
000411,英特集团,10.39,0.63,5.5075,19.8468,0.0956,3131.0381,15.0929
000413,东旭光电,-5.64,-39.56,-13.5164,-11.5855,-0.0302,29.2849,0.0764
000415,渤海金控,-5.31,-21.39,10.4614,-12.8146,-0.0426,59.9084,0.1994
000416,民生控股,-0.09,-0.19,16.8602,-0.6631,-0.0012,348.2366,0.6547
000417,合肥百货,10.23,3.07,17.2456,111.5214,0.2324,3630.8312,7.5686
000418,小天鹅A,8.3,4.63,15.7016,168.3643,0.3074,3634.1348,6.6358
000419,通程控股,6.47,3.18,22.5392,50.8056,0.1447,1595.523,4.5454
000420,吉林化纤,-5.4,-4.33,8.1086,-45.5411,-0.1203,1050.7489,2.7778
000421,南京公用,3.62,2.6,12.1727,23.9559,0.0681,920.2289,2.6166
000422,湖北宜化,13.38,6.54,23.9858,328.3208,0.6053,5019.0833,9.2538
