code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,,0.0158,3.8242,0.0166,
000002,万科A,-0.2366,-0.0227,-1.8352,-0.0285,-3.1176
000004,国农科技,-0.2989,-0.0527,-2.5148,-0.2225,-22.6305
000005,世纪星源,-5.3395,-0.1003,,-0.2283,-22.8483
000006,深振业A,0.0982,0.011,0.4237,0.0173,2.7041
000007,全新好,1.0062,0.1125,,0.1787,17.8681
000008,神州高铁,0.164,0.0399,2.307,0.4135,41.3476
000009,中国宝安,-0.0536,-0.008,-0.8137,-0.0124,-1.5189
000010,美丽生态,-0.0242,-0.0031,-0.8074,-0.008,-0.8084
000011,深物业A,0.0939,0.0335,0.3581,0.066,7.4385
000012,南玻A,0.2,0.0462,1.7174,0.0882,13.1802
000014,沙河股份,-0.0376,-0.0048,,-0.0071,-0.9532
000016,深康佳A,0.2411,0.1502,61.9861,0.2093,21.2742
000017,深中华A,-0.196,-0.1307,,-0.0108,-1.1884
000018,神州长城,0.3906,0.0118,,0.0374,4.7258
000019,深深宝A,-0.0516,-0.0089,,-0.031,-3.1532
000020,深华发A,-0.0943,-0.039,-14.5113,-0.0635,-10.0829
000021,深科技,0.0399,0.0252,6.2283,0.0389,3.9016
000022,深赤湾A,0.4135,0.0483,0.9439,0.1278,16.4466
000023,深天地A,0.0588,0.0227,4.5606,0.0351,3.5474
000025,特力A,0.1634,0.053,13.6093,0.0753,10.9776
000026,飞亚达A,0.0888,0.0406,1.936,0.0749,10.0031
000027,深圳能源,0.1959,0.033,1.3783,0.0748,9.7731
000028,国药一致,0.0235,0.0235,0.8898,0.0295,3.0791
000029,深深房A,1.0897,0.0829,26.7404,0.1298,17.8528
000030,富奥股份,-0.0569,-0.0214,-0.4676,-0.0521,-6.3317
000031,中粮地产,0.4791,0.0395,7.0031,0.0502,6.3264
000032,深桑达A,0.0057,0.0028,0.1586,0.0088,0.8869
000033,*ST新都,0.08,0.0047,,0.0088,4.4434
000034,神州数码,0.0017,0.002,0.0752,0.0039,0.4256
000035,中国天楹,-2.2854,-0.9864,-13.8942,-0.0481,-6.1644
000036,华联控股,-1.3073,-0.0277,-15.1779,-0.0647,-12.0731
000037,*ST南电A,0.8938,0.0908,,0.1277,12.9616
000038,深大通,1.1939,0.0558,,0.0805,8.0893
000039,中集集团,-0.1057,-0.0439,-4.2246,-0.0658,-9.113
000040,东旭蓝天,-1.1448,-0.073,-3.5256,-0.1146,-15.0183
000042,中洲控股,0.293,0.0215,0.8235,0.0333,4.5599
000043,中航地产,-1.0743,-0.0741,,-0.0956,-13.939
000045,深纺织A,-0.0998,-0.0205,,-0.1048,-20.3278
000046,泛海控股,-1.1861,-0.0501,-9.1322,-0.0657,-29.4073
000048,康达尔,-0.1023,-0.0521,-1.9837,-0.0857,-9.3821
000049,德赛电池,0.2323,0.2352,3.4672,0.3704,37.3423
000050,深天马A,0.1841,0.0546,7.4897,0.0911,17.2529
000055,方大集团,0.0015,0.0004,0.029,0.0008,0.0858
000056,皇庭国际,-16.3674,-0.0922,,-0.0759,-10.3789
000058,深赛格,-0.2169,-0.034,-1.2572,-0.1613,-17.0112
000059,华锦股份,0.0132,0.0093,,0.0122,1.8463
000060,中金岭南,0.0137,0.0039,0.5773,0.0077,1.0675
000061,农产品,0.0294,0.0029,0.3461,0.0062,0.7864
000062,深圳华强,0.629,0.0735,4.964,0.1078,17.4803
000063,中兴通讯,-0.1155,-0.0423,-13.185,-0.0544,-7.2006
000065,北方国际,0.2236,0.0509,6.9282,0.0657,6.7522
000066,中国长城,-0.0583,-0.0551,,-0.0734,-8.1858
000068,华控赛格,-0.4043,-0.2029,,-0.272,-27.2238
000069,华侨城A,0.0818,0.0103,0.4375,0.0143,2.0913
000070,特发信息,-0.0166,-0.0052,-0.2596,-0.0111,-1.3944
000078,海王生物,-0.0873,-0.0512,-3.8682,-0.0701,-7.0135
000088,盐田港,0.4705,0.0126,0.3388,0.1639,45.8937
000089,深圳机场,0.2935,0.0336,1.0899,0.1198,53.5849
000090,天健集团,-0.1535,-0.0342,-2.9223,-0.0552,-6.6901
000096,广聚能源,-0.0058,-0.0012,-0.0885,-0.0139,-1.6511
000099,中信海直,0.1415,0.0202,0.8986,0.046,13.8308
000100,TCL集团,0.0966,0.0457,3.5379,0.0619,9.3353
000150,宜华健康,-10.7568,-0.1038,-22.1973,-0.1504,-29.6764
000151,中成股份,-0.0074,-0.0026,-0.1149,-0.0058,-0.5884
000153,丰原药业,0.0199,0.0078,1.2216,0.018,2.1398
000155,*ST川化,-0.2184,-0.0525,,-0.0909,-10.9993
000156,华数传媒,0.4258,0.0978,2.8953,0.1325,20.3178
000157,中联重科,0.0574,0.013,0.387,0.025,3.7439
000158,常山股份,-0.0494,-0.0267,,-0.0462,-5.7851
000159,国际实业,-0.2102,-0.0382,-3.4646,-0.1273,-14.221
000166,申万宏源,,,,,
000301,东方市场,0.1423,0.0229,0.6653,0.1103,13.5173
000333,美的集团,0.0541,0.0377,0.7527,0.061,6.3002
000338,潍柴动力,0.0238,0.0094,0.3209,0.0164,2.4024
000400,许继电气,0.1993,0.0693,1.7941,0.1276,15.4492
000401,冀东水泥,0.0879,0.0132,,0.0191,4.2454
000402,金融街,0.1844,0.0173,1.3005,0.0253,4.1723
000403,ST生化,0.0624,0.013,0.2992,0.0183,2.5438
000404,华意压缩,-0.0939,-0.0602,-2.49,-0.0963,-9.7487
000407,胜利股份,-0.1155,-0.0369,-41.1411,-0.0603,-6.5491
000408,*ST金源,0.0143,0.0046,0.4152,0.0081,0.8263
000409,山东地矿,-0.2297,-0.0315,-0.7437,-0.1684,-20.1517
000410,沈阳机床,-0.1831,-0.0442,-27.0579,-0.0543,-5.6184
000411,英特集团,-0.0257,-0.0295,-1.4533,-0.0383,-3.8557
000413,东旭光电,-3.5957,-0.1094,-6.5385,-0.3302,-47.1943
000415,渤海金控,0.6489,0.0279,2.2602,0.04,13.5426
000416,民生控股,0.0172,0.0045,1.3129,0.0318,3.4286
000417,合肥百货,0.0609,0.0484,1.2442,0.0923,9.7552
000418,小天鹅A,0.2329,0.1145,3.9468,0.2427,24.4011
000419,通程控股,-0.0002,-0.0001,-0.0044,-0.0002,-0.0225
000420,吉林化纤,0.1059,0.0198,,0.0226,2.942
000421,南京公用,0.4908,0.1179,6.7059,0.2245,27.6325
000422,湖北宜化,0.0895,0.0243,2.1539,0.0324,5.7243
000423,东阿阿胶,-0.1319,-0.041,-0.4202,-0.3003,-33.5453
000425,徐工机械,0.0105,0.003,0.1628,0.0048,0.6475
000426,兴业矿业,-0.0669,-0.0092,-0.6659,-0.0198,-2.3277
000428,华天酒店,0.5619,0.0673,7.9423,0.0893,12.5402
000429,粤高速A,0.5264,0.0252,5.1819,0.0411,18.5876
000430,张家界,0.0404,0.0145,0.7815,0.046,6.9153
000488,晨鸣纸业,0.0904,0.0191,2.9142,0.0273,4.5953
000498,山东路桥,-0.084,-0.0229,-1.7753,-0.0306,-3.6472
000501,鄂武商A,0.0669,0.0537,1.6529,0.0735,7.4897
000502,绿景控股,-0.1874,-0.0054,,-0.0245,-2.4471
000503,海虹控股,-0.2781,-0.0222,-5.2689,-0.2304,-23.6211
000504,*ST生物,-0.3778,-0.0178,,-0.0395,-4.014
000505,*ST珠江,-0.4091,-0.0314,,-0.0354,-5.0305
000506,中润资源,0.0989,0.0212,0.305,0.0484,4.9899
000507,珠海港,0.165,0.0233,7.9693,0.0631,25.8936
000509,华塑控股,-0.1877,-0.049,,-0.0324,-3.3833
000510,金路集团,-0.085,-0.0384,,-0.0775,-9.0794
000511,*ST烯碳,-0.275,-0.0253,-8.9276,-0.0526,-9.7535
000513,丽珠集团,0.0859,0.028,0.6891,0.0564,6.9483
000514,渝开发,1.6431,0.0682,8.3163,0.121,17.9149
000516,国际医学,0.0345,0.0182,0.7082,0.0281,2.8909
000517,荣安地产,0.3502,0.0962,4.4702,0.1443,14.4291
000518,四环生物,0.2402,0.0278,,0.2519,26.0261
000519,中兵红箭,-0.1122,-0.0342,,-0.1163,-11.9735
000520,长航凤凰,-0.022,-0.0034,,-0.0028,-0.4798
000521,美菱电器,-0.0241,-0.0151,-1.087,-0.0224,-2.4653
000523,广州浪奇,-0.0194,-0.0182,-3.0514,-0.0398,-4.1342
000524,岭南控股,0.0973,0.0203,0.8492,0.1302,17.802
000525,红太阳,0.0932,0.033,1.8644,0.0518,5.5087
000526,*ST紫学,0.0515,0.0013,,0.0064,0.6432
000528,柳工,-0.0814,-0.0244,-2.065,-0.0419,-7.3344
000529,广弘控股,-0.1027,-0.0733,-2.1465,-0.3002,-30.2046
000530,大冷股份,0.0047,0.0013,0.0558,0.0037,0.3946
000531,穗恒运A,0.5274,0.0865,4.6918,0.1251,15.8057
000532,力合股份,0.2026,0.0195,0.5424,0.1199,16.7092
000533,万家乐,-0.0123,-0.0061,-0.2345,-0.0125,-1.9695
000534,万泽股份,0.0937,0.007,1.0575,0.0107,1.5979
000536,华映科技,0.1431,0.0288,0.7548,0.0553,6.4704
000537,广宇发展,0.3918,0.1083,1.3614,0.228,22.8474
000538,云南白药,0.0518,0.0303,0.4045,0.0778,8.1162
000539,粤电力A,0.3659,0.0784,2.7677,0.1194,21.8506
000540,中天金融,-0.4204,-0.0394,-2.2797,-0.0439,-6.3396
000541,佛山照明,0.0097,0.0033,0.0766,0.0174,1.8043
000543,皖能电力,0.3277,0.0861,2.4723,0.1469,44.7642
000544,中原环保,-0.0945,-0.0138,-0.6223,-0.0283,-7.2658
000545,金浦钛业,0.0482,0.0196,0.5263,0.0546,6.5901
000546,金圆股份,-0.5907,-0.0367,,-0.0609,-6.688
000547,航天发展,-0.1017,-0.0046,-0.1727,-0.0122,-2.5979
000548,湖南投资,0.2515,0.0158,2.1069,0.0697,7.845
000550,江铃汽车,0.1544,0.1,1.5609,0.2292,23.8857
000551,创元科技,0.0445,0.0146,1.0831,0.0298,3.3898
000552,靖远煤电,0.1547,0.0491,1.3148,0.0882,9.1351
000553,沙隆达A,0.2778,0.1477,3.3325,0.281,29.3913
000554,泰山石油,0.0094,0.0172,2.8212,0.1856,19.942
000555,神州信息,-1.4237,-1.7226,,-0.0808,-11.5739
000557,西部创业,-0.4432,-0.0028,,-0.0054,-0.6082
000558,莱茵体育,0.2773,0.0575,11.3646,0.07,7.4894
000559,万向钱潮,0.0839,0.0367,1.6609,0.0585,7.8921
000560,昆百大A,-0.1577,-0.0297,-8.0026,-0.0395,-5.5389
000561,烽火电子,-0.1648,-0.029,,-0.0736,-7.939
000563,陕国投A,,-0.1018,-2.0395,-1.2865,-145.4836
000564,供销大集,0.0711,0.0212,3.5808,0.0285,3.5157
000565,渝三峡A,0.0153,0.0041,0.1908,0.0109,1.5536
000566,海南海药,-0.0856,-0.0144,-0.7615,-0.0272,-3.8049
000567,海德股份,-15.8189,-0.026,-4.7383,-0.2065,-98.957
000568,泸州老窖,0.1307,0.0456,0.3638,0.1159,11.6419
000570,苏常柴A,0.0542,0.0274,2.1739,0.0632,6.8773
000571,新大洲A,-0.1565,-0.0236,-1.1169,-0.1097,-11.0039
000572,海马汽车,0.0921,0.0344,1.7436,0.1124,11.6307
000573,粤宏远A,-0.054,-0.0105,-0.3517,-0.0233,-2.9835
000576,广东甘化,-0.7184,-0.1281,-24.6442,-0.7239,-170.4462
000581,威孚高科,0.1107,0.0251,0.575,0.0982,10.4471
000582,北部湾港,0.1364,0.0642,6.6905,0.0909,15.5092
000584,友利控股,0.0159,0.0085,0.1027,0.0235,2.3777
000585,东北电气,-0.0431,-0.0067,,-0.0152,-2.5295
000586,汇源通信,-0.1103,-0.0398,-1.2897,-0.076,-8.7445
000587,金洲慈航,0.1219,0.1971,7.3491,0.3968,39.7421
000589,黔轮胎A,0.1267,0.0579,4.3425,0.0854,10.8453
000590,启迪古汉,0.1006,0.0268,1.0313,0.0923,9.7153
000591,太阳能,0.038,0.0303,7.6508,0.037,3.7708
000592,平潭发展,-0.2388,-0.051,-6.499,-0.1855,-24.5355
000593,大通燃气,-0.0228,-0.0086,-2.0422,-0.0203,-2.7102
000595,*ST宝实,-0.0766,-0.0148,,-0.0234,-2.5698
000596,古井贡酒,0.0619,0.0277,0.3798,0.0857,8.6137
000597,东北制药,-0.0725,-0.0229,,-0.0314,-3.8382
000598,兴蓉环境,0.4477,0.0501,1.2643,0.1334,25.038
000599,青岛双星,0.0288,0.0158,7.2976,0.0232,2.9407
000600,建投能源,0.326,0.0705,3.1471,0.0955,23.9306
000601,韶能股份,0.3401,0.0457,2.0296,0.082,23.218
000603,盛达矿业,0.5631,0.1952,0.9927,0.7799,81.3788
000605,渤海股份,-0.0453,-0.0088,,-0.0134,-1.3863
000606,神州易桥,-0.0633,-0.0076,,-0.0244,-3.1359
000607,华媒控股,-0.1147,-0.0604,-5.4812,-0.0863,-8.6362
000608,阳光股份,-0.5843,-0.0235,-5.8994,-0.0416,-7.2912
000609,绵石投资,12.6442,0.0509,,0.1254,12.5646
000610,西安旅游,-0.0868,-0.0363,,-0.1237,-12.371
000611,*ST天首,-0.0459,-0.0423,-19.6572,-0.3946,-39.4587
000612,焦作万方,-0.0728,-0.0303,-1.6311,-0.0866,-13.6875
000613,*ST东海A,0.1994,0.025,,0.0864,8.6357
000615,京汉股份,0.0492,0.0105,,0.0181,1.8749
000616,海航投资,-0.1553,-0.0224,-1.3294,-0.0354,-5.8751
000617,中油资本,-0.0371,-0.0135,-2.2259,-0.0187,-2.0554
000619,海螺型材,0.143,0.0598,3.5714,0.1337,23.0706
000620,新华联,-0.2419,-0.0237,-0.9335,-0.0313,-4.9551
000622,*ST恒立,-0.2285,-0.0235,,-0.057,-5.7773
000623,吉林敖东,0.0066,0.0005,0.0133,0.0042,0.7982
000625,长安汽车,0.185,0.0728,2.7727,0.1084,13.378
000626,远大控股,-0.0183,-0.0481,-4.4261,-0.0549,-5.7674
000627,天茂集团,0.1428,0.0281,,0.0987,10.0658
000628,高新发展,0.231,0.0567,,0.0605,6.3456
000629,*ST钒钛,-0.4101,-0.0899,-9.4586,-0.1572,-21.2404
000630,铜陵有色,-0.0146,-0.0121,-1.9954,-0.0171,-2.202
000631,顺发恒业,-0.7906,-0.0227,-6.3518,-0.0285,-3.259
000632,三木集团,-0.0736,-0.0294,-21.9187,-0.0398,-4.6116
000633,*ST合金,-0.4311,-0.1059,-16.7789,-0.394,-154.3349
000635,英力特,0.0579,0.0217,1.5761,0.0814,8.7613
000636,风华高科,0.0264,0.0084,0.7112,0.0266,3.2446
000637,茂化实华,0.0378,0.0622,1.9389,0.3235,32.8111
000638,万方发展,0.7552,0.0512,,0.0655,6.5597
000639,西王食品,-0.2882,-0.1835,-5.0802,-0.5277,-52.7677
000650,仁和药业,0.0848,0.0325,0.4596,0.1927,20.2872
000651,格力电器,0.2978,0.1427,3.894,0.1924,19.5967
000652,泰达股份,0.0706,0.0115,,0.0132,1.6014
000655,金岭矿业,0.3163,0.0622,2.4086,0.4121,47.3724
000656,金科股份,-0.1586,-0.0207,-1.5727,-0.0245,-3.5591
000657,中钨高新,0.0227,0.0448,5.7079,0.1588,17.6208
000659,珠海中富,-0.0408,-0.0094,,-0.0157,-2.9045
000661,长春高新,0.1925,0.0758,0.9188,0.1826,19.8752
000662,天夏智慧,-0.4641,-0.1186,,-0.39,-39.0002
000663,永安林业,-0.0492,-0.0071,,-0.0095,-1.9041
000665,湖北广电,0.3672,0.0657,2.2985,0.2148,24.751
000666,经纬纺机,0.4117,0.0632,1.1661,0.1339,16.1695
000667,美好置业,-0.654,-0.0434,-10.3642,-0.0708,-11.1629
000668,荣丰控股,2.4783,0.0862,34.3164,0.2613,33.7778
000669,金鸿能源,0.1329,0.0191,0.6114,0.0323,5.6116
000670,盈方微,-0.7805,-0.1422,-10.3547,-0.402,-40.2026
000671,阳光城,-0.2071,-0.0263,-5.6374,-0.0296,-4.0866
000672,上峰水泥,0.1982,0.0558,5.522,0.0846,10.5116
000673,当代东方,0.6395,0.0498,3.0543,0.0568,5.6773
000676,智度股份,0.0203,0.0054,,0.007,0.8271
000677,恒天海龙,0.0041,0.0011,0.0638,0.0012,0.136
000678,襄阳轴承,-0.1711,-0.0429,-67.1874,-0.1244,-17.3946
000679,大连友谊,-0.2473,-0.045,-4.9772,-0.0567,-6.682
000680,山推股份,0.0136,0.0057,3.4392,0.0089,1.1435
000681,视觉中国,0.0884,0.0344,0.4322,0.1683,26.1856
000682,东方电子,-0.0272,-0.0078,-0.4994,-0.0228,-2.5321
000683,远兴能源,0.1258,0.018,,0.0293,5.8001
000685,中山公用,0.2413,0.0123,0.4254,0.0593,24.6944
000686,东北证券,,-0.0472,-2.8479,-0.0779,
000687,华讯方舟,-0.2675,-0.0366,,-0.0849,-23.0101
000688,建新矿业,0.1786,0.0486,0.4305,0.1796,20.0168
000690,宝新能源,0.3924,0.1099,1.8854,0.193,90.9899
000691,ST亚太,0.2492,0.014,4.1679,0.0392,5.015
000692,惠天热电,-0.5858,-0.1678,-39.214,-0.2904,-32.3158
000693,ST华泽,0.0534,0.0034,,0.0013,0.1299
000695,滨海能源,0.067,0.0233,,0.0315,3.2039
000697,炼石有色,0.6226,0.0923,2.2359,0.4493,44.9262
000698,沈阳化工,0.0066,0.0042,,0.0072,1.2037
000700,模塑科技,0.1763,0.0604,1.778,0.0946,10.2068
000701,厦门信达,-0.156,-0.1822,-19.8173,-0.2109,-21.3587
000702,正虹科技,0.0332,0.0372,3.9453,0.0874,9.3651
000703,恒逸石化,0.0416,0.0266,4.7341,0.0386,4.2679
000705,浙江震元,-0.0719,-0.0429,-2.193,-0.1335,-13.5501
000707,双环科技,0.0508,0.0146,,0.0191,2.2179
000708,大冶特钢,0.0103,0.0092,0.3488,0.0329,3.4819
000709,河钢股份,-0.0453,-0.0163,-34.9774,-0.023,-2.5416
000710,*ST天仪,-0.0954,-0.034,,-0.048,-4.8058
000711,京蓝科技,-0.0138,-0.0004,,-0.0007,-0.2232
000712,锦龙股份,0.2443,0.0039,0.2303,0.0176,9.3608
000713,丰乐种业,0.1059,0.0381,5.1375,0.1151,11.9139
000715,中兴商业,0.0471,0.0402,1.7576,0.0918,9.3099
000716,黑芝麻,-0.2037,-0.0764,-4.5361,-0.1862,-23.4848
000717,韶钢松山,0.1489,0.0638,122.2689,0.0798,8.4623
000718,苏宁环球,0.1114,0.018,0.4413,0.0249,3.401
000719,大地传媒,-0.0296,-0.0132,-0.3101,-0.0436,-4.3871
000720,新能泰山,0.3434,0.0899,9.1855,0.1083,20.2765
000721,西安饮食,0.0271,0.0079,0.8163,0.0291,3.0669
000722,湖南发展,0.6219,0.04,0.8685,2.0453,216.412
000723,美锦能源,0.0992,0.0961,2.8941,0.344,34.4009
000725,京东方A,0.2293,0.0422,3.1991,0.0777,15.781
000726,鲁泰A,0.1603,0.0617,1.1424,0.228,23.6795
000727,华东科技,-0.0635,-0.021,,-0.0301,-3.1621
000728,国元证券,,-0.1102,-9.2673,-0.2811,
000729,燕京啤酒,0.2333,0.0884,2.9041,0.2574,26.7563
000731,四川美丰,-0.0043,-0.003,-0.2189,-0.0076,-0.9981
000732,泰禾集团,-3.7861,-0.3451,-20.1241,-0.4313,-62.5386
000733,振华科技,-0.0447,-0.0165,-1.3874,-0.0448,-5.5031
000735,罗牛山,0.309,0.0325,,0.0526,11.1032
000736,中房地产,-0.2625,-0.0518,-2.0356,-0.1535,-23.4566
000737,南风化工,-0.2296,-0.0989,,-0.1131,-13.2606
000738,中航动控,-0.0148,-0.0036,-0.1888,-0.0084,-1.3621
000739,普洛药业,0.0397,0.018,0.9699,0.0298,3.1196
000750,国海证券,,-0.0223,-1.3384,-0.0301,
000751,锌业股份,0.0707,0.0485,1.9122,0.0232,2.3955
000752,西藏发展,0.1077,0.0177,0.1468,0.1358,14.0082
000753,漳州发展,0.1799,0.072,11.0806,0.1012,11.6376
000755,*ST三维,0.0162,0.0044,,0.0059,0.6785
000756,新华制药,0.0033,0.0015,0.8801,0.0029,0.5739
000757,浩物股份,0.0752,0.0343,0.4103,0.0435,8.9304
000758,中色股份,-0.0742,-0.0394,-10.3842,-0.0627,-7.248
000759,中百集团,0.0693,0.0771,5.2425,0.1278,12.9359
000760,斯太尔,-0.0101,-0.0042,-3.2037,-0.0054,-0.5411
000761,本钢板材,0.0226,0.0135,3.0578,0.023,2.4764
000762,西藏矿业,-0.4013,-0.0327,-4.8272,-0.1625,-19.163
000766,通化金马,0.0245,0.0017,0.3275,0.0051,0.5269
000767,漳泽电力,0.2836,0.0422,8.9185,0.051,9.6653
000768,中航飞机,-0.411,-0.1024,-60.0524,-0.1651,-17.4698
000776,广发证券,,-0.0913,-6.9066,-0.1353,
000777,中核科技,0.0225,0.006,0.3547,0.0139,2.3519
000778,新兴铸管,-0.0033,-0.0025,-0.2226,-0.0036,-0.5085
000779,三毛派神,-0.1676,-0.038,,-0.1438,-16.3974
000780,平庄能源,-0.4497,-0.1095,-14.1393,-0.8821,-89.4837
000782,美达股份,-0.1563,-0.1187,-82.2627,-0.2164,-21.7792
000783,长江证券,,-0.0239,-1.4451,-0.0407,
000785,武汉中商,0.0668,0.0506,2.8693,0.074,9.5766
000786,北新建材,0.1266,0.0394,0.9396,0.0701,8.2042
000788,北大医药,0.0083,0.0021,0.1639,0.0029,0.3693
000789,万年青,0.1383,0.0478,1.6371,0.0825,11.0851
000790,泰合健康,-0.0201,-0.0061,-0.3039,-0.0148,-1.5211
000791,甘肃电投,0.6793,0.0339,6.0652,0.0458,32.846
000792,盐湖股份,0.1991,0.0174,0.9205,0.0278,10.1517
000793,华闻传媒,0.2273,0.0664,1.0574,0.1599,23.76
000795,英洛华,-0.2175,-0.0545,,-0.0679,-6.8206
000796,凯撒旅游,-0.0785,-0.0179,-1.0419,-0.0338,-4.3313
000797,中国武夷,-0.6178,-0.083,-9.5536,-0.1086,-15.1424
000798,中水渔业,-0.8913,-0.1236,,-0.8919,-100.1776
000799,酒鬼酒,-0.9106,-0.1589,-11.4323,-1.0864,-110.6827
000800,一汽轿车,0.0342,0.0241,0.8228,0.0424,4.431
000801,四川九洲,-0.0435,-0.0156,-1.2405,-0.0316,-3.2384
000802,北京文化,0.2092,0.0163,1.4327,0.0651,8.0795
000803,*ST金宇,0.1814,0.0333,,0.0484,6.1783
000806,银河生物,0.0263,0.0048,,0.0079,1.1302
000807,云铝股份,0.0003,0.0001,,0.0001,0.0204
000809,铁岭新城,-0.2117,-0.0165,-0.7503,-0.0434,-7.0144
000810,创维数字,0.0489,0.0238,1.991,0.0554,5.7131
000811,烟台冰轮,0.0034,0.0013,0.0264,0.003,0.3934
000812,陕西金叶,0.0378,0.0092,0.2883,0.0301,3.0146
000813,德展健康,-0.3173,-0.0488,,-0.1447,-17.7493
000815,美利云,-0.6978,-0.0603,,-0.0761,-9.343
000816,智慧农业,0.0126,0.0037,0.2934,0.0059,0.7716
000818,方大化工,0.0072,0.0033,,0.0119,1.3759
000819,岳阳兴长,0.0208,0.0275,0.6804,0.2894,28.9397
000820,神雾节能,-0.4796,-0.0715,-13.0784,-0.1007,-24.7317
000821,京山轻机,-0.2026,-0.0429,,-0.1617,-25.3364
000822,山东海化,-0.0213,-0.0073,,-0.015,-1.6508
000823,超声电子,0.1251,0.0579,3.4666,0.1442,16.131
000825,太钢不锈,0.0173,0.0134,3.8911,0.0211,3.6639
000826,启迪桑德,0.3207,0.056,1.4649,0.1719,25.2667
000828,东莞控股,0.6867,0.0469,1.1883,0.1371,24.1739
000829,天音控股,-0.0778,-0.119,,-0.1777,-19.1766
000830,鲁西化工,0.1089,0.0378,2.5794,0.0577,9.1351
000831,*ST五稀,-1.0515,-0.1251,-27.4452,-14.82,-1837.3272
000833,贵糖股份,-0.2353,-0.1253,,-0.5245,-59.4867
000835,长城动漫,-0.1346,-0.1241,-19.1652,-0.4472,-44.8676
000836,鑫茂科技,-0.0772,-0.0133,-0.7112,-0.0229,-3.5402
000837,秦川机床,-0.1118,-0.0308,,-0.063,-12.3313
000838,财信发展,15.6131,0.0525,,0.0645,10.0388
000839,中信国安,-0.1278,-0.0103,-1.5139,-0.0214,-2.6497
000848,承德露露,-0.055,-0.06,-0.3828,-0.2553,-28.1632
000850,华茂股份,0.0257,0.0044,0.1488,0.0089,2.026
