code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
600335,国机汽车,-0.93,-1.11,21.0199,-3.6066,-0.013,323.2176,1.1712
600336,澳柯玛,7.5,1.77,24.7979,35.9595,0.1054,2027.3634,5.9447
600337,美克家居,2.23,2.49,39.4157,30.704,0.0601,1232.8352,2.4144
600338,西藏珠峰,,-8.61,4.813,-26.3205,-0.1662,305.6254,1.9302
600339,*ST油工,-1.01,-2.08,17.5324,-11.9557,-0.0227,573.8408,1.0917
600340,华夏幸福,-4.78,-9.22,13.7516,-12.1004,-0.0832,131.1085,0.9021
600343,航天动力,3.23,5.01,23.9197,15.66,0.0846,312.3701,1.6884
600345,长江通信,3.9,9.19,19.6099,38.6405,0.1951,420.2135,2.1222
600346,恒力股份,-3.11,-3.71,24.1177,-10.0813,-0.048,271.5578,1.2931
600348,阳泉煤业,24.09,9.51,19.7051,1367.7115,1.4217,14367.8803,14.9354
600350,山东高速,7.74,26.07,49.7292,698.2831,0.2075,2677.9057,0.796
600351,亚宝药业,12.68,9.98,35.2168,108.7514,0.3436,1089.3229,3.442
600352,浙江龙盛,12.9,15.18,26.5791,488.3973,0.3705,3215.9873,2.44
600353,旭光股份,4.38,8.47,30.5988,17.9564,0.1585,211.9683,1.8718
600354,敦煌种业,-10.61,-7.42,20.523,-55.1769,-0.2967,743.3945,3.9974
600355,精伦电子,-5.81,-26.3,29.5061,-31.2582,-0.127,118.8365,0.4829
600356,恒丰纸业,6.54,8.84,27.852,72.2345,0.3742,816.3869,4.2299
600358,国旅联合,0.59,2.4,66.0524,3.317,0.0076,138.0887,0.3196
600359,新农开发,1.93,1.74,15.4714,18.8327,0.0586,1076.5919,3.3538
600360,华微电子,-0.84,-1.51,14.0517,-12.3878,-0.0237,817.2223,1.5667
600361,华联综超,3.4,0.87,19.9081,60.3994,0.1245,6905.8041,14.2444
600362,江西铜业,7.88,5.12,10.347,1762.8457,0.5831,34407.5121,11.3825
600363,联创光电,2.67,2.78,18.491,22.8268,0.0615,820.0397,2.2115
600365,通葡股份,0.15,0.55,48.9343,0.3044,0.0021,55.0584,0.3932
600366,宁波韵升,22.68,51.19,26.0294,357.678,0.9037,698.648,1.7652
600367,红星发展,-1.09,-2.26,20.7633,-11.5788,-0.0397,511.1532,1.7553
600368,五洲交通,3.88,48.42,73.8296,81.3102,0.1462,167.8954,0.302
