code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000001,平安银行,7.9009,0.0562,21.9792,0.0596,
000002,万科A,0.1237,0.0041,0.8364,0.0053,0.6295
000004,国农科技,-0.083,-0.0057,-0.9739,-0.0196,-1.9901
000005,世纪星源,0.1968,0.002,,0.0041,0.4362
000006,深振业A,0.1993,0.011,1.0807,0.0171,1.9221
000007,全新好,-1.7163,-0.1737,-198.533,-0.5553,-55.5302
000008,神州高铁,1.0549,0.0267,,0.634,63.403
000009,中国宝安,-0.1528,-0.0094,-1.453,-0.0144,-2.3868
000010,美丽生态,-0.2443,-0.0192,,-0.032,-3.2215
000011,深物业A,2.0272,0.07,45.5454,0.1029,10.9753
000012,南玻A,0.1689,0.0176,1.7906,0.0362,6.4405
000014,沙河股份,-1.0697,-0.0268,,-0.0406,-7.7563
000016,深康佳A,0.1317,0.0269,43.5767,0.0357,3.9354
000017,深中华A,-0.0279,-0.008,,-0.0006,-0.0699
000018,神州长城,0.2286,0.0033,,0.0103,1.2955
000019,深深宝A,0.0904,0.005,,0.0205,2.0802
000020,深华发A,-0.4194,-0.1214,-19.066,-0.1956,-32.1198
000021,深科技,0.0062,0.0024,0.8665,0.004,0.3992
000022,深赤湾A,0.33,0.0199,0.8787,0.0553,6.3861
000023,深天地A,-0.1238,-0.0172,,-0.0254,-2.8828
000025,特力A,-0.1589,-0.0261,,-0.0396,-5.2186
000026,飞亚达A,-0.0893,-0.0207,-1.877,-0.0371,-3.8398
000027,深圳能源,0.1269,0.0116,1.2793,0.024,4.5571
000028,国药一致,-0.0635,-0.0336,-2.2104,-0.0416,-4.3334
000029,深深房A,-0.0697,-0.0051,-0.7356,-0.0091,-1.099
000030,富奥股份,,-0.0072,,-0.0074,-0.7361
000031,中粮地产,-0.076,-0.0019,-0.5648,-0.0025,-0.3384
000032,深桑达A,-0.1309,-0.0179,,-0.04,-4.0345
000033,*ST新都,0.1711,0.0054,,0.0128,4.8881
000034,神州数码,-0.0878,-0.0461,,-0.0823,-8.4321
000035,中国天楹,-227.3725,-0.5149,-34.8972,-0.1769,-20.1754
000036,华联控股,-0.2715,-0.011,-0.8487,-0.0277,-4.5125
000037,*ST南电A,0.6955,0.0569,,0.0864,8.716
000038,深大通,-0.1976,-0.0029,,-0.004,-0.454
000039,中集集团,0.0426,0.0083,1.2819,0.0125,1.8712
000040,东旭蓝天,0.329,0.0366,1.314,0.0791,8.1227
000042,中洲控股,-0.306,-0.0403,-1.3393,-0.0669,-11.8998
000043,中航地产,-0.9505,-0.0403,,-0.0567,-8.1086
000045,深纺织A,0.0437,0.0046,0.9712,0.019,4.5291
000046,泛海控股,-1.7381,-0.0152,,-0.0234,-4.8117
000048,康达尔,-0.123,-0.0274,-22.5485,-0.0435,-4.9763
000049,德赛电池,0.3021,0.1766,4.7429,0.2721,27.9342
000050,深天马A,0.2933,0.0367,,0.0583,13.6567
000055,方大集团,-0.1818,-0.0203,-5.8621,-0.0455,-4.7376
000056,皇庭国际,5.9401,0.0123,,0.0101,3.4043
000058,深赛格,0.105,0.0069,0.598,0.0336,3.5629
000059,华锦股份,0.1859,0.062,10.5359,0.0843,12.958
000060,中金岭南,-0.0316,-0.0075,-0.8756,-0.0141,-2.0044
000061,农产品,-0.1974,-0.009,-1.1298,-0.0164,-1.9135
000062,深圳华强,0.8361,0.0355,75.5863,0.0552,11.0292
000063,中兴通讯,-0.3419,-0.0615,-29.9437,-0.0826,-10.2713
000065,北方国际,0.1274,0.0018,,0.0025,0.2503
000066,中国长城,0.0011,0.0005,0.2874,0.0008,0.0856
000068,华控赛格,-3.3072,-0.0145,-0.7648,-0.0386,-5.8587
000069,华侨城A,-0.3403,-0.0133,-3.1531,-0.0186,-3.2262
000070,特发信息,-0.238,-0.0436,-7.4896,-0.0877,-11.8315
000078,海王生物,-0.0632,-0.0206,-2.7245,-0.0257,-2.5743
000088,盐田港,0.5777,0.0084,0.516,0.1072,31.2451
000089,深圳机场,0.2486,0.0141,0.7124,0.0578,19.8211
000090,天健集团,-0.1182,-0.01,-0.75,-0.0168,-1.8239
000096,广聚能源,-0.3066,-0.0431,,-0.5449,-67.0138
000099,中信海直,0.1385,0.0123,0.8954,0.0355,12.3182
000100,TCL集团,0.008,0.0016,1.6288,0.0023,0.3406
000150,宜华健康,0.0077,0.0001,0.3054,0.0002,0.0286
000151,中成股份,-0.8471,-0.0926,-9.2566,-0.3222,-32.6537
000153,丰原药业,0.0438,0.013,7.1328,0.0301,3.0279
000155,*ST川化,-0.5001,-0.0398,,-0.0728,-9.3457
000156,华数传媒,-0.0273,-0.0205,-13.4515,-0.0108,-1.0833
000157,中联重科,-0.1243,-0.0186,-0.6796,-0.0361,-4.717
000158,常山股份,-0.0365,-0.0062,,-0.0102,-1.2489
000159,国际实业,-0.0339,-0.0037,-0.4204,-0.011,-1.3711
000301,东方市场,0.2859,0.0162,1.8426,0.0632,8.1671
000333,美的集团,-0.1416,-0.0393,-2.6789,-0.0573,-6.4785
000338,潍柴动力,-0.2107,-0.0456,-2.4709,-0.0873,-9.6815
000400,许继电气,-0.1755,-0.025,-3.8012,-0.0431,-5.5089
000401,冀东水泥,-0.4023,-0.0195,,-0.029,-4.8209
000402,金融街,-0.1781,-0.0061,-0.4412,-0.0088,-1.2563
000403,ST生化,0.0803,0.01,1.1211,0.0143,1.809
000404,华意压缩,-0.1089,-0.0323,-9.4742,-0.0411,-4.2006
000407,胜利股份,-0.1821,-0.0244,-34.1512,-0.0403,-4.0661
000408,*ST金源,-0.124,-0.0009,-0.3539,-0.0015,-0.149
000409,山东地矿,0.1283,0.09,16.9737,0.6455,65.4122
000410,沈阳机床,-0.0019,-0.0003,-0.1436,-0.0003,-0.0359
000411,英特集团,-0.1901,-0.1154,-14.837,-0.1492,-14.9911
000413,东旭光电,-0.1399,-0.0488,-0.588,-0.1017,-10.1729
000415,渤海金控,0.2718,0.0044,1.4577,0.0081,3.4194
000416,民生控股,-0.0128,-0.002,,-0.0183,-1.8289
000417,合肥百货,0.0165,0.0075,0.2899,0.014,1.4567
000418,小天鹅A,-0.001,-0.0002,-0.0128,-0.0005,-0.0461
000419,通程控股,-0.173,-0.0522,-4.793,-0.1118,-12.0311
000420,吉林化纤,0.1194,0.0148,,0.0183,2.1412
